paper,edition
Estimating Diffusion Probability Changes for AsIC-SIS Model.,"Proceedings of the 3rd Asian Conference on Machine Learning, ACML 2011, Taoyuan, Taiwan, November 13-15, 2011"
Comparing classification methods for predicting distance students' performance.,"Proceedings of the Second Workshop on Applications of Pattern Analysis, WAPA 2011, Castro Urdiales, Spain, October 19-21, 2011"
Multi-Stage Classifier Design.,"Proceedings of the 4th Asian Conference on Machine Learning, ACML 2012, Singapore, Singapore, November 4-6, 2012"
Joint Estimation of Structured Sparsity and Output Structure in Multiple-Output Regression via Inverse-Covariance Regularization.,"Proceedings of the Fifteenth International Conference on Artificial Intelligence and Statistics, AISTATS 2012, La Palma, Canary Islands, Spain, April 21-23, 2012"
On Learning Discrete Graphical Models using Group-Sparse Regularization.,"Proceedings of the Fourteenth International Conference on Artificial Intelligence and Statistics, AISTATS 2011, Fort Lauderdale, USA, April 11-13, 2011"
The Use of Bernoulli Mixture Models for Identifying Corners of a Hypercube and Extracting Boolean Rules From Data.,"Causality: Objectives and Assessment (NIPS 2008 Workshop), Whistler, Canada, December 12, 2008"
Half Transductive Ranking.,"Proceedings of the Thirteenth International Conference on Artificial Intelligence and Statistics, AISTATS 2010, Chia Laguna Resort, Sardinia, Italy, May 13-15, 2010"
Elliptical slice sampling.,"Proceedings of the Thirteenth International Conference on Artificial Intelligence and Statistics, AISTATS 2010, Chia Laguna Resort, Sardinia, Italy, May 13-15, 2010"
Causality Challenge: Benchmarking relevant signal components for effective monitoring and process control.,"Causality: Objectives and Assessment (NIPS 2008 Workshop), Whistler, Canada, December 12, 2008"
On Bayesian Upper Confidence Bounds for Bandit Problems.,"Proceedings of the Fifteenth International Conference on Artificial Intelligence and Statistics, AISTATS 2012, La Palma, Canary Islands, Spain, April 21-23, 2012"
"Discussion of ""The Discrete Infinite Logistic Normal Distribution for Mixed-Membership Modeling"".","Proceedings of the Fourteenth International Conference on Artificial Intelligence and Statistics, AISTATS 2011, Fort Lauderdale, USA, April 11-13, 2011"
Cross-Domain Object Matching with Model Selection.,"Proceedings of the Fourteenth International Conference on Artificial Intelligence and Statistics, AISTATS 2011, Fort Lauderdale, USA, April 11-13, 2011"
Negative Results for Active Learning with Convex Losses.,"Proceedings of the Thirteenth International Conference on Artificial Intelligence and Statistics, AISTATS 2010, Chia Laguna Resort, Sardinia, Italy, May 13-15, 2010"
A New Algorithm for Compressed Counting with Applications in Shannon Entropy Estimation in Dynamic Data.,"COLT 2011 - The 24th Annual Conference on Learning Theory, June 9-11, 2011, Budapest, Hungary"
Optimal and Robust Price Experimentation: Learning by Lottery.,"Proceedings of the Fourteenth International Conference on Artificial Intelligence and Statistics, AISTATS 2011, Fort Lauderdale, USA, April 11-13, 2011"
TopicFlow Model: Unsupervised Learning of Topic-specific Influences of Hyperlinked Documents.,"Proceedings of the Fourteenth International Conference on Artificial Intelligence and Statistics, AISTATS 2011, Fort Lauderdale, USA, April 11-13, 2011"
Graphlet decomposition of a weighted network.,"Proceedings of the Fifteenth International Conference on Artificial Intelligence and Statistics, AISTATS 2012, La Palma, Canary Islands, Spain, April 21-23, 2012"
A Hybrid Neural Network-Latent Topic Model.,"Proceedings of the Fifteenth International Conference on Artificial Intelligence and Statistics, AISTATS 2012, La Palma, Canary Islands, Spain, April 21-23, 2012"
Structured Prediction Cascades.,"Proceedings of the Thirteenth International Conference on Artificial Intelligence and Statistics, AISTATS 2010, Chia Laguna Resort, Sardinia, Italy, May 13-15, 2010"
Winning the KDD Cup Orange Challenge with Ensemble Selection.,"Proceedings of KDD-Cup 2009 competition, Paris, France, June 28, 2009"
A Linear Ensemble of Individual and Blended Models for Music Rating Prediction.,"Proceedings of KDD Cup 2011 competition, San Diego, CA, USA, 2011"
Guarantees for Approximate Incremental SVMs.,"Proceedings of the Thirteenth International Conference on Artificial Intelligence and Statistics, AISTATS 2010, Chia Laguna Resort, Sardinia, Italy, May 13-15, 2010"
A simple multi-armed bandit algorithm with optimal variation-bounded regret.,"COLT 2011 - The 24th Annual Conference on Learning Theory, June 9-11, 2011, Budapest, Hungary"
Message-Passing Algorithms for MAP Estimation Using DC Programming.,"Proceedings of the Fifteenth International Conference on Artificial Intelligence and Statistics, AISTATS 2012, La Palma, Canary Islands, Spain, April 21-23, 2012"
Robust approachability and regret minimization in games with partial monitoring.,"COLT 2011 - The 24th Annual Conference on Learning Theory, June 9-11, 2011, Budapest, Hungary"
Online Learning: Beyond Regret.,"COLT 2011 - The 24th Annual Conference on Learning Theory, June 9-11, 2011, Budapest, Hungary"
Divergences and Risks for Multiclass Experiments.,"COLT 2012 - The 25th Annual Conference on Learning Theory, June 25-27, 2012, Edinburgh, Scotland"
Preface.,"Third Workshop on New Challenges for Feature Selection in Data Mining and Knowledge Discovery, FSDM 2008, held at ECML-PKDD 2008, Antwerp, Belgium, September 15, 2008"
Lightning-speed Structure Learning of Nonlinear Continuous Networks.,"Proceedings of the Fifteenth International Conference on Artificial Intelligence and Statistics, AISTATS 2012, La Palma, Canary Islands, Spain, April 21-23, 2012"
Spatial Locality-Aware Sparse Coding and Dictionary Learning.,"Proceedings of the 4th Asian Conference on Machine Learning, ACML 2012, Singapore, Singapore, November 4-6, 2012"
Nonparametric Tree Graphical Models.,"Proceedings of the Thirteenth International Conference on Artificial Intelligence and Statistics, AISTATS 2010, Chia Laguna Resort, Sardinia, Italy, May 13-15, 2010"
Exact Bayesian structure learning from uncertain interventions.,"Proceedings of the Eleventh International Conference on Artificial Intelligence and Statistics, AISTATS 2007, San Juan, Puerto Rico, March 21-24, 2007"
A Lattice of Sets of Alignments Built on the Common Subwords in a Finite Language.,"Proceedings of the Eleventh International Conference on Grammatical Inference, ICGI 2012, University of Maryland, College Park, USA, September 5-8, 2012"
Dimensionality Reduction for Spectral Clustering.,"Proceedings of the Fourteenth International Conference on Artificial Intelligence and Statistics, AISTATS 2011, Fort Lauderdale, USA, April 11-13, 2011"
QBoost: Large Scale Classifier Training with Adiabatic Quantum Optimization.,"Proceedings of the 4th Asian Conference on Machine Learning, ACML 2012, Singapore, Singapore, November 4-6, 2012"
Fast Learning Rate of Multiple Kernel Learning: Trade-Off between Sparsity and Smoothness.,"Proceedings of the Fifteenth International Conference on Artificial Intelligence and Statistics, AISTATS 2012, La Palma, Canary Islands, Spain, April 21-23, 2012"
Model Merging versus Model Splitting Context-Free Grammar Induction.,"Proceedings of the Eleventh International Conference on Grammatical Inference, ICGI 2012, University of Maryland, College Park, USA, September 5-8, 2012"
Collaborative Filtering on a Budget.,"Proceedings of the Thirteenth International Conference on Artificial Intelligence and Statistics, AISTATS 2010, Chia Laguna Resort, Sardinia, Italy, May 13-15, 2010"
PAC-Bayes Analysis Of Maximum Entropy Classification.,"Proceedings of the Twelfth International Conference on Artificial Intelligence and Statistics, AISTATS 2009, Clearwater Beach, Florida, USA, April 16-18, 2009"
Bayesian Comparison of Machine Learning Algorithms on Single and Multiple Datasets.,"Proceedings of the Fifteenth International Conference on Artificial Intelligence and Statistics, AISTATS 2012, La Palma, Canary Islands, Spain, April 21-23, 2012"
Incorporating Prior Knowledge on Features into Learning.,"Proceedings of the Eleventh International Conference on Artificial Intelligence and Statistics, AISTATS 2007, San Juan, Puerto Rico, March 21-24, 2007"
Regression for sets of polynomial equations.,"Proceedings of the Fifteenth International Conference on Artificial Intelligence and Statistics, AISTATS 2012, La Palma, Canary Islands, Spain, April 21-23, 2012"
Probabilistic Models for Incomplete Multi-dimensional Arrays.,"Proceedings of the Twelfth International Conference on Artificial Intelligence and Statistics, AISTATS 2009, Clearwater Beach, Florida, USA, April 16-18, 2009"
Hierarchical Latent Dictionaries for Models of Brain Activation.,"Proceedings of the Fifteenth International Conference on Artificial Intelligence and Statistics, AISTATS 2012, La Palma, Canary Islands, Spain, April 21-23, 2012"
Improving posterior marginal approximations in latent Gaussian models.,"Proceedings of the Thirteenth International Conference on Artificial Intelligence and Statistics, AISTATS 2010, Chia Laguna Resort, Sardinia, Italy, May 13-15, 2010"
Statistical test for consistent estimation of causal effects in linear non-Gaussian models.,"Proceedings of the Fifteenth International Conference on Artificial Intelligence and Statistics, AISTATS 2012, La Palma, Canary Islands, Spain, April 21-23, 2012"
MOA Concept Drift Active Learning Strategies for Streaming Data.,"Proceedings of the Second Workshop on Applications of Pattern Analysis, WAPA 2011, Castro Urdiales, Spain, October 19-21, 2011"
Employing The Complete Face in AVSR to Recover from Facial Occlusions.,"Proceedings of the Second Workshop on Applications of Pattern Analysis, WAPA 2011, Castro Urdiales, Spain, October 19-21, 2011"
Fast search for Dirichlet process mixture models.,"Proceedings of the Eleventh International Conference on Artificial Intelligence and Statistics, AISTATS 2007, San Juan, Puerto Rico, March 21-24, 2007"
A Hybrid Pareto Model for Conditional Density Estimation of Asymmetric Fat-Tail Data.,"Proceedings of the Eleventh International Conference on Artificial Intelligence and Statistics, AISTATS 2007, San Juan, Puerto Rico, March 21-24, 2007"
Learning Bayesian Network Structure using LP Relaxations.,"Proceedings of the Thirteenth International Conference on Artificial Intelligence and Statistics, AISTATS 2010, Chia Laguna Resort, Sardinia, Italy, May 13-15, 2010"
A Unified Energy-Based Framework for Unsupervised Learning.,"Proceedings of the Eleventh International Conference on Artificial Intelligence and Statistics, AISTATS 2007, San Juan, Puerto Rico, March 21-24, 2007"
Estimating beta-mixing coefficients.,"Proceedings of the Fourteenth International Conference on Artificial Intelligence and Statistics, AISTATS 2011, Fort Lauderdale, USA, April 11-13, 2011"
Regret Bounds for Gaussian Process Bandit Problems.,"Proceedings of the Thirteenth International Conference on Artificial Intelligence and Statistics, AISTATS 2010, Chia Laguna Resort, Sardinia, Italy, May 13-15, 2010"
Online Inference of Topics with Latent Dirichlet Allocation.,"Proceedings of the Twelfth International Conference on Artificial Intelligence and Statistics, AISTATS 2009, Clearwater Beach, Florida, USA, April 16-18, 2009"
Krylov Subspace Descent for Deep Learning.,"Proceedings of the Fifteenth International Conference on Artificial Intelligence and Statistics, AISTATS 2012, La Palma, Canary Islands, Spain, April 21-23, 2012"
Sparse Probabilistic Principal Component Analysis.,"Proceedings of the Twelfth International Conference on Artificial Intelligence and Statistics, AISTATS 2009, Clearwater Beach, Florida, USA, April 16-18, 2009"
Spectral Dimensionality Reduction via Maximum Entropy.,"Proceedings of the Fourteenth International Conference on Artificial Intelligence and Statistics, AISTATS 2011, Fort Lauderdale, USA, April 11-13, 2011"
Content-based Image Retrieval with Multinomial Relevance Feedback.,"Proceedings of the 2nd Asian Conference on Machine Learning, ACML 2010, Tokyo, Japan, November 8-10, 2010"
Inference of k-Testable Directed Acyclic Graph Languages.,"Proceedings of the Eleventh International Conference on Grammatical Inference, ICGI 2012, University of Maryland, College Park, USA, September 5-8, 2012"
Error Analysis of Laplacian Eigenmaps for Semi-supervised Learning.,"Proceedings of the Fourteenth International Conference on Artificial Intelligence and Statistics, AISTATS 2011, Fort Lauderdale, USA, April 11-13, 2011"
Evolving Cluster Mixed-Membership Blockmodel for Time-Evolving Networks.,"Proceedings of the Fourteenth International Conference on Artificial Intelligence and Statistics, AISTATS 2011, Fort Lauderdale, USA, April 11-13, 2011"
Stochastic Semi-supervised Learning.,"Active Learning and Experimental Design workshop, In conjunction with AISTATS 2010, Sardinia, Italy, May 16, 2010"
Tight Bounds on Proper Equivalence Query Learning of DNF.,"COLT 2012 - The 25th Annual Conference on Learning Theory, June 25-27, 2012, Edinburgh, Scotland"
REGO: Rank-based Estimation of Renyi Information using Euclidean Graph Optimization.,"Proceedings of the Thirteenth International Conference on Artificial Intelligence and Statistics, AISTATS 2010, Chia Laguna Resort, Sardinia, Italy, May 13-15, 2010"
Concentration-Based Guarantees for Low-Rank Matrix Reconstruction.,"COLT 2011 - The 24th Annual Conference on Learning Theory, June 9-11, 2011, Budapest, Hungary"
Learning Thin Junction Trees via Graph Cuts.,"Proceedings of the Twelfth International Conference on Artificial Intelligence and Statistics, AISTATS 2009, Clearwater Beach, Florida, USA, April 16-18, 2009"
A Finite Newton Algorithm for Non-degenerate Piecewise Linear Systems.,"Proceedings of the Fourteenth International Conference on Artificial Intelligence and Statistics, AISTATS 2011, Fort Lauderdale, USA, April 11-13, 2011"
Causality: Objectives and Assessment.,"Causality: Objectives and Assessment (NIPS 2008 Workshop), Whistler, Canada, December 12, 2008"
A Unified Algorithmic Approach for Efficient Online Label Ranking.,"Proceedings of the Eleventh International Conference on Artificial Intelligence and Statistics, AISTATS 2007, San Juan, Puerto Rico, March 21-24, 2007"
Minimax Regret of Finite Partial-Monitoring Games in Stochastic Environments.,"COLT 2011 - The 24th Annual Conference on Learning Theory, June 9-11, 2011, Budapest, Hungary"
"Collaborative Filtering with the Trace Norm: Learning, Bounding, and Transducing.","COLT 2011 - The 24th Annual Conference on Learning Theory, June 9-11, 2011, Budapest, Hungary"
SampleSearch: A Scheme that Searches for Consistent Samples.,"Proceedings of the Eleventh International Conference on Artificial Intelligence and Statistics, AISTATS 2007, San Juan, Puerto Rico, March 21-24, 2007"
Spanning Tree Approximations for Conditional Random Fields.,"Proceedings of the Twelfth International Conference on Artificial Intelligence and Statistics, AISTATS 2009, Clearwater Beach, Florida, USA, April 16-18, 2009"
Detection of Server-side Web Attacks.,"Proceedings of the First Workshop on Applications of Pattern Analysis, WAPA 2010, Cumberland Lodge, Windsor, UK, September 1-3, 2010"
A Differentially Private Stochastic Gradient Descent Algorithm for Multiparty Classification.,"Proceedings of the Fifteenth International Conference on Artificial Intelligence and Statistics, AISTATS 2012, La Palma, Canary Islands, Spain, April 21-23, 2012"
Fuzzy Grammar-based Prediction of Amyloidogenic Regions.,"Proceedings of the Eleventh International Conference on Grammatical Inference, ICGI 2012, University of Maryland, College Park, USA, September 5-8, 2012"
An Instantiation-Based Theorem Prover for First-Order Programming.,"Proceedings of the Fourteenth International Conference on Artificial Intelligence and Statistics, AISTATS 2011, Fort Lauderdale, USA, April 11-13, 2011"
SubSift: a novel application of the vector space model to support the academic research process.,"Proceedings of the First Workshop on Applications of Pattern Analysis, WAPA 2010, Cumberland Lodge, Windsor, UK, September 1-3, 2010"
Using Descendants as Instrumental Variables for the Identification of Direct Causal Effects in Linear SEMs.,"Proceedings of the Thirteenth International Conference on Artificial Intelligence and Statistics, AISTATS 2010, Chia Laguna Resort, Sardinia, Italy, May 13-15, 2010"
Recovering Cyclic Causal Structure.,"Causality: Objectives and Assessment (NIPS 2008 Workshop), Whistler, Canada, December 12, 2008"
Convergent Decomposition Solvers for Tree-reweighted Free Energies.,"Proceedings of the Fourteenth International Conference on Artificial Intelligence and Statistics, AISTATS 2011, Fort Lauderdale, USA, April 11-13, 2011"
Reconstruction from Anisotropic Random Measurements.,"COLT 2012 - The 25th Annual Conference on Learning Theory, June 25-27, 2012, Edinburgh, Scotland"
Bayesian Inference and Optimal Design in the Sparse Linear Model.,"Proceedings of the Eleventh International Conference on Artificial Intelligence and Statistics, AISTATS 2007, San Juan, Puerto Rico, March 21-24, 2007"
Importance Sampling for General Hybrid Bayesian Networks.,"Proceedings of the Eleventh International Conference on Artificial Intelligence and Statistics, AISTATS 2007, San Juan, Puerto Rico, March 21-24, 2007"
Maximum Volume Clustering.,"Proceedings of the Fourteenth International Conference on Artificial Intelligence and Statistics, AISTATS 2011, Fort Lauderdale, USA, April 11-13, 2011"
Distilled sensing: selective sampling for sparse signal recovery.,"Proceedings of the Twelfth International Conference on Artificial Intelligence and Statistics, AISTATS 2009, Clearwater Beach, Florida, USA, April 16-18, 2009"
Clustering: Science or Art?,"Unsupervised and Transfer Learning - Workshop held at ICML 2011, Bellevue, Washington, USA, July 2, 2011"
Beyond the regret minimization barrier: an optimal algorithm for stochastic strongly-convex optimization.,"COLT 2011 - The 24th Annual Conference on Learning Theory, June 9-11, 2011, Budapest, Hungary"
Block-sparse Solutions using Kernel Block RIP and its Application to Group Lasso.,"Proceedings of the Fourteenth International Conference on Artificial Intelligence and Statistics, AISTATS 2011, Fort Lauderdale, USA, April 11-13, 2011"
Transfer Learning by Kernel Meta-Learning.,"Unsupervised and Transfer Learning - Workshop held at ICML 2011, Bellevue, Washington, USA, July 2, 2011"
Directional Statistics on Permutations.,"Proceedings of the Fourteenth International Conference on Artificial Intelligence and Statistics, AISTATS 2011, Fort Lauderdale, USA, April 11-13, 2011"
State-Space Inference and Learning with Gaussian Processes.,"Proceedings of the Thirteenth International Conference on Artificial Intelligence and Statistics, AISTATS 2010, Chia Laguna Resort, Sardinia, Italy, May 13-15, 2010"
Maximum Entropy Correlated Equilibria.,"Proceedings of the Eleventh International Conference on Artificial Intelligence and Statistics, AISTATS 2007, San Juan, Puerto Rico, March 21-24, 2007"
Relating Function Class Complexity and Cluster Structure in the Function Domain with Applications to Transduction.,"Proceedings of the Thirteenth International Conference on Artificial Intelligence and Statistics, AISTATS 2010, Chia Laguna Resort, Sardinia, Italy, May 13-15, 2010"
Learning of Bi-ω Languages from Factors.,"Proceedings of the Eleventh International Conference on Grammatical Inference, ICGI 2012, University of Maryland, College Park, USA, September 5-8, 2012"
Structured Sparse Principal Component Analysis.,"Proceedings of the Thirteenth International Conference on Artificial Intelligence and Statistics, AISTATS 2010, Chia Laguna Resort, Sardinia, Italy, May 13-15, 2010"
Complexity of Bethe Approximation.,"Proceedings of the Fifteenth International Conference on Artificial Intelligence and Statistics, AISTATS 2012, La Palma, Canary Islands, Spain, April 21-23, 2012"
Beyond Semilinearity: Distributional Learning of Parallel Multiple Context-free Grammars.,"Proceedings of the Eleventh International Conference on Grammatical Inference, ICGI 2012, University of Maryland, College Park, USA, September 5-8, 2012"
A novel greedy algorithm for Nyström approximation.,"Proceedings of the Fourteenth International Conference on Artificial Intelligence and Statistics, AISTATS 2011, Fort Lauderdale, USA, April 11-13, 2011"
"Bandits, Query Learning, and the Haystack Dimension.","COLT 2011 - The 24th Annual Conference on Learning Theory, June 9-11, 2011, Budapest, Hungary"
Treelets | A Tool for Dimensionality Reduction and Multi-Scale Analysis of Unstructured Data.,"Proceedings of the Eleventh International Conference on Artificial Intelligence and Statistics, AISTATS 2007, San Juan, Puerto Rico, March 21-24, 2007"
Random Feature Maps for Dot Product Kernels.,"Proceedings of the Fifteenth International Conference on Artificial Intelligence and Statistics, AISTATS 2012, La Palma, Canary Islands, Spain, April 21-23, 2012"
Sparse Nonparametric Density Estimation in High Dimensions Using the Rodeo.,"Proceedings of the Eleventh International Conference on Artificial Intelligence and Statistics, AISTATS 2007, San Juan, Puerto Rico, March 21-24, 2007"
Ellipsoidal Machines.,"Proceedings of the Eleventh International Conference on Artificial Intelligence and Statistics, AISTATS 2007, San Juan, Puerto Rico, March 21-24, 2007"
Visualizing Similarity Data with a Mixture of Maps.,"Proceedings of the Eleventh International Conference on Artificial Intelligence and Statistics, AISTATS 2007, San Juan, Puerto Rico, March 21-24, 2007"
Two-way Parallel Class Expression Learning.,"Proceedings of the 4th Asian Conference on Machine Learning, ACML 2012, Singapore, Singapore, November 4-6, 2012"
Stochastic Bandit Based on Empirical Moments.,"Proceedings of the Fifteenth International Conference on Artificial Intelligence and Statistics, AISTATS 2012, La Palma, Canary Islands, Spain, April 21-23, 2012"
On Nonparametric Guidance for Learning Autoencoder Representations.,"Proceedings of the Fifteenth International Conference on Artificial Intelligence and Statistics, AISTATS 2012, La Palma, Canary Islands, Spain, April 21-23, 2012"
Learning low-rank output kernels.,"Proceedings of the 3rd Asian Conference on Machine Learning, ACML 2011, Taoyuan, Taiwan, November 13-15, 2011"
Follow-the-Regularized-Leader and Mirror Descent: Equivalence Theorems and L1 Regularization.,"Proceedings of the Fourteenth International Conference on Artificial Intelligence and Statistics, AISTATS 2011, Fort Lauderdale, USA, April 11-13, 2011"
Simple ensemble methods are competitive with state-of-the-art data integration methods for gene function prediction.,"Proceedings of the third International Workshop on Machine Learning in Systems Biology, MLSB 2009, Ljubljana, Slovenia, September 5-6, 2009"
Time Series Analysis with the Causality Workbench.,"Neural Information Processing Systems (NIPS) Mini-Symposium on Causality in Time Series, Vancouver, Canada, December 10, 2009"
Tempered Markov Chain Monte Carlo for training of Restricted Boltzmann Machines.,"Proceedings of the Thirteenth International Conference on Artificial Intelligence and Statistics, AISTATS 2010, Chia Laguna Resort, Sardinia, Italy, May 13-15, 2010"
Fast Variational Mode-Seeking.,"Proceedings of the Fifteenth International Conference on Artificial Intelligence and Statistics, AISTATS 2012, La Palma, Canary Islands, Spain, April 21-23, 2012"
Robust Multi-task Regression with Grossly Corrupted Observations.,"Proceedings of the Fifteenth International Conference on Artificial Intelligence and Statistics, AISTATS 2012, La Palma, Canary Islands, Spain, April 21-23, 2012"
Adaptive Bandits: Towards the best history-dependent strategy.,"Proceedings of the Fourteenth International Conference on Artificial Intelligence and Statistics, AISTATS 2011, Fort Lauderdale, USA, April 11-13, 2011"
A Bayesian Analysis of the Radioactive Releases of Fukushima.,"Proceedings of the Fifteenth International Conference on Artificial Intelligence and Statistics, AISTATS 2012, La Palma, Canary Islands, Spain, April 21-23, 2012"
Age-Layered Expectation Maximization for Parameter Learning in Bayesian Networks.,"Proceedings of the Fifteenth International Conference on Artificial Intelligence and Statistics, AISTATS 2012, La Palma, Canary Islands, Spain, April 21-23, 2012"
Stick-breaking Construction for the Indian Buffet Process.,"Proceedings of the Eleventh International Conference on Artificial Intelligence and Statistics, AISTATS 2007, San Juan, Puerto Rico, March 21-24, 2007"
Learning to Locate Relative Outliers.,"Proceedings of the 3rd Asian Conference on Machine Learning, ACML 2011, Taoyuan, Taiwan, November 13-15, 2011"
A Regularization Approach to Nonlinear Variable Selection.,"Proceedings of the Thirteenth International Conference on Artificial Intelligence and Statistics, AISTATS 2010, Chia Laguna Resort, Sardinia, Italy, May 13-15, 2010"
An Expectation Maximization Algorithm for Continuous Markov Decision Processes with Arbitrary Reward.,"Proceedings of the Twelfth International Conference on Artificial Intelligence and Statistics, AISTATS 2009, Clearwater Beach, Florida, USA, April 16-18, 2009"
Clearing Restarting Automata and Grammatical Inference.,"Proceedings of the Eleventh International Conference on Grammatical Inference, ICGI 2012, University of Maryland, College Park, USA, September 5-8, 2012"
How Powerful Can Any Regression Learning Procedure Be?.,"Proceedings of the Eleventh International Conference on Artificial Intelligence and Statistics, AISTATS 2007, San Juan, Puerto Rico, March 21-24, 2007"
"On a Connection between Maximum Variance Unfolding, Shortest Path Problems and IsoMap.","Proceedings of the Fifteenth International Conference on Artificial Intelligence and Statistics, AISTATS 2012, La Palma, Canary Islands, Spain, April 21-23, 2012"
Relational Topic Models for Document Networks.,"Proceedings of the Twelfth International Conference on Artificial Intelligence and Statistics, AISTATS 2009, Clearwater Beach, Florida, USA, April 16-18, 2009"
Emerge and spread models and word burstiness.,"Proceedings of the Eleventh International Conference on Artificial Intelligence and Statistics, AISTATS 2007, San Juan, Puerto Rico, March 21-24, 2007"
Accurate Ensembles for Data Streams: Combining Restricted Hoeffding Trees using Stacking.,"Proceedings of the 2nd Asian Conference on Machine Learning, ACML 2010, Tokyo, Japan, November 8-10, 2010"
Hidden Topic Markov Models.,"Proceedings of the Eleventh International Conference on Artificial Intelligence and Statistics, AISTATS 2007, San Juan, Puerto Rico, March 21-24, 2007"
"Discussion of ""Spectral Dimensionality Reduction via Maximum Entropy"".","Proceedings of the Fourteenth International Conference on Artificial Intelligence and Statistics, AISTATS 2011, Fort Lauderdale, USA, April 11-13, 2011"
Active Learning and Experimental Design with SVMs.,"Active Learning and Experimental Design workshop, In conjunction with AISTATS 2010, Sardinia, Italy, May 16, 2010"
Fluid Dynamics Models for Low Rank Discriminant Analysis.,"Proceedings of the Thirteenth International Conference on Artificial Intelligence and Statistics, AISTATS 2010, Chia Laguna Resort, Sardinia, Italy, May 13-15, 2010"
Conditional validity of inductive conformal predictors.,"Proceedings of the 4th Asian Conference on Machine Learning, ACML 2012, Singapore, Singapore, November 4-6, 2012"
Deterministic Annealing for Semi-Supervised Structured Output Learning.,"Proceedings of the Fifteenth International Conference on Artificial Intelligence and Statistics, AISTATS 2012, La Palma, Canary Islands, Spain, April 21-23, 2012"
"Toward a Noncommutative Arithmetic-geometric Mean Inequality: Conjectures, Case-studies, and Consequences.","COLT 2012 - The 25th Annual Conference on Learning Theory, June 25-27, 2012, Edinburgh, Scotland"
Bayesian Generalized Kernel Models.,"Proceedings of the Thirteenth International Conference on Artificial Intelligence and Statistics, AISTATS 2010, Chia Laguna Resort, Sardinia, Italy, May 13-15, 2010"
Tighter and Convex Maximum Margin Clustering.,"Proceedings of the Twelfth International Conference on Artificial Intelligence and Statistics, AISTATS 2009, Clearwater Beach, Florida, USA, April 16-18, 2009"
Inference and Learning in Networks of Queues.,"Proceedings of the Thirteenth International Conference on Artificial Intelligence and Statistics, AISTATS 2010, Chia Laguna Resort, Sardinia, Italy, May 13-15, 2010"
