Keyword,Article_id
SVM,"{2306, 3370, 3262, 3298}"
Ranking,"{2449, 3298, 3331, 1900}"
Domain Adaptation,"{3312, 2561, 814}"
Retrieval,"{3363, 5203, 2459, 2708}"
Bayesian Inference,"{2489, 3378, 2139}"
Linear Programming,"{3385, 2434, 2662}"
Graph Cuts,"{3385, 2098, 2909}"
Languages,"{3395, 5061, 3401, 7179, 4045, 5300, 3479, 3864, 2170, 4797}"
Applications,"{4195, 7171, 6086, 3144, 3401, 3227, 3903}"
Systems,"{4739, 4867, 6533, 6664, 4622, 4624, 3987, 3737, 6686, 4259, 3748, 4388, 5156, 6828, 5294, 6446, 6454, 5051, 3647, 5315, 4550, 5318, 6217, 3410, 3794, 3412, 5203, 4313, 5082, 4572, 3421, 5728, 5477, 5096, 4074, 3308, 5232, 3953, 4593, 4084, 4857, 3580, 4093}"
Engineering,"{3441, 19, 1492}"
Graphs,"{5898, 6289, 5908, 5014, 4633, 5787, 6812, 6947, 3497, 1839, 4657, 5948, 6718, 6851, 6215, 1880, 4954, 6881, 5482, 5487, 4981, 6389, 6264, 6394}"
Model Checking,"{3585, 6914, 4483, 5896, 4886, 5015, 5147, 4892, 3484, 3619, 4261, 5673, 3633, 3895, 3511, 3645, 4544, 5192, 4169, 6472, 5073, 5971, 3928, 5500}"
Checking,"{3585, 4483, 5160, 5261, 3633, 5201, 3511, 3737, 4346, 3484}"
Logic,"{3841, 5505, 3468, 6284, 3854, 6668, 4753, 4883, 3604, 3988, 6805, 5785, 6173, 5537, 3495, 5550, 5424, 6580, 3903, 4290, 4678, 6598, 3792, 4050, 6100, 4834, 6118, 5864, 6251, 6509, 6388, 4603}"
Spaces,"{5573, 3911, 6794, 4782, 6126, 3632, 2992, 4021, 2296, 4092}"
Classes,"{4557, 3632, 5456, 3093, 3002}"
Model,"{5536, 3111, 4009, 3851, 5205, 5429, 5589, 4600, 6261, 3642, 1883}"
Probabilistic,"{3680, 2913, 5799, 3596, 6000, 6033, 6929, 3988, 6584}"
Evaluation,"{3707, 3692, 2938, 5019, 4222}"
Extended Abstract,"{3713, 3395, 3911, 5095, 5003, 4045, 4079, 3634, 4020, 4949}"
Types,"{6080, 5979, 5253, 6662, 3724, 4145, 3636, 3768, 3579}"
Theory,"{4576, 5377, 6621, 4456, 6540, 3790, 6751, 211, 276, 5429, 5939, 6229, 6326, 5882, 6397, 6303}"
Constraints,"{3073, 3819, 6480, 3026, 6551}"
Maude,"{4320, 5985, 6630, 3656, 5260, 3631, 3921, 3826, 5464}"
Design,"{5680, 1890, 3837, 103}"
Timed Automata,"{3849, 3694, 5328, 3730, 4634}"
Automata,"{3968, 4611, 6148, 3849, 4234, 6346, 3694, 4943, 5328, 2551}"
Algebraic,"{3872, 3914, 6379, 3692, 6445, 4114, 3636, 6581, 6968}"
Continuous,"{7112, 3881, 469, 183, 6586}"
Reduction,"{4577, 5916, 3886, 4209, 2006, 2364}"
Processes,"{4416, 5888, 3491, 3947, 4747, 6172, 6862, 5936, 2163, 5881, 3932}"
Interpretation,"{3938, 3591, 6764, 5678, 3412}"
Functions,"{5829, 2441, 3941, 3727}"
Components,"{4195, 3941, 5194, 4971, 4209, 5395, 2742, 5016, 3613}"
Case Study,"{7072, 3489, 4001, 5793, 4900, 6817, 4844, 3405, 4493, 6093, 3953, 5937, 6130, 4244, 4508, 4702, 5631}"
Protocols,"{5121, 6181, 3974, 5970, 3770, 6331, 3868, 5183}"
Graph Transformation,"{4417, 5669, 3755, 5196, 4919, 4047, 3791, 4655, 5588, 3990, 4695, 4698}"
Semantics,"{6533, 5798, 6695, 5737, 5961, 4011, 4491, 3567, 3664, 6066, 5173, 6615, 6172}"
Interaction Nets,"{3824, 3500, 5133, 4023}"
Calculus,"{4611, 4740, 5604, 6375, 5352, 6887, 5692, 3990, 4023, 5528, 5373, 5467, 3836, 4349, 4510, 6111}"
Nets,"{4516, 3500, 5133, 3824, 4626, 4053, 5151}"
Petri Nets,"{6433, 4516, 3623, 4775, 4620, 5996, 6221, 4626, 4053, 4058, 6971, 5151}"
Simulation,"{4577, 4071, 3405, 4660, 6580, 6263, 1561, 4445}"
Computing,"{5958, 4104, 3724, 5485, 3503, 4565, 6078, 5631}"
Sets,"{3305, 5489, 4114, 5268, 5684, 6936, 3227, 6365}"
Rewriting,"{4130, 4711, 5739, 4116, 6584, 4249, 5466, 3903}"
Data Structures,"{4320, 4098, 5189, 4071, 4169, 4791, 6269}"
Overview,"{1511, 4201, 5101, 4365, 2907}"
Term Rewriting,"{5250, 5318, 4116, 5460, 4249, 4030}"
System,"{2372, 5510, 4266, 5034, 6354, 5016, 3549}"
Web Services,"{3619, 5127, 6610, 6934, 4284, 4958, 3423}"
Diagrams,"{4289, 4930, 4181, 3766, 7095}"
Specifications,"{3841, 4778, 6539, 5040, 5301, 4315, 3710}"
Reactive Systems,"{6446, 4259, 4246, 4343}"
Approach,"{6371, 4356, 2917, 3432, 4526, 5102, 6128, 4568, 6459}"
Causality,"{4363, 2427, 2102}"
Effects,"{5536, 5826, 6341, 6505, 6571, 3692, 4365, 304, 6128}"
Objects,"{4837, 6375, 5449, 3599, 4145, 4378}"
Introduction,"{4013, 6445, 5651, 4919, 1246, 4383}"
Refinement,"{5088, 6335, 5326, 4405, 6263, 3546, 4383}"
State,"{4007, 5513, 4468, 889, 5372, 4413}"
Algorithm,"{2978, 5287, 4424, 3788, 6255, 6356, 5052}"
Language,"{2786, 5196, 4433, 2003, 5718, 6207}"
Modeling,"{3549, 4433, 6996, 1629}"
Programming Languages,"{3042, 4453, 5807, 5042, 4310, 6556}"
Transformation,"{5507, 4453, 4655, 3791, 3990, 4698, 5019, 4511}"
Services,"{4674, 3619, 4460, 3927}"
Coordination,"{4336, 4460, 4069, 4958}"
Distributed Systems,"{5281, 5885, 4493, 4530, 3410, 3421}"
Study,"{3177, 4508, 3405, 4702}"
Petri,"{4516, 3623, 6696, 4141, 4626}"
Component-Based Systems,"{3953, 3748, 4593}"
Interfaces,"{4593, 716, 3070}"
Runtime Verification,"{4337, 4651, 3542}"
Programs,"{6594, 6717, 5285, 4651, 5035, 6639, 4337, 6650, 5110, 4186, 6269}"
Coalgebras,"{4199, 4007, 5519, 5300, 6388, 6583, 4664, 5213, 5694}"
Aspects,"{3666, 4378, 4669, 5051}"
Formal Approach,"{4267, 4725, 4695}"
Transformations,"{3650, 6505, 5035, 4626, 4760}"
Tests,"{4608, 7083, 4524, 4773}"
Dynamic Logic,"{4065, 4050, 4775}"
Unification,"{5369, 4804, 3812, 4356}"
Rational,"{217, 4804, 246}"
Development,"{4770, 4722, 4816}"
Reasoning,"{4224, 4834, 6538, 6869, 3766, 4954}"
Categorical,"{4456, 4841, 6609, 4318}"
Strategies,"{5888, 6552, 5223, 4843, 5260, 4910, 6033, 4242, 3640}"
Timed,"{3849, 4857, 3694}"
Verification,"{6528, 5121, 5445, 4393, 5802, 5970, 4213, 4860, 6911}"
Process Algebra,"{6335, 4677, 5734, 4884, 4472, 6271}"
Algebra,"{4677, 5734, 4625, 4884, 6071}"
Patterns,"{4616, 3546, 6798, 4895}"
Theorem Proving,"{5308, 4930, 3604, 4733}"
Decision Procedure,"{6836, 4835, 4228, 4932}"
Security,"{6181, 6781, 3819, 6446, 4948, 472, 6042, 5853}"
Logical,"{5528, 3873, 4011, 4981}"
Proofs,"{4932, 4999, 6477, 6736, 3734}"
Termination,"{4843, 3670, 4999}"
Games,"{5762, 6148, 2509, 5869, 5201, 6835, 5012, 4763}"
Properties,"{5024, 4135, 4747, 5261, 5110}"
Grammars,"{3745, 5027, 5333, 4302}"
Communication,"{224, 2374, 5043, 5875, 6774}"
Java Programs,"{4384, 5049, 6771, 5006}"
Categories,"{6082, 5283, 5637, 6953, 2317, 4237, 5070, 6492, 5661}"
Hybrid Systems,"{3656, 5075, 4084}"
systems,"{5418, 891, 5093, 4503}"
Algebras,"{6718, 5117, 6229, 3415, 5722, 5213, 4542}"
Propagation,"{2650, 5131, 3301}"
Interaction,"{3824, 5802, 3500, 5133}"
Logic Programming,"{3608, 6642, 4940, 5135}"
Linear Logic,"{3972, 6118, 7177, 6509, 5135, 3572}"
Computation,"{5672, 5258, 4684, 6066, 5140, 4470}"
Problem,"{2384, 4912, 6677, 5174, 6939}"
Equational Logic,"{4416, 5177, 3795}"
Rewriting Logic,"{3977, 3903, 5785, 6044, 5177}"
Logics,"{4000, 6240, 6424, 6752, 7105, 6698, 5580, 3567, 6160, 6259, 6710, 6264, 5209, 6717}"
Sequent Calculus,"{5217, 3972, 4237}"
Specification,"{5477, 6317, 3631, 5232, 3599, 5306}"
invited talk,"{3633, 5241, 3495}"
Theories,"{2726, 6920, 6474, 5835, 3921, 6968, 6648, 6173, 5247}"
Problems,"{5666, 5925, 5255, 6733, 3023, 2898}"
Machine,"{2536, 5265, 6026, 1847}"
Mobile Ambients,"{4313, 5475, 5270, 4409}"
Typed,"{4832, 5281, 6689, 4255}"
Game Semantics,"{4491, 5284, 6805, 4510}"
Coalgebraic,"{5285, 5798, 4524, 6580, 4123}"
Identification,"{5287, 4407, 2303}"
Real-Time Systems,"{3737, 5315, 5477, 3647}"
Composition,"{4034, 5316, 3774}"
Lambda Calculus,"{6016, 6115, 4772, 6887, 3624, 5352, 5963, 6672, 5873, 6196, 5467, 6111}"
Component Systems,"{4681, 4572, 5357}"
Preface,"{5531, 5363, 1988, 5277}"
Exceptions,"{4329, 5364, 3534}"
Assessment,"{5411, 3533, 2102}"
Hidden Markov,"{5419, 3139, 2396}"
Modal Logic,"{4872, 6251, 5550, 5424, 6388, 4923, 6173}"
Framework,"{6317, 5070, 6578, 2942, 6973, 5438}"
Computations,"{5440, 6825, 6381, 4018, 5016}"
case study,"{5448, 1595, 1347}"
Lambda,"{4881, 5467, 4772}"
Ambients,"{4409, 5475, 5468, 5270}"
Cloud Computing,"{5697, 5485, 5399, 508, 5631}"
Strategy,"{5489, 818, 2390}"
Environment,"{5432, 5210, 5491, 6411}"
Software Architecture,"{4393, 5525, 5846, 4047}"
Posets,"{6018, 5560, 6888, 3576, 5562}"
reasoning,"{315, 5570, 275}"
Expressive Power,"{5042, 4058, 5576}"
Graph,"{6240, 5958, 6088, 5580, 3791, 4763, 6047}"
Polymorphism,"{3980, 3861, 5583}"
Relations,"{4625, 5618, 5135}"
Case,"{1880, 4244, 5631}"
Static Analysis,"{6125, 5642, 4308, 5365}"
Invariants,"{3864, 5650, 5444}"
Domains,"{5443, 5768, 6536, 6633, 4940, 6803, 5652, 5816}"
Partial,"{6856, 2644, 5652, 5423}"
Maps,"{6953, 3810, 2195, 5661}"
Counting,"{6074, 3945, 5666, 2542}"
Quantum Computation,"{5672, 3697, 5258}"
Integration,"{3961, 1779, 5742}"
Web Service,"{4001, 5750, 3774}"
Concurrent Constraint,"{6600, 5800, 6191, 5744, 5042}"
Complete,"{2048, 5812, 5764}"
Java,"{5833, 5084, 5006}"
Concurrent,"{5888, 3873, 5869}"
Symbolic Model,"{4544, 5896, 5971, 5744}"
Tools,"{4784, 3891, 6044, 5907}"
Logic Programs,"{3897, 6567, 5341, 5919}"
Proof,"{4257, 5001, 5924}"
theory,"{284, 4941, 5924}"
Type Theory,"{6115, 5963, 6751, 6672, 5429, 6006, 7007, 3707, 6621, 6303}"
Model Transformation,"{4787, 5996, 4655}"
Type,"{5860, 6062, 5456, 7186, 6006}"
Graph Rewriting,"{5466, 3987, 6061}"
Computational,"{6571, 6349, 1742, 6068, 5268}"
Monad,"{4003, 6863, 5775, 6069, 6453}"
Intersection Types,"{4528, 6570, 5645, 6080}"
Integrated,"{6145, 3698, 1799}"
graphical approach,"{5570, 6150, 903}"
Coloring,"{6155, 5787, 4580}"
Security Protocols,"{6331, 3868, 6181, 4351}"
Constraint Programming,"{5744, 6600, 5800, 6191}"
Computability,"{6892, 6192, 6614, 4923, 3517}"
Nondeterminism,"{4304, 6314, 5427, 6243}"
Haskell,"{4201, 5833, 6249}"
Behavioral,"{178, 5739, 6259}"
Modal Logics,"{4000, 6264, 5580}"
CSP,"{6268, 6865, 5284, 4860}"
Expressions,"{6272, 3518, 5855}"
Denotational Semantics,"{4848, 6243, 6291}"
Testing,"{3881, 4346, 6295}"
Incremental,"{6295, 1972, 5583}"
Structure,"{2481, 2130, 6833, 6609, 6298}"
Domain Theory,"{5882, 6229, 6326}"
Interactions,"{4976, 4917, 6326}"
Abstract Interpretation,"{3938, 6331, 6764, 5919}"
Computational Complexity,"{6068, 5268, 6349}"
Complexity,"{6349, 2177, 4781}"
Algebraic Approach,"{4889, 4114, 6379}"
Completion,"{1864, 2930, 6380}"
Modal,"{4672, 6388, 3630}"
Operations,"{4675, 6396, 4365}"
Recursion,"{5104, 6408, 5829}"
Knowledge,"{144, 6424, 5735}"
Comparing,"{6433, 4339, 452}"
Clones,"{6474, 6396, 4013}"
Agents,"{5617, 4812, 6495}"
Realizability,"{6497, 5901, 6070}"
Simple,"{6497, 310, 4231}"
Trees,"{4616, 6498, 5071}"
Monads,"{6505, 6833, 3570, 6163, 6709}"
Linear,"{2434, 2315, 6509}"
Concurrency,"{3872, 6540, 4199}"
Expansion,"{4528, 5936, 6552}"
Category Theory,"{4576, 6556, 6308}"
Logical Relations,"{6556, 5618, 6284, 6692}"
Efficiency,"{5440, 6855, 6559, 276, 6879}"
Formal,"{6578, 5162, 6828, 4797}"
Integrating,"{6627, 5348, 1694}"
IEEE,"{4707, 5308, 6630}"
Spatial,"{6664, 3410, 4791}"
Hybrid,"{4065, 4084, 6668}"
Information Systems,"{6217, 6686, 4935}"
Separation Logic,"{5864, 6805, 6422}"
Markov Chains,"{6808, 5114, 4660}"
Formal Verification,"{6817, 5802, 4707}"
Codes,"{2680, 2329, 6839}"
Total,"{3704, 5860, 6848}"
Graph Grammars,"{3745, 3506, 6859}"
Expressiveness,"{4409, 6865, 4614}"
Similarity,"{2617, 6874, 2195}"
Dimension Reduction,"{2833, 6884, 2301}"
Set,"{5024, 3517, 6895}"
Topological,"{6900, 4445, 6614}"
Protocol,"{4435, 6911, 5127}"
Lawvere Theories,"{6920, 3449, 6474}"
Operators,"{6936, 5425, 3630}"
Complex Systems,"{5232, 6978, 6462}"
Discovery,"{2369, 2713, 6997}"
Neural Networks,"{7013, 3278, 798}"
Normalization,"{7022, 5645, 6590}"
Generative Models,"{2736, 804, 7045}"
Reinforcement Learning,"{7057, 2996, 1511}"
Representation,"{6856, 7060, 6887}"
Representations,"{7065, 2205, 3517}"
Datasets,"{7114, 3186, 5701}"
Abstraction,"{6895, 7183, 4791}"
Dependent Type,"{7186, 6292, 6006}"
Random_tag_0,"{0, 1540, 520, 5640, 5140, 40, 560, 2100, 3640, 2620, 5180, 580, 6740, 3680, 2660, 5220, 6760, 4720, 2180, 1160, 1680, 4240, 4760, 160, 1700, 5800, 3760, 180, 4280, 1220, 5320, 1740, 1240, 740, 3300, 5860, 6380, 6900, 760, 4860, 260, 2820, 6420, 280, 1340, 5440, 840, 4940, 1880, 4440, 3420, 360, 1900, 4460, 6520, 4480, 6020, 1420, 3980, 400, 4500, 7060, 6040, 4000, 420, 2980, 5540, 7080, 3500, 1460, 5560, 1980, 4540, 7100, 5060, 460, 4560, 980, 2520, 5080, 480, 2020, 4580, 6120, 2540, 1520, 500, 3060}"
Random_tag_4,"{4, 4104, 524, 3604, 2084, 4644, 1064, 3624, 6184, 4664, 1084, 3144, 4684, 3664, 2644, 1624, 2664, 1644, 5744, 3704, 2684, 124, 4224, 6784, 5764, 4744, 5624, 3724, 144, 1684, 3224, 164, 5284, 1704, 4784, 3764, 4284, 6844, 3264, 4804, 6344, 2264, 224, 6884, 744, 3824, 2804, 5364, 4344, 6904, 6404, 264, 5384, 1804, 3344, 5904, 1304, 284, 2844, 4384, 804, 5924, 2344, 304, 6464, 324, 2884, 5444, 1864, 4424, 2384, 3924, 344, 1384, 2924, 4464, 884, 4984, 1404, 384, 2944, 7044, 5004, 404, 5524, 3484, 2464, 5024, 4524, 3504, 5564, 1484, 984, 2524, 5084, 1504, 4064, 484, 5104, 504, 2044}"
Random_tag_8,"{2048, 4608, 3588, 8, 5648, 3608, 1068, 6188, 48, 4148, 5688, 1088, 6728, 2128, 1108, 608, 2148, 1128, 6768, 6268, 2688, 5248, 4228, 648, 2188, 4748, 2708, 4248, 6808, 668, 3228, 1188, 6308, 168, 6848, 2248, 3788, 728, 5848, 2268, 228, 5348, 4328, 3308, 4848, 248, 4868, 6408, 268, 1308, 3868, 288, 5428, 2368, 6468, 2888, 5448, 6988, 3408, 5968, 4948, 5468, 1888, 5988, 2408, 1388, 368, 388, 1928, 908, 5008, 1428, 928, 5028, 1448, 4528, 3508, 6068, 2488, 4028, 5568, 1988, 4548, 5068, 1488, 3028, 4588, 508, 1528, 3068}"
Random_tag_13,"{513, 3073, 7173, 13, 2573, 5653, 3613, 5153, 1573, 4133, 2093, 6713, 573, 73, 1613, 4693, 1113, 613, 6253, 5233, 4213, 4733, 5113, 1153, 3713, 6273, 133, 2193, 2713, 5273, 3233, 2213, 4773, 1193, 173, 2733, 1713, 2753, 6653, 4293, 3273, 5833, 2253, 2773, 3293, 2273, 233, 1773, 2813, 4353, 2313, 1293, 273, 2833, 3873, 293, 4393, 3373, 2873, 1853, 4413, 3913, 333, 5453, 4433, 3413, 2913, 5473, 1893, 4453, 3433, 1913, 893, 1933, 2453, 1433, 3993, 6553, 6053, 1453, 4013, 1993, 973, 3533, 4053, 6613, 473, 2013, 2533, 5093, 5613, 2033, 1013, 6133, 2553, 1533}"
Random_tag_15,"{515, 1035, 6155, 15, 6675, 535, 3095, 4135, 6195, 1595, 4675, 5715, 2135, 5735, 115, 1655, 5255, 5775, 2195, 4755, 6295, 5275, 4255, 3755, 175, 4275, 2235, 4795, 195, 4295, 3795, 5335, 4315, 5855, 2275, 4835, 6895, 3835, 1795, 775, 3335, 2315, 1295, 275, 4895, 295, 5415, 4395, 3375, 2355, 315, 3395, 4935, 6475, 1875, 4435, 3415, 5975, 3935, 6495, 1895, 375, 7035, 1415, 395, 1935, 6555, 3495, 1975, 3515, 6075, 4035, 3015, 5575, 975, 2515, 5075, 2015, 1515, 2035, 4595, 6135}"
Random_tag_19,"{6659, 3599, 19, 5139, 1559, 2079, 5159, 1079, 6199, 1599, 3139, 2119, 4679, 1619, 3159, 5719, 2139, 4199, 2159, 4719, 3699, 5239, 4219, 1659, 5759, 3719, 3219, 2199, 6299, 5279, 6319, 6839, 699, 199, 4299, 6859, 4819, 3799, 4839, 1259, 3819, 5359, 239, 2799, 1779, 4339, 5879, 5379, 1799, 4359, 4879, 1299, 3859, 5399, 5919, 6439, 1839, 6959, 3899, 319, 2879, 1359, 3919, 339, 859, 2399, 1899, 7019, 879, 4979, 6519, 4479, 1919, 3459, 4999, 4499, 2459, 939, 439, 2999, 1479, 6599, 3019, 3539, 5079, 499, 2039, 3579, 5119}"
Random_tag_2,"{2062, 22, 4122, 6682, 3622, 5162, 2102, 3642, 6202, 1602, 3142, 2122, 4182, 3162, 2142, 1122, 5222, 4202, 5742, 4722, 3702, 5242, 122, 6782, 142, 4242, 6802, 662, 5782, 3742, 162, 682, 2742, 1722, 4282, 702, 3262, 2242, 1742, 4302, 722, 3282, 1242, 3802, 3822, 242, 5362, 6902, 262, 6922, 6422, 2842, 6942, 2342, 2862, 1842, 3382, 6462, 322, 2882, 1862, 2382, 4942, 4442, 3942, 362, 2922, 7022, 4982, 1402, 5502, 7042, 3462, 2442, 1422, 4502, 5022, 422, 4522, 442, 3002, 5562, 4542, 7102, 3522, 1482, 462, 4562, 3542, 4062, 3042, 1522}"
Random_tag_7,"{1027, 4107, 1047, 27, 4127, 547, 5167, 6707, 3127, 2107, 4667, 2627, 5187, 4167, 87, 5207, 6747, 3167, 4707, 107, 2667, 5227, 627, 5747, 3707, 127, 5247, 6787, 3207, 3727, 147, 1687, 5627, 6807, 3227, 4767, 2727, 1707, 4267, 3247, 2227, 4787, 6327, 5307, 1727, 2247, 6347, 2267, 3807, 1767, 5867, 1267, 6387, 5367, 6907, 767, 1287, 4367, 787, 3347, 5907, 6427, 4387, 2347, 307, 1847, 4407, 827, 1347, 327, 2387, 3927, 347, 2907, 4447, 6507, 2427, 387, 6547, 407, 5527, 1947, 3487, 5027, 4007, 5547, 5047, 447, 3007, 5567, 967, 2507, 1507, 6627, 5607, 2027, 3567, 2547, 4087, 507}"
Random_tag_12,"{512, 2052, 532, 5652, 1052, 32, 552, 3632, 6192, 3132, 2112, 4672, 3652, 5712, 2652, 1632, 4192, 3692, 2672, 6272, 6292, 152, 672, 4772, 3752, 172, 4272, 5812, 2232, 3772, 6332, 192, 2252, 4812, 5332, 4832, 3812, 232, 4332, 3312, 2292, 252, 4872, 272, 5392, 1812, 6932, 5912, 3872, 1832, 5932, 4912, 312, 5432, 832, 4932, 3912, 3412, 2392, 1372, 3932, 352, 872, 3432, 2932, 4472, 3452, 3972, 392, 2952, 5012, 412, 4512, 432, 1972, 7092, 1472, 452, 3012, 4552, 2512, 1492, 472, 3052, 3572, 6132}"
Random_tag_16,"{516, 3076, 4616, 3596, 1556, 4116, 5656, 2076, 4636, 3616, 36, 1576, 2096, 1076, 3636, 4156, 576, 3656, 76, 2636, 4176, 3156, 6236, 4196, 2156, 4716, 5756, 1156, 6276, 4756, 156, 5796, 2216, 3756, 176, 2736, 5296, 3256, 1736, 716, 5836, 4816, 2776, 5336, 1756, 6876, 3816, 236, 2796, 5356, 1776, 4336, 2296, 3836, 6396, 2816, 4356, 276, 2836, 1316, 2856, 316, 2876, 6976, 4936, 336, 856, 7016, 876, 3436, 2936, 1916, 3456, 2456, 3996, 936, 3496, 436, 2996, 5556, 7096, 3516, 5056, 4036, 3016, 5576, 6616, 996, 2536, 3056, 3576, 2556}"
