author_id,affiliation
Jonathan Herington,JEWISH THEOLOGICAL SEMINARY OF AMERICA
Scott Tanona,UNIVERSITY OF ARKANSAS
Tyler Garcia,CHAMBERLAIN UNIVERSITY-ARIZONA
Gabi Waldhof,GEORGIA SOUTHWESTERN STATE UNIVERSITY
Johanna Jauernig,SCHOOL OF THE ART INSTITUTE OF CHICAGO
Matthias Uhl,UNITED THEOLOGICAL SEMINARY OF THE TWIN CITIES
Guy Widdershoven,SAN FRANCISCO CONSERVATORY OF MUSIC
Joeri Tijdink,OHIO STATE UNIVERSITY-LIMA CAMPUS
Krishma Labib,WILEY COLLEGE
Miranda Langendam,CHAMBERLAIN UNIVERSITY-OHIO
Noémie Aubert Bonn,WESLEYAN UNIVERSITY
Teodora Konach,ELMHURST UNIVERSITY
Ramón Alvarado,LAKE FOREST COLLEGE
Hannah Bleher,EDP UNIVERSITY OF PUERTO RICO-MANATI
Matthias Braun 0006,OHIO STATE UNIVERSITY-MANSFIELD CAMPUS
Martin Peterson,UNIVERSITY OF TOLEDO
Andrea R. Gammon,HUNTINGDON COLLEGE
David Shaw,CHRIST THE KING SEMINARY
Georg Starke,ROCKY MOUNTAIN COLLEGE OF ART AND DESIGN
Stephen R. Milford,HOWARD UNIVERSITY
Constantin Vica,UNIVERSITY OF CHARLESTON
Cristina Voinea,ST. JOHN'S COLLEGE-DEPARTMENT OF NURSING
Emilian Mihailov,HACKENSACK MERIDIAN SCHOOL OF MEDICINE
Fenneke Blom,PRAIRIE VIEW A & M UNIVERSITY
Giulia Inguaggiato,VIRGINIA POLYTECHNIC INSTITUTE AND STATE UNIVERSITY
Julia Prieß-Buchheit,UNIVERSITY OF MONTEVALLO
Linda Zollitsch,FLORIDA COLLEGE
Mariette A. van den Hoven,UNIVERSITY OF HOUSTON
Tom Lindemann,CATHOLIC DISTANCE UNIVERSITY
Enrique Asin-Garcia,SAE INSTITUTE OF TECHNOLOGY-CHICAGO
Linde F. C. Kampers,SOUTH DAKOTA STATE UNIVERSITY
Vítor A. P. Martins dos Santos,IRELL & MANELLA GRADUATE SCHOOL OF BIOLOGICAL SCIENCES AT CITY OF HOPE
Zoë Robaey,MARYMOUNT MANHATTAN COLLEGE
Guangyuan Hu,UNIVERSITY OF ALASKA FAIRBANKS
Li Tang,UNIVERSITY OF CENTRAL ARKANSAS
Linan Wang,NORTHWESTERN STATE UNIVERSITY OF LOUISIANA
Maciej Musial,STRAYER UNIVERSITY-MARYLAND
Bor Luen Tang,MOUNT VERNON NAZARENE UNIVERSITY
Nicole Shu Ling Yeo-Teh,UNIVERSITY OF MASSACHUSETTS-LOWELL
Andrew McAninch,KANSAS STATE UNIVERSITY
Annika Lucht,SPALDING UNIVERSITY
Christoph Strunck,CHAMBERLAIN UNIVERSITY-ILLINOIS
Jochen Vollmann,CUNY BERNARD M BARUCH COLLEGE
Joschka Haltaufderheide,UNIVERSITY OF UTAH
Mariana D. Ribeiro,KENTUCKY MOUNTAIN BIBLE COLLEGE
Michael W. Kalichman,UNIVERSITY OF MISSISSIPPI
Sonia M. R. Vasconcelos,INDIANA UNIVERSITY-PURDUE UNIVERSITY-INDIANAPOLIS
Katleen Gabriels,JOHNSON C SMITH UNIVERSITY
Richard Volkman,INTER AMERICAN UNIVERSITY OF PUERTO RICO-SAN GERMAN
Jacqueline Dalziell,THE UNIVERSITY OF TEXAS AT AUSTIN
Wendy Rogers,UNIFICATION THEOLOGICAL SEMINARY
Jonas von Wangenheim,ANTIOCH UNIVERSITY-PHD PROGRAM IN LEADERSHIP AND CHANGE
Vincent Meisner,FITCHBURG STATE UNIVERSITY
Shuguang Zhu,MOREHOUSE COLLEGE
Chengbo Xie,UNIVERSITY OF SAINT MARY
Ping He,STOCKTON UNIVERSITY
Zehao Liu,UNIVERSITY OF MAINE AT MACHIAS
José Heleno Faro,MIDWIVES COLLEGE OF UTAH
Fabrizio Panebianco,UNIVERSITY OF PHOENIX-NEW MEXICO
Paolo Pin,YORK COLLEGE OF PENNSYLVANIA
Pierpaolo Battigalli,MANHATTAN SCHOOL OF MUSIC
Krishna Dasaratha,LAKE FOREST COLLEGE
Joel P. Flynn,HOWARD UNIVERSITY
Karthik A. Sastry,NEBRASKA METHODIST COLLEGE OF NURSING & ALLIED HEALTH
Hendrik Rommeswinkel,CLAREMONT SCHOOL OF THEOLOGY
Hung-Chi Chang,BRYN ATHYN COLLEGE OF THE NEW CHURCH
Wen-Tai Hsu,INDIANA UNIVERSITY-SOUTHEAST
Hanzhe Zhang,MONTANA STATE UNIVERSITY BILLINGS
Jiabin Wu,MISSISSIPPI STATE UNIVERSITY
Victor Hiller,THE COLLEGE OF HEALTH CARE PROFESSIONS-FORT WORTH
Jose Apesteguia,CALIFORNIA HEALTH SCIENCES UNIVERSITY
Miguel A. Ballester,ILIFF SCHOOL OF THEOLOGY
Laurent Cavenaile,XAVIER UNIVERSITY OF LOUISIANA
Lionel Artige,BUTLER UNIVERSITY
Arina Nikandrova,TREVECCA NAZARENE UNIVERSITY
Tatiana Mayskaya,RINGLING COLLEGE OF ART AND DESIGN
Feng Dong 0003,FORT HAYS STATE UNIVERSITY
Zhifeng Cai,SCHOOL OF THE ART INSTITUTE OF CHICAGO
Elena L. del Mercato,RIPON COLLEGE
Van-Quy Nguyen,THE UNIVERSITY OF TEXAS AT SAN ANTONIO
Todd Keister,PRINCIPIA COLLEGE
Yuliyan Mitkov,SHERMAN COLLEGE OF CHIROPRACTIC
Jimmy Chan,LOMA LINDA UNIVERSITY
Wenzhang Zhang,SAINT AMBROSE UNIVERSITY
Mu Zhang 0015,ROCKY VISTA UNIVERSITY
Rui Tang,FIDM-FASHION INSTITUTE OF DESIGN & MERCHANDISING-LOS ANGELES
Dilip Mookherjee,REISS-DAVIS GRADUATE SCHOOL
Masatoshi Tsumagari,SOUTHWEST BAPTIST UNIVERSITY
Ilan Nehama,THE SANTA BARBARA AND VENTURA COLLEGES OF LAW AT VENTURA
Yuval Heller,MACMURRAY COLLEGE
Dong Chul Won,SUNY COLLEGE OF AGRICULTURE AND TECHNOLOGY AT COBLESKILL
Ryuji Sano,CHOWAN UNIVERSITY
Deepal Basak,BOSTON UNIVERSITY
Chang Zhao,MANSFIELD UNIVERSITY OF PENNSYLVANIA
Eilon Solan,KEY COLLEGE
Ethem Akyol,NEBRASKA WESLEYAN UNIVERSITY
Ryonghun Im,GOLDEY-BEACOM COLLEGE
Takeo Hori,UNIVERSITY OF CINCINNATI-MAIN CAMPUS
Mehmet Barlo,NEW MEXICO HIGHLANDS UNIVERSITY
Nuh Aygün Dalkiran,EASTERN CONNECTICUT STATE UNIVERSITY
Christoph Carnehl,SEATTLE FILM INSTITUTE
Nenad Kos,BAY PATH UNIVERSITY
Satoshi Fukuda,NORTH CAROLINA A & T STATE UNIVERSITY
Takashi Kunimoto,CHRISTIE'S EDUCATION
Yi-Chun Chen,MOORE COLLEGE OF ART AND DESIGN
Yifei Sun,WESTERN THEOLOGICAL SEMINARY
György Kozics,THOMAS UNIVERSITY
Nóra Gabriella Szoke,CITY COLLEGE-FORT LAUDERDALE
Péter Bayer,UNIVERSITY OF SAINT MARY OF THE LAKE
Nilanjan Roy,KENT STATE UNIVERSITY AT SALEM
Christian Basteck,WOMEN'S INSTITUTE OF TORAH SEMINARY AND COLLEGE
Lars Ehlers,BEREA COLLEGE
Thomas Jungbauer,COLORADO TECHNICAL UNIVERSITY-COLORADO SPRINGS
Yi Chen,MISSOURI STATE UNIVERSITY-SPRINGFIELD
Zhe Wang,WESTERN MICHIGAN UNIVERSITY
Soumyarup Sadhukhan,MITCHELL COLLEGE
Souvik Roy,CHATHAM UNIVERSITY
Kalyan Chatterjee,BAIS MEDRASH TORAS CHESED
Tai-Wei Hu,UNIVERSITY OF PITTSBURGH-BRADFORD
Atsushi Kajii,UNIVERSITY OF HOUSTON-CLEAR LAKE
Shurojit Chatterji,LUTHER RICE COLLEGE & SEMINARY
Ahmed Saber Mahmud,HERZING UNIVERSITY-NEW ORLEANS
Christophe Bravard,THOMAS UNIVERSITY
Pascal Billand,CAROLINA COLLEGE OF BIBLICAL STUDIES
Sudipta Sarangi,COLLEGE UNBOUND
Sumit Joshi,UPPER IOWA UNIVERSITY
Bhaskar Dutta,AUGUSTANA COLLEGE
Francis Bloch,ITHACA COLLEGE
Marcin Dziubinski,HOWARD PAYNE UNIVERSITY
Jun Liu,SOUTHWEST UNIVERSITY OF VISUAL ARTS-ALBUQUERQUE
Kai Li,JUDSON UNIVERSITY
Bertrand Melenberg,WALSH COLLEGE
Nikolaus Schweizer,STEVENS-HENAGER COLLEGE
Ruonan Fu,PRESBYTERIAN THEOLOGICAL SEMINARY IN AMERICA
Jean-Marc Bonnisseau,PONCE HEALTH SCIENCES UNIVERSITY-CENTRO UNIVERSITARIO DE SAN JUAN
Paolo Siconolfi,WESTERN WASHINGTON UNIVERSITY
David Walker-Jones,UNIVERSITY OF IDAHO
Alexander Teytelboym,ARIZONA STATE UNIVERSITY-DOWNTOWN PHOENIX
Francesca Parise,COLORADO CHRISTIAN UNIVERSITY
Selman Erol,STEPHEN F AUSTIN STATE UNIVERSITY
Igor Letina,ANDERSON UNIVERSITY
Nick Netzer,MONTANA STATE UNIVERSITY-NORTHERN
Shuo Liu,CALIFORNIA INSTITUTE OF ADVANCED MANAGEMENT
Ran Eilat,OHIO STATE UNIVERSITY-LIMA CAMPUS
Zvika Neeman,EDP UNIVERSITY OF PUERTO RICO INC-SAN JUAN
Xiangqian Yang,STEVENS-HENAGER COLLEGE
Guido Ascari,JUNIATA COLLEGE
Nigel McClung,CHRIST MISSION COLLEGE
Sophocles Mavroeidis,UNITEK COLLEGE
Dino Borie,STERLING COLLEGE
Kirill S. Evdokimov,THE UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT HOUSTON
Lucas Pahl,OKLAHOMA PANHANDLE STATE UNIVERSITY
Rida Laraki,MERCER UNIVERSITY
Srihari Govindan,FRANCIS MARION UNIVERSITY
Yonggyun Kim,MISSOURI SOUTHERN STATE UNIVERSITY
Edward E. Schlee,UNIVERSITY OF WISCONSIN-GREEN BAY
M. Ali Khan,NEUMANN UNIVERSITY
Can Urgun,EMERSON COLLEGE
Doruk Cetemen,YESHIVATH BETH MOSHE
Felix Zhiyu Feng,WESTERN CAROLINA UNIVERSITY
Hans Gersbach,THE ART INSTITUTE OF HOUSTON
Matthew O. Jackson,ART CENTER COLLEGE OF DESIGN
Oriol Tejada,IOWA STATE UNIVERSITY
Philippe Muller,STEVENSON UNIVERSITY
Benjamin Hébert,SAE EXPRESSION COLLEGE
Michael Woodford,CALIFORNIA COLLEGE SAN DIEGO-COLLEGEAMERICA-PHOENIX
Alexander Zentefis,CHAMBERLAIN UNIVERSITY-NEW JERSEY
Kai-Hao Yang,MISSOURI UNIVERSITY OF SCIENCE AND TECHNOLOGY
Mariya Teteryatnikova,MEREDITH COLLEGE
Philippe Bich,NORTH GREENVILLE UNIVERSITY
Rohit Rahi,MECHON L'HOYROA
Youcheng Lou,CASE WESTERN RESERVE UNIVERSITY
Christian König-Kersting,VERMONT TECHNICAL COLLEGE
Christopher Kops,SONOMA STATE UNIVERSITY
Stefan T. Trautmann,AVERETT UNIVERSITY
David McAdams,TEXAS A&M UNIVERSITY-TEXARKANA
Dihan Zou,DAEMEN COLLEGE
Yangbo Song,FLORIDA SOUTHERN COLLEGE
Bruce Ian Carlin,UNIVERSITY OF MARY HARDIN-BAYLOR
Daniel Andrei,EASTERN MENNONITE UNIVERSITY
Gianandrea Lanzara,PRINCETON UNIVERSITY
Matteo Santacesaria,WEST COAST UNIVERSITY-CENTER FOR GRADUATE STUDIES
Ali Shourideh,DEVRY UNIVERSITY-PENNSYLVANIA
Ariel Zetlin-Jones,HARDING UNIVERSITY
Benjamin Lester,THE UNIVERSITY OF TENNESSEE SYSTEM OFFICE
Venky Venkateswaran,UNIVERSITY OF PUERTO RICO-BAYAMON
Jakob Grue Simonsen,DENISON UNIVERSITY
Jakub Dargaj,THE SEATTLE SCHOOL OF THEOLOGY & PSYCHOLOGY
Jan Zápal,SH'OR YOSHUV RABBINICAL COLLEGE
Ying Chen,STRAYER UNIVERSITY-FLORIDA
Mert Kimya,KANSAS CITY ART INSTITUTE
Hadi Hosseini,STRAYER UNIVERSITY-PENNSYLVANIA
Yuki Tamura,MIDWESTERN UNIVERSITY-DOWNERS GROVE
Hang Zhou,CENTRAL BAPTIST COLLEGE
Aytek Erdil,BAPTIST UNIVERSITY OF THE AMERICAS
Minoru Kitahara,INSTITUTE OF CLINICAL ACUPUNCTURE & ORIENTAL MED
Taro Kumano,HOLLINS UNIVERSITY
Yasunori Okumura,NORTHWEST UNIVERSITY
Constantinos Syropoulos,UNIVERSITY OF IDAHO
Michelle R. Garfinkel,RABBINICAL COLLEGE OHR YISROEL
Thomas Zylkin,EAST TENNESSEE STATE UNIVERSITY
Jan Werner,SOUTHEAST MISSOURI STATE UNIVERSITY
Ding Dong,CHRIST MISSION COLLEGE
Pengfei Wang,SHEPHERDS COLLEGE
Tao Zha,TRIDENT UNIVERSITY INTERNATIONAL
Zheng Liu,CHARTER OAK STATE COLLEGE
Marek Kapicka,KEY COLLEGE
Peter Rupert,WILEY COLLEGE
Ilwoo Hwang,CALIFORNIA STATE UNIVERSITY MARITIME ACADEMY
Renee Bowen,SAN DIEGO GLOBAL KNOWLEDGE UNIVERSITY
Stefan Krasa,SHENANDOAH UNIVERSITY
Marciano M. Siniscalchi,PENNSYLVANIA STATE UNIVERSITY-MAIN CAMPUS
Thomas J. Sargent,COLLEGE OF SAINT BENEDICT
Cheng Wang,NORTHWESTERN UNIVERSITY
Youzhi Yang,UNIVERSITY OF WISCONSIN-MILWAUKEE
Bin Miao,VALPARAISO UNIVERSITY
Qiang Shen,GRACE MISSION UNIVERSITY
Songfa Zhong,MISSOURI VALLEY COLLEGE
Soo Hong Chew,OZARK CHRISTIAN COLLEGE
Jack Stecher,UNIVERSITY OF NORTH GEORGIA
Patricia Rich,JUNG TAO SCHOOL OF CLASSICAL CHINESE MEDICINE
Simon Grant,MARYLAND UNIVERSITY OF INTEGRATIVE HEALTH
Jin Yong Jung,SOUTH GEORGIA STATE COLLEGE
Benjamin Bushong,PLATT COLLEGE-RIVERSIDE
Tristan Gagnon-Bartsch,BLACKBURN COLLEGE
Daniel Clark,RABBINICAL COLLEGE OHR YISROEL
Drew Fudenberg,NORTHEASTERN UNIVERSITY
Kevin He,HERZING UNIVERSITY-ATLANTA
Luis R. Izquierdo,COLLEGEAMERICA-DENVER
Segismundo S. Izquierdo,INTER AMERICAN UNIVERSITY OF PUERTO RICO-SAN GERMAN
Debasis Mishra,CLEVELAND UNIVERSITY-KANSAS CITY
Sushil Bikhchandani,PENNSYLVANIA STATE UNIVERSITY-PENN STATE HAZLETON
Oded Stark,ECCLESIA COLLEGE
Nick Saponara,SAN DIEGO GLOBAL KNOWLEDGE UNIVERSITY
Dino Gerardi,LAWRENCE TECHNOLOGICAL UNIVERSITY
Edoardo Grillo,UNIVERSIDAD DEL SAGRADO CORAZON
Ignacio Monzón,UNION UNIVERSITY
Ellen V. Muir,VIRGINIA STATE UNIVERSITY
Peter G. Taylor,HOLY APOSTLES COLLEGE AND SEMINARY
Simon Loertscher,FIVE BRANCHES UNIVERSITY
Gilat Levy,UNIVERSITY OF CALIFORNIA-DAVIS
Ronny Razin,LANCASTER THEOLOGICAL SEMINARY
Christian Saile,AMERICAN ACADEMY OF ART
Christian Stricker 0001,UNIVERSITY OF MARY WASHINGTON
Felix Brandt 0001,UNIVERSITY OF PUGET SOUND
Arthur J. Robson,UNIVERSITY OF PHOENIX-CALIFORNIA
Larry Samuelson,KUYPER COLLEGE
Lars Peter Hansen,UNIVERSITY OF THE DISTRICT OF COLUMBIA-DAVID A CLARKE SCHOOL OF LAW
Ronald Wolthoff,WILMINGTON UNIVERSITY
Stanislav Rabinovich,RABBINICAL COLLEGE TELSHE
Harry Pei,THE UNIVERSITY OF WEST FLORIDA
Ying Gao,PERU STATE COLLEGE
Takeshi Nishimura,CORNERSTONE UNIVERSITY
Alex Suzdaltsev,CHAMBERLAIN UNIVERSITY-LOUISIANA
Zachary Breig,THE MASTER'S UNIVERSITY AND SEMINARY
Dimitri Migrow,UNIVERSITY OF FLORIDA
Carlos E. da Costa,HERZING UNIVERSITY-ORLANDO
Lucas J. Maestri,WALDEN UNIVERSITY
Marcelo R. Santos,AMERICAN UNIVERSITY
Andreas Blume,CHARLESTON SOUTHERN UNIVERSITY
Inga Deimen,UNIVERSITY OF HOUSTON
Sean Inoue,SOUTHERN CONNECTICUT STATE UNIVERSITY
Kiminori Matsuyama,PLATT COLLEGE-LOS ANGELES
Philip Ushchev,ERIKSON INSTITUTE
Fei Tan,CORNERSTONE UNIVERSITY
Jieran Wu,ATLANTIC INSTITUTE OF ORIENTAL MEDICINE
Zhao Han,XAVIER COLLEGE SCHOOL OF NURSING
Alice Hsiaw,PENNSYLVANIA COLLEGE OF ART AND DESIGN
Ing-Haw Cheng,SAINT NORBERT COLLEGE
Ratul Lahkar,JOHNSON & WALES UNIVERSITY-ONLINE
Sayan Mukherjee 0007,AUGUSTA UNIVERSITY
Jian Li,SOUTHERN STATES UNIVERSITY
Junjie Zhou,WILLIAM PATERSON UNIVERSITY OF NEW JERSEY
Ying-Ju Chen,THE CHICAGO SCHOOL OF PROFESSIONAL PSYCHOLOGY AT SAN DIEGO
Marcus Pivato,UNIVERSIDAD CENTRAL DE BAYAMON
Evan Piermont,WELLESLEY COLLEGE
Antonio Rosato,THE COLLEGE OF HEALTH CARE PROFESSIONS-DALLAS
Benjamin Balzer,ROCKHURST UNIVERSITY
Aloisio Araujo,ALBRIGHT COLLEGE
C. Parra,NEW MEXICO HIGHLANDS UNIVERSITY
S. Vieira,NOTRE DAME OF MARYLAND UNIVERSITY
Brian Hill,MIDWAY UNIVERSITY
Mira Frick,CUMBERLAND UNIVERSITY
Ryota Iijima,REGIS UNIVERSITY
Yves Le Yaouanq,BABSON COLLEGE
Demian Pouzo,WILMINGTON UNIVERSITY
Ignacio Esponda,THE CREATIVE CENTER
Yuichi Yamamoto,METHODIST UNIVERSITY
Amnon Schreiber,GEORGE MASON UNIVERSITY
Gilad Bavly,TALMUDICAL SEMINARY OF BOBOV
David Kelsey,PENNSYLVANIA STATE UNIVERSITY-PENN STATE NEW KENSINGTON
Joshua C. Teitelbaum,WINEBRENNER THEOLOGICAL SEMINARY
Surajeet Chakravarty,WHEATON COLLEGE
Alexander Gorokhovsky,CUNY HUNTER COLLEGE
Anna Rubinchik,NORTHERN MARIANAS COLLEGE
Yi-Hsuan Lin,STOCKTON UNIVERSITY
Jorge Alcalde-Unzu,PACIFIC LUTHERAN UNIVERSITY
Juan D. Moreno-Ternero,NORTHWEST NAZARENE UNIVERSITY
Shlomo Weber,UNIVERSITY OF ILLINOIS SPRINGFIELD
Kazuhiro Hara,THE UNIVERSITY OF TEXAS AT EL PASO
Dominik Peters,SOFIA UNIVERSITY
Florian Brandl,PONTIFICAL CATHOLIC UNIVERSITY OF PUERTO RICO-ARECIBO
Teruki Konishi,JOHN PATRICK UNIVERSITY OF HEALTH AND APPLIED SCIENCES
Ivan Balbuzanov,CLEARY UNIVERSITY
Fuhito Kojima,UNIVERSITY OF SOUTHERN INDIANA
Isa Emin Hafalir,HUSSIAN COLLEGE-LOS ANGELES
M. Bumin Yenmez,FRANCISCAN UNIVERSITY OF STEUBENVILLE
Zhiwei Xu,FLORIDA INSTITUTE OF TECHNOLOGY-ONLINE
Andis Sofianos,MARTIN LUTHER COLLEGE
Andreas Reischmann,VIRGINIA STATE UNIVERSITY
Joerg Oechssler,UNIVERSIDAD POLITECNICA DE PUERTO RICO
Javier Fernández-Blanco,NORTHEASTERN ILLINOIS UNIVERSITY
Konstantin Guryev,ELMEZZI GRADUATE SCHOOL OF MOLECULAR MEDICINE
Simona Fabrizi,NORTHEASTERN ILLINOIS UNIVERSITY
Steffen Lippert,UNIVERSITY OF HAWAII-WEST OAHU
Ju Hu,UNION COLLEGE
Zhen Zhou,PACIFIC RIM CHRISTIAN UNIVERSITY
Qiang Fu 0002,RICHMONT GRADUATE UNIVERSITY
Yuxuan Zhu,UNIVERSITY OF SOUTH DAKOTA
Zenan Wu,INDIANA UNIVERSITY-NORTHWEST
Federico Echenique,PINE MANOR COLLEGE
Jamie Vinson,NORTHWESTERN POLYTECHNIC UNIVERSITY
Luciano Pomatto,BEACON COLLEGE
Masaki Miyashita,TEXAS TECH UNIVERSITY HEALTH SCIENCES CENTER-EL PASO
Yuta Nakamura,BAIS MEDRASH ELYON
Haijun Wang,LINCOLN UNIVERSITY
Jun Nie,THE UNIVERSITY OF TEXAS PERMIAN BASIN
Yulei Luo,MUHLENBERG COLLEGE
Andrew J. Sinclair,EAST WEST COLLEGE OF NATURAL MEDICINE
Daniel Friedman,PROVIDENCE CHRISTIAN COLLEGE
Jean Paul Rabanal,EASTERN WASHINGTON UNIVERSITY
Olga A. Rud,PHILADELPHIA COLLEGE OF OSTEOPATHIC MEDICINE
Shuchen Zhao,YESHIVA OHR NAFTOLI
Hyeng Keun Koo,DELL'ARTE INTERNATIONAL SCHOOL OF PHYSICAL THEATRE
Junkee Jeon,BAIS MEDRASH OF DEXTER PARK
Kyoung Jin Choi,THE MASTER'S UNIVERSITY AND SEMINARY
Nicolas Klein,UNIVERSITY OF HAWAII AT HILO
Peter A. Wagner,MONTANA STATE UNIVERSITY BILLINGS
Nail Kashaev,CONCORDIA COLLEGE AT MOORHEAD
Victor H. Aguiar,SOUTHWESTERN INDIAN POLYTECHNIC INSTITUTE
Hervé Crès,TEXAS HEALTH AND SCIENCE UNIVERSITY
Mich Tvede,SULLIVAN UNIVERSITY
Jihwan Do,WORCESTER POLYTECHNIC INSTITUTE
Dongkyu Chang,UNIVERSIDAD ADVENTISTA DE LAS ANTILLAS
Jong Jae Lee,TRINITY CHRISTIAN COLLEGE
Edward Halim,PLATT COLLEGE-ONTARIO
Yohanes E. Riyanto,WINONA STATE UNIVERSITY
Thibault Fally,THE ART INSTITUTE OF VIRGINIA BEACH
Felix Várdy,UNIVERSITY OF NORTHERN COLORADO
John Morgan,RENSSELAER AT HARTFORD
Justin Tumlinson,PLATT COLLEGE-ANAHEIM
Yunzhi Hu,DENISON UNIVERSITY
Wonki Jo Cho,HOUSTON BAPTIST UNIVERSITY
Wooyoung Lim,ATLANTIC INSTITUTE OF ORIENTAL MEDICINE
Timothy M. Christensen,ARKANSAS TECH UNIVERSITY
Alexandros Rigos,FONTBONNE UNIVERSITY
Christoph Kuzmics,DORDT UNIVERSITY
Philipp Külpmann,UNIVERSITY OF LYNCHBURG
Antonio Guarino,UNIVERSITY OF THE WEST
Philippe Jehiel,UNIVERSITY OF CALIFORNIA-MERCED
Roberta De Filippis,UNIVERSITY OF PUERTO RICO-CAYEY
Toru Kitagawa,COASTAL PINES TECHNICAL COLLEGE
Christian Kellner,CHEYNEY UNIVERSITY OF PENNSYLVANIA
Sarah Auster,ROBERTS WESLEYAN COLLEGE
Adam Dominiak,CONGREGATION TALMIDEI MESIVTA TIFERES SHMIEL ALEKSANDER
Gerelt Tserenjigmid,CHAMBERLAIN UNIVERSITY-VIRGINIA
Julia Jiang,ARIZONA STATE UNIVERSITY CAMPUS IMMERSION
Weidong Tian,EMERSON COLLEGE
