description,decision,paper,reviewer
oRTAcoOWmBibGRSoHjErhUqJJAlPNyhYrMNGbnjdskMJGgtZipOGNGmpIPuzhwuibKUoQFRCGCyOaLMhSORIVtELvsIMAmfczoKp,Not Accepted,How Smart are Smart Materials? A Conceptual and Ethical Analysis of Smart Lifelike Materials for the Design of Regenerative Valve Implants.,Simon Lacoste-Julien
qNKxtnYImKEtqEbcpFyYyGSzaFiCxJPkSQOwhlnlXzThXLWsxDuSDnFoJkDlAMHBWbRBbJbTIHjStuyLeMDNkWNxPzEYNQnZeqXy,Accepted,Epistemic and Non-epistemic Values in Earthquake Engineering.,Jakob Kjøbsted Huusom
QMredfqVawvuRWHihRpNjFxNittuxfjOwvcGtyYLZnuLlckyTRENJpAlgWMEeQWIUSRWbaQIhEWgKDVyOXEFpKRGtGXCDDlDqNSo,Not Accepted,Epistemic and Non-epistemic Values in Earthquake Engineering.,Vladimiro Sassone
MUAjsCQWyMxPiuOiKxJDrORvIyLQiwZMKWpPyKplivIwMUHclRUmVdsQQSjYHoEQQhShefKmTtpIgWiNtYngqJRfqqtCNjkXyTPT,Accepted,Epistemic and Non-epistemic Values in Earthquake Engineering.,Manfred K. Warmuth
OXKQhNsNOLPhAioyzHOBWaxfRCacNvTFOZzgboFJOBprarYGEMJXEXxppVlmUdypiOYILxgIkxHlsfiKEEsjPDsmXNoYpYvyvjWJ,Not Accepted,Epistemic and Non-epistemic Values in Earthquake Engineering.,Xavier Rival
JfukPOjCpvVkeqLkkdIhbKrvVdDyoJqfZzzzGVJwAoXJsSgwuQJkZxQMdQkjYxvkIFMIgXdOjDIhMsCTVFYtStYvUeaSJPzMJaNa,Not Accepted,Epistemic and Non-epistemic Values in Earthquake Engineering.,Munther A. Dahleh
rFSIRARuzanPcupfEApZJsGKwAzyDtpeBbFmkSiTOSNStxLZoWGSpzGjAcsPLBAHbQSpZcNIGgolMoPSpjgKujsYBQJwvSrzaHdR,Not Accepted,Epistemic and Non-epistemic Values in Earthquake Engineering.,Roberto Bruni
CuWrJTkEGfjuTDRXalNijVGcSoeKVmbIPCPOgrDBbNNMKDFnBUlhsnKWDhHAsLmHtngAKPSRWAADWzGEixpyPsHFYUVAhUafDFKh,Not Accepted,Epistemic and Non-epistemic Values in Earthquake Engineering.,Matthew Spinks
oRXRtiJOMnZWijYsDSLSSzenXrLbfKasOPCMNTDjLGkmfASXeWdQeznaQVRSMsKinybIfcBNeWYIGabRVzlQTnQowRfdtiYVDkAZ,Accepted,Epistemic and Non-epistemic Values in Earthquake Engineering.,Jose Apesteguia
VfjTjwFBEAFscElEybwOuWtntVGSKqgLNmZjbmShOFeUZXEPdNlRlBcghvOXlGVvgcGDXLkSEBVOLNXUXULkQKSOsjfvWHZiabPU,Not Accepted,Epistemic and Non-epistemic Values in Earthquake Engineering.,Jinjin Zhang
NzgQuGqhXLTuMhrKAnrEtMsuiLbJrSdJYCmXXLnnGNuNSGBKiEgUsHmUfsZrEzAQrxByiKJvFJkdKpaUknRKWvCWUtNkdfKzmQnC,Accepted,Pedagogical Orientations and Evolving Responsibilities of Technological Universities: A Literature Review of the History of Engineering Education.,Can Li
xtuGIyYTJAoYjoBDpxmFLiZpTmJaXZYFhBSErseeTTHHdDUvMKmbUbVzSyEXymhefMkHXINbhrckxPPOgnSpoPyFTTJmhgDmvcWz,Accepted,Pedagogical Orientations and Evolving Responsibilities of Technological Universities: A Literature Review of the History of Engineering Education.,Sayan Mukherjee 0007
wBnkHdZKQtnAJMgTXhKYCFiGqwluSAmqiKtETzcvYcZiqkVSWvOPffymvgYRrNNSBKnmzQSclRNGjIFUGWIEPpQVHhJiWLuNaNuH,Not Accepted,Pedagogical Orientations and Evolving Responsibilities of Technological Universities: A Literature Review of the History of Engineering Education.,Guy Zanon
oLmeHqrQcyMsdQeBQTkAgDhZxQVHapbCFmDtpXHPAVknhoWxQkPKNGPUSENdiibIZJNmlAqNpBwOaIbtyOpsojoKMOkfPDADWLjj,Not Accepted,Pedagogical Orientations and Evolving Responsibilities of Technological Universities: A Literature Review of the History of Engineering Education.,Chris A. Kieslich
tmolSWLDjTrXdPltEyiHpnoudPzFfEjEBOKpARheKSSnQzmIqAdaTvsbJaWnSoLNQqlvObDlHFyEauwDqQWFITNyMqsBdzxPFmRq,Accepted,Pedagogical Orientations and Evolving Responsibilities of Technological Universities: A Literature Review of the History of Engineering Education.,Hasan Amjad
pHGjZMDecPobLsnNgKBFpTDEhmnkAmeZrQUPOuglTNlXOQkNVTazEXRYQEioxKiEsycEWSvgnkpQcoeLQsWOasvdUqHLHShaZAtY,Accepted,Pedagogical Orientations and Evolving Responsibilities of Technological Universities: A Literature Review of the History of Engineering Education.,Yee Whye Teh
FDyOOaPigpUHkKuTHFKWiJUVjbLqytukQfpZirqQzFycxTJSHgQGgyHjCKCeXgZszdVKElROdgRaaawSNDuDgcvWreJSrmVyGJtk,Accepted,Ethics Inside the Black Box: Integrating Science and Technology Studies into Engineering and Public Policy Curricula.,Richard Bubel
VUIJbeSKCfxtOFSmAIzODfClfouDCjHBeLyRmXUdNMqZfcrDJOQFvNjGuoYDdTQOPLGsCqCYQHHxWjIbJMHOHTJeuDQYPxnKZadt,Accepted,Ethics Inside the Black Box: Integrating Science and Technology Studies into Engineering and Public Policy Curricula.,Merijn de Jonge
RaYeBpWQMWtzyuAWdheHEhMFEGenWcqTMTnVjYMFKujDvyuysYcTUMlYjPEjpVJGfVTRYEunfaUXYSeJEnSWIStjKlwyFEPOsvRQ,Accepted,Ethics Inside the Black Box: Integrating Science and Technology Studies into Engineering and Public Policy Curricula.,Wilfried N. Gansterer
yMKqhuhUOwWQMOoThvTMFAIQSDbgbeEuXPblBdeSGBIQsysWLiAuhHrffnbpxfyJJAORoYZxRaWqTbeJsYdBlTHGhVcOoBiTkQsd,Accepted,Ethics Inside the Black Box: Integrating Science and Technology Studies into Engineering and Public Policy Curricula.,Mourad Debbabi
GWvcXmJlnVIgfyyICYPTHaFZUkNPRnppHTfHfVZglwjagyoCYipnNYvkqFGnLDeeszYuNIInqumamMzPxKQgRaIphUqDfuSBosgz,Not Accepted,Ethics Inside the Black Box: Integrating Science and Technology Studies into Engineering and Public Policy Curricula.,Hugo Pacheco 0001
xJpDKvAbYrEetgITTtHbHJaKnykjSaYmdjFDkafGdmPGLAoJQMXPDdvMoLEvSNphmSyxxbwHhqEmPhxlxqWCKYuTuvysVhcBDDeO,Not Accepted,A Systematic Review of the 2016 National Academy of Engineering Exemplary Ethics Programs: Revisions to a Coding Framework.,Geoffrey J. McLachlan
qnzElqKKECIrTiXTYUSYLSrWFJrmxPawWopWtaOGdfvKmmOfrDDkaaGwhuUZMGbfKzHxCDdqHBvthKzrrfmUlMEoZExkNkskEMSv,Accepted,A Systematic Review of the 2016 National Academy of Engineering Exemplary Ethics Programs: Revisions to a Coding Framework.,James Worrell 0001
iAPBuQTYYeVdHBOrJASsxJNNSLuUTipFAWJodgNeATBTQRKcupaljtfhSpbKwmKCLndtSAoRtEFFwntmbGUDaZayndoThQeYrvYL,Accepted,A Systematic Review of the 2016 National Academy of Engineering Exemplary Ethics Programs: Revisions to a Coding Framework.,Paul Blain Levy
mGmhOVwyTXBEYukcDPEAeDHaPLXZnOWJjGbTBxAbudLSIDJpDFZnnVDliuYsyLnEtKlDXttFTzOYypmmvLCogRrZwpIvuDIeNbTE,Not Accepted,A Systematic Review of the 2016 National Academy of Engineering Exemplary Ethics Programs: Revisions to a Coding Framework.,António Valente
YqsoMizGPBYTJIyHfEyxwTzcrrlsCpShympIFkSNiaxTZUYilniuxYrRGlgfoOHzMAUxBPXCUxKPEIbiHwWRuZeMlHuTCZszxwBJ,Not Accepted,A Systematic Review of the 2016 National Academy of Engineering Exemplary Ethics Programs: Revisions to a Coding Framework.,Kenji Fukumizu
NaDAzBCfDhiNyxdvWwKqFIHEtGUlBTUEDgwcYRTGCrgWKiGQWFVSgCseronFdRzIHHSEqscMIgjNdAVYfXPJGVVKlLydaOflcyCj,Not Accepted,A Systematic Review of the 2016 National Academy of Engineering Exemplary Ethics Programs: Revisions to a Coding Framework.,Vladimir Nikulin
vJHKWwruruetjDuIyIyFqedRCKVyFXVrhltRbUzBfQdPnAfgvTwhjgZYptjuCiZCqkIIrNGlHGEvWlJVkvzgEkPKdkiboIUxOlez,Not Accepted,A Systematic Review of the 2016 National Academy of Engineering Exemplary Ethics Programs: Revisions to a Coding Framework.,Rafael Angarita
lXXUgxGmazGRAMcOSpqnbIOPgqaaHzGqmOcOdjqIjQprUVQxTDHfpWioBSPRMLYdfqGJRiJOqkUqlfVbRpvAyxSpCSbXRKNJEmAJ,Accepted,A Systematic Review of the 2016 National Academy of Engineering Exemplary Ethics Programs: Revisions to a Coding Framework.,Arnak S. Dalalyan
YHbpzUUtQynInlrCpWDcGILGkjdojxqwifHDBXfLkamuomrYusyUPFBKBDWcwOJssjDLbkFftCkTKxLTefYGcBQoTQENLXOicqxM,Not Accepted,The Mentor's Role in Fostering Research Integrity Standards Among New Generations of Researchers: A Review of Empirical Studies.,Daniela Cancila
LNNFUSDkxFdRAaxPfLHbGiDOEHBkihOsewHfUOhuFHQLWuPMTRrxcDVovMnLeHtsmUjHSqAlUCpZVxQvIvzbGJpLzUQFYvGEkYDe,Not Accepted,The Mentor's Role in Fostering Research Integrity Standards Among New Generations of Researchers: A Review of Empirical Studies.,Mauricio Ayala-Rincón
HawoITrITFkMmplqckMoIFzyGQRkbYFqXpFnGXwgtqRZMEbVprKpEjvJbbiMpKAMudsYVKChyyCbjdKdkAeysuoiyozxoHyMDIFX,Not Accepted,The Mentor's Role in Fostering Research Integrity Standards Among New Generations of Researchers: A Review of Empirical Studies.,Calum McIntosh
WDCCAPEcUgbRMOBuwmEOeQxQfRflJVxwFlyxtcHqZPHrANFMfLfbwGrUKHggxFUwLZUJQHTjPHkDiPiYMBIOyJGSuFQWeuXbVZBd,Accepted,The Mentor's Role in Fostering Research Integrity Standards Among New Generations of Researchers: A Review of Empirical Studies.,Fabio Zanasi
zkFUKFgMTJCxQdIrSUuaKaVCqTnXAHthyxSVGLfyogHuMMZPPFxxwfXThKBYRUTIThcRRlKxpFsGgMXdHpcNXyBavyLLOebCcqTl,Accepted,The Mentor's Role in Fostering Research Integrity Standards Among New Generations of Researchers: A Review of Empirical Studies.,Marisa Gutierrez
BzrSBOgMOCiVVGUCSgsausHftGiBqcyrySIpsAYhHIurfxKeQLcBghrEApnlRrlekBpydsfmpOflQviEbhYCPUjsIPcGLAuagTGm,Accepted,The Mentor's Role in Fostering Research Integrity Standards Among New Generations of Researchers: A Review of Empirical Studies.,Guido Governatori
iKCIDVXPvCnZaZybdjSDoCoiifbynVsjfbjPPGapPSqXUvGslWMZlXcuTUvPEhPcVIEgWYedLmKSKTaMFHSDzmuaCdSQxRcsYXcL,Not Accepted,The Mentor's Role in Fostering Research Integrity Standards Among New Generations of Researchers: A Review of Empirical Studies.,Shamimabi Paurobally
oBQWkwpZWYpeGlJyOZZOjqtccHbkmDJAGQWrdvzlqvuZNKStEcgTfhZJHxYKvHMDFfitJRqrXosKCSHYzuSjJGtXeKrJsMWRoZEC,Accepted,The Mentor's Role in Fostering Research Integrity Standards Among New Generations of Researchers: A Review of Empirical Studies.,Nuno F. Rodrigues
paaHrQRJtAnMJGcQJTAyZQxAQpcMArcZWLykDnuxPDXjytCBbKjfWwQVAlsgpeCCYPgMEQnQmJtFGlDXnQPSACyUGKkBricyuLde,Accepted,Caring in an Algorithmic World: Ethical Perspectives for Designers and Developers in Building AI Algorithms to Fight Fake News.,Ugo Dal Lago
xjcWJbtYRfaFadvefiqzswDZctLEYexQypiEWHjATyNTGBbkcFEaGrIYVBSMZbBYUanLYItYNfdDFHsjcjosrCfodyBnRQnTVsmw,Accepted,Caring in an Algorithmic World: Ethical Perspectives for Designers and Developers in Building AI Algorithms to Fight Fake News.,Julia Padberg
XftvPJMDEygyCrwvabIrheQLrSAoEJOZLdkZREUqgqAIqIrGFqSzgWVWqzeXcvgndLURhZMybYgNwnthDMpLQGWATGAcZICRcPkd,Accepted,Caring in an Algorithmic World: Ethical Perspectives for Designers and Developers in Building AI Algorithms to Fight Fake News.,Fabien de Montgolfier
YlqBmEBmmNzVmfydkflyXHuPBMXZjpQwfOFEjmQjcUWfDuYTnIMDyhxWVLcELRvEHzTTaXLDgpdRWOWenvPRnhKrLFxbGQfLMqbX,Not Accepted,Caring in an Algorithmic World: Ethical Perspectives for Designers and Developers in Building AI Algorithms to Fight Fake News.,Alexandros Kalousis
EoekZKSNIfOJwrOmhDtahlUSwcCsfrMEhXQoKjznDPsNewepykwExhzjyqoIFTDAlsWswklaPatufrwKyRuXXmkSXHcxfafaucWF,Not Accepted,Caring in an Algorithmic World: Ethical Perspectives for Designers and Developers in Building AI Algorithms to Fight Fake News.,Rebeca Marfil
VeFlyDTfMLnYcYNvKpJebJAdWlGVhWdeDzpzAcyqHFbTtjnPQzsixHAMzyjOkzVjYjRaaYbKyrktuKfluxzVjFAsfSeYMtXVWaBE,Accepted,Caring in an Algorithmic World: Ethical Perspectives for Designers and Developers in Building AI Algorithms to Fight Fake News.,Ana Bove
XOhbxsGHLrzytYhKLtGVOSvHQBCBWsIyuJxNCWohouvmeUJGmUZRYZCEIqNBvuyUhagCEuvNcaVosnnTPVUWrSkZJJGEIZTbETUJ,Not Accepted,Caring in an Algorithmic World: Ethical Perspectives for Designers and Developers in Building AI Algorithms to Fight Fake News.,Lloyd MacKinnon
qKNQVXWdQWThIlFkmWNwDrYuYuhECQZsLdYdmmpSwIbzGqagLtSWpZGHoeRCeLkcpZdjXJPXaBqVDrOtMNhGYvtEPhgbQjSzTNGu,Not Accepted,"How Neurotech Start-Ups Envision Ethical Futures: Demarcation, Deferral, Delegation.",Shin-ichi Minato
TeWXXqrJvmUPaMiVKLWWUACSLqDCsPahcPaBpTPgCVJSEEzbpGWbmWdTMFrmLNyUFWUVPzcwIFUziFmyvcGqKORjlYKxAxOspYsd,Not Accepted,"How Neurotech Start-Ups Envision Ethical Futures: Demarcation, Deferral, Delegation.",Limor Fix
DilKyTAaQaILbwymwrmJHKTgCZjvzQuUNPdAethztZBgeRlIACADKfQxeKgQpLKgcJCIZJmNgIEZhEHcDzZGaTzikBtqYuMiJojO,Not Accepted,"How Neurotech Start-Ups Envision Ethical Futures: Demarcation, Deferral, Delegation.",Jonathan P. McMullen
KXrJBWGlgYTSrPHCdngJOUjtrywQBfMFgZQvQEOAwRsNyCZIljLZowTUojabiKxKzyjCNIzwcSWuahvwkXpOhDNVJFzbSmgYpIqb,Accepted,A Comparative Defense of Self-initiated Prospective Moral Answerability for Autonomous Robot harm.,Ola Angelsmark
LfKJXtrYnHFkfQcmnUYwJUTuzpSlYXljUtzGOgPuyfjFvaMnlzOUuXXoMaakgiQhcCrzvgMxIximktiUYOeOagRuuzjyMVkVRVnL,Not Accepted,A Comparative Defense of Self-initiated Prospective Moral Answerability for Autonomous Robot harm.,Jonathan Grattage
TCnCnqsveVEtamexYCuzNjPtRidZWhzdLPWeaXEfmVapeWjDkfVpACgRLnFxpQrFcOOVXxPwQYadXnZTSRjurXqKHioTVeGTHCFK,Not Accepted,A Comparative Defense of Self-initiated Prospective Moral Answerability for Autonomous Robot harm.,Daniel Pizzolato
YuzRVMqRDRjbgAFQFSPtcEXONYaRIPHEDfmwtXzjBcppkinAKcgbdvHLdroRHwpOvxfNfilpSNjqUmJvqTDAggaWURSxCHaCoBco,Accepted,A Comparative Defense of Self-initiated Prospective Moral Answerability for Autonomous Robot harm.,Juraj Kolcák
ghtzslzEUTUqJwksemjkrtXtsdKNNfVbDKPnsOnDvrVOwZDtNVxBehcUhjlAzfZarnHzfrhtoSDsSeZPzcjAIMmUgNliHSwuiibr,Accepted,A Comparative Defense of Self-initiated Prospective Moral Answerability for Autonomous Robot harm.,Matthew B. Blaschko
VVxDaljTZFapfutwMzGiXcDPKkIsObpQbBQImJjinqbWSiLcxgJbTSJBbkrYuOVAAVYXtixEkDseHIiFfhTHeYlLsEZuaUmlfxrl,Accepted,Educating Engineering Students to Address Bias and Discrimination Within Their Project Teams.,Erinc Merdivan
LduCxuDybBXSChMqPloTGpMuGIRayRHQqsVkycyvHWJuVSjxsLxlBXxzuxiAMXsutjmTiEBYJSDXaAsYpfjdjBPHjmbZvbRVClRI,Accepted,Educating Engineering Students to Address Bias and Discrimination Within Their Project Teams.,Yves Métivier
xeJKWarjkJRDWtzcDWjWlASvZmGUuvfVmPOjMghCsUobprDQABltsdzPKNZmUvGdDQGmlyAmNWzPGNazIPhpWgXmIKErjcJERoho,Not Accepted,Educating Engineering Students to Address Bias and Discrimination Within Their Project Teams.,Dominique Bolignano
cIHaBMkelyVqvEPbFZbcAGvewmPtiZSsQFiMOlFLJpTjhseGwpltusrNLavgJTZWZGYvPCrKdtSkdctMUbnkxOsbxwZWmQvuSbth,Accepted,Educating Engineering Students to Address Bias and Discrimination Within Their Project Teams.,Danel Ahman
RwyJKHxONMVLUXZOwdYBWAhbjpusoKtpXiSOiWgMfAVqkpuITiEgzbBzLlgyUYRaitnZjIxjGYKWQesLeIHmBnandtzcYIOaaUZx,Not Accepted,Educating Engineering Students to Address Bias and Discrimination Within Their Project Teams.,Wendelin Serwe
ouJpNWtjXjMDCSauHqxWVPGVjomEPyCqFPLOTiGPdbRqnlmhYbzOywrdToVDMOxjPfQDBpENdPOEkCYbYlIhQcAYMNlIdVaNsSnv,Not Accepted,Educating Engineering Students to Address Bias and Discrimination Within Their Project Teams.,Sören Laue
