paper,main_author
Optimal and Robust Price Experimentation: Learning by Lottery.,Christopher R. Dance
TopicFlow Model: Unsupervised Learning of Topic-specific Influences of Hyperlinked Documents.,Christopher D. Manning
Graphlet decomposition of a weighted network.,Edoardo M. Airoldi
A Hybrid Neural Network-Latent Topic Model.,Leo Zhu
Structured Prediction Cascades.,Benjamin Taskar
Winning the KDD Cup Orange Challenge with Ensemble Selection.,Alexandru Niculescu-Mizil
A Linear Ensemble of Individual and Blended Models for Music Rating Prediction.,Chen-Hung Wu
Guarantees for Approximate Incremental SVMs.,Antoine Bordes
A simple multi-armed bandit algorithm with optimal variation-bounded regret.,Elad Hazan
Message-Passing Algorithms for MAP Estimation Using DC Programming.,Akshat Kumar
Robust approachability and regret minimization in games with partial monitoring.,Gilles Stoltz
Online Learning: Beyond Regret.,Alexander Rakhlin
Divergences and Risks for Multiclass Experiments.,Dario García-García
Preface.,Loïc Paulevé
Lightning-speed Structure Learning of Nonlinear Continuous Networks.,Gal Elidan
Spatial Locality-Aware Sparse Coding and Dictionary Learning.,Jiang Wang 0001
Nonparametric Tree Graphical Models.,Arthur Gretton
Exact Bayesian structure learning from uncertain interventions.,Daniel Eaton
A Lattice of Sets of Alignments Built on the Common Subwords in a Finite Language.,Baptiste Jeudy
Dimensionality Reduction for Spectral Clustering.,Donglin Niu
QBoost: Large Scale Classifier Training with Adiabatic Quantum Optimization.,Geordie Rose
Fast Learning Rate of Multiple Kernel Learning: Trade-Off between Sparsity and Smoothness.,Masashi Sugiyama
Model Merging versus Model Splitting Context-Free Grammar Induction.,Menno van Zaanen
Collaborative Filtering on a Budget.,Alexander J. Smola
PAC-Bayes Analysis Of Maximum Entropy Classification.,David R. Hardoon
Bayesian Comparison of Machine Learning Algorithms on Single and Multiple Datasets.,Alexandre Lacoste
Incorporating Prior Knowledge on Features into Learning.,Eyal Krupka
Regression for sets of polynomial equations.,Duncan A. J. Blythe
Probabilistic Models for Incomplete Multi-dimensional Arrays.,Wei Chu
Hierarchical Latent Dictionaries for Models of Brain Activation.,Alona Fyshe
Improving posterior marginal approximations in latent Gaussian models.,Botond Cseke
Statistical test for consistent estimation of causal effects in linear non-Gaussian models.,Doris Entner
MOA Concept Drift Active Learning Strategies for Streaming Data.,Albert Bifet
Employing The Complete Face in AVSR to Recover from Facial Occlusions.,Alan Johnston
Fast search for Dirichlet process mixture models.,Hal Daumé III
A Hybrid Pareto Model for Conditional Density Estimation of Asymmetric Fat-Tail Data.,Julie Carreau
Learning Bayesian Network Structure using LP Relaxations.,Amir Globerson
A Unified Energy-Based Framework for Unsupervised Learning.,Marc'Aurelio Ranzato
Estimating beta-mixing coefficients.,Cosma Rohilla Shalizi
Regret Bounds for Gaussian Process Bandit Problems.,Jean-Yves Audibert
Online Inference of Topics with Latent Dirichlet Allocation.,Kevin Robert Canini
Krylov Subspace Descent for Deep Learning.,Daniel Povey
Sparse Probabilistic Principal Component Analysis.,Jennifer G. Dy
Spectral Dimensionality Reduction via Maximum Entropy.,Neil D. Lawrence
Content-based Image Retrieval with Multinomial Relevance Feedback.,Dorota Glowacka
Inference of k-Testable Directed Acyclic Graph Languages.,Antonio Javier Gallego Sánchez
Error Analysis of Laplacian Eigenmaps for Semi-supervised Learning.,Nathan Srebro
Evolving Cluster Mixed-Membership Blockmodel for Time-Evolving Networks.,Eric P. Xing
Stochastic Semi-supervised Learning.,J. Xie
Tight Bounds on Proper Equivalence Query Learning of DNF.,Devorah Kletenik
REGO: Rank-based Estimation of Renyi Information using Euclidean Graph Optimization.,Barnabás Póczos
Concentration-Based Guarantees for Low-Rank Matrix Reconstruction.,Nathan Srebro
Learning Thin Junction Trees via Graph Cuts.,Carlos Guestrin
A Finite Newton Algorithm for Non-degenerate Piecewise Linear Systems.,Shuicheng Yan
Causality: Objectives and Assessment.,Bernhard Schölkopf
A Unified Algorithmic Approach for Efficient Online Label Ranking.,Shai Shalev-Shwartz
Minimax Regret of Finite Partial-Monitoring Games in Stochastic Environments.,Csaba Szepesvári
"Collaborative Filtering with the Trace Norm: Learning, Bounding, and Transducing.",Ohad Shamir
SampleSearch: A Scheme that Searches for Consistent Samples.,Rina Dechter
Spanning Tree Approximations for Conditional Random Fields.,Cheng Soon Ong
Detection of Server-side Web Attacks.,Giorgio Giacinto
A Differentially Private Stochastic Gradient Descent Algorithm for Multiparty Classification.,Arun Rajkumar
Fuzzy Grammar-based Prediction of Amyloidogenic Regions.,Olgierd Unold
An Instantiation-Based Theorem Prover for First-Order Programming.,André Platzer
SubSift: a novel application of the vector space model to support the academic research process.,Peter A. Flach
Using Descendants as Instrumental Variables for the Identification of Direct Causal Effects in Linear SEMs.,Hei Chan
Recovering Cyclic Causal Structure.,Garry P. Nolan
Convergent Decomposition Solvers for Tree-reweighted Free Energies.,Gerald Matz
Reconstruction from Anisotropic Random Measurements.,Mark Rudelson
Bayesian Inference and Optimal Design in the Sparse Linear Model.,Florian Steinke
Importance Sampling for General Hybrid Bayesian Networks.,Changhe Yuan
Maximum Volume Clustering.,Bo Dai 0001
Distilled sensing: selective sampling for sparse signal recovery.,Jarvis D. Haupt
Clustering: Science or Art?,Isabelle Guyon
Beyond the regret minimization barrier: an optimal algorithm for stochastic strongly-convex optimization.,Elad Hazan
Block-sparse Solutions using Kernel Block RIP and its Application to Group Lasso.,Rahul Garg 0001
Transfer Learning by Kernel Meta-Learning.,Fabio Aiolli
Directional Statistics on Permutations.,Sergey M. Plis
State-Space Inference and Learning with Gaussian Processes.,Carl Edward Rasmussen
Maximum Entropy Correlated Equilibria.,Luis E. Ortiz
Relating Function Class Complexity and Cluster Structure in the Function Domain with Applications to Transduction.,Guy Lever
Learning of Bi-ω Languages from Factors.,D. Gnanaraj Thomas
Structured Sparse Principal Component Analysis.,Francis R. Bach
Complexity of Bethe Approximation.,Jinwoo Shin
Beyond Semilinearity: Distributional Learning of Parallel Multiple Context-free Grammars.,Alexander Clark
A novel greedy algorithm for Nyström approximation.,Ahmed K. Farahat
"Bandits, Query Learning, and the Haystack Dimension.",Kareem Amin 0002
Treelets | A Tool for Dimensionality Reduction and Multi-Scale Analysis of Unstructured Data.,Ann B. Lee
Random Feature Maps for Dot Product Kernels.,Harish Karnick
Sparse Nonparametric Density Estimation in High Dimensions Using the Rodeo.,Han Liu 0001
Ellipsoidal Machines.,Pannagadatta K. Shivaswamy
Visualizing Similarity Data with a Mixture of Maps.,Andriy Mnih
Two-way Parallel Class Expression Learning.,An C. Tran
Stochastic Bandit Based on Empirical Moments.,Akimichi Takemura
On Nonparametric Guidance for Learning Autoencoder Representations.,Hugo Larochelle
Learning low-rank output kernels.,Francesco Dinuzzo
Follow-the-Regularized-Leader and Mirror Descent: Equivalence Theorems and L1 Regularization.,H. Brendan McMahan
Simple ensemble methods are competitive with state-of-the-art data integration methods for gene function prediction.,Giorgio Valentini
Time Series Analysis with the Causality Workbench.,Alexander R. Statnikov
Tempered Markov Chain Monte Carlo for training of Restricted Boltzmann Machines.,Aaron C. Courville
Fast Variational Mode-Seeking.,Bo Thiesson
Robust Multi-task Regression with Grossly Corrupted Observations.,Chenlei Leng
Adaptive Bandits: Towards the best history-dependent strategy.,Odalric-Ambrym Maillard
A Bayesian Analysis of the Radioactive Releases of Fukushima.,Morten Mørup
Age-Layered Expectation Maximization for Parameter Learning in Bayesian Networks.,Avneesh Singh Saluja
Stick-breaking Construction for the Indian Buffet Process.,Dilan Görür
Learning to Locate Relative Outliers.,Ivor W. Tsang
A Regularization Approach to Nonlinear Variable Selection.,Alessandro Verri
An Expectation Maximization Algorithm for Continuous Markov Decision Processes with Arbitrary Reward.,Arnaud Doucet
Clearing Restarting Automata and Grammatical Inference.,Peter Cerno
How Powerful Can Any Regression Learning Procedure Be?.,Yuhong Yang 0002
"On a Connection between Maximum Variance Unfolding, Shortest Path Problems and IsoMap.",Alexander Paprotny
Relational Topic Models for Document Networks.,David M. Blei
Emerge and spread models and word burstiness.,Peter Sunehag
Accurate Ensembles for Data Streams: Combining Restricted Hoeffding Trees using Stacking.,Albert Bifet
Hidden Topic Markov Models.,Amit Gruber
"Discussion of ""Spectral Dimensionality Reduction via Maximum Entropy"".",Laurens van der Maaten
Active Learning and Experimental Design with SVMs.,C.-H. Ho
Fluid Dynamics Models for Low Rank Discriminant Analysis.,Byoung-Tak Zhang
Conditional validity of inductive conformal predictors.,Vladimir Vovk
Deterministic Annealing for Semi-Supervised Structured Output Learning.,Kedar Bellare
"Toward a Noncommutative Arithmetic-geometric Mean Inequality: Conjectures, Case-studies, and Consequences.",Benjamin Recht
Bayesian Generalized Kernel Models.,Donghui Wang
Tighter and Convex Maximum Margin Clustering.,Ivor W. Tsang
Inference and Learning in Networks of Queues.,Charles Sutton
Exploiting Unrelated Tasks in Multi-Task Learning.,Andreas Argyriou
Causal Time Series Analysis of Functional Magnetic Resonance Imaging Data.,Alard Roebroeck
Open Problem: Learning Dynamic Network Models from a Static Snapshot.,Constantin Comendant
Optimal Distributed Market-Based Planning for Multi-Agent Systems with Shared Resources.,Geoffrey J. Gordon
Feature Extraction for Outlier Detection in High-Dimensional Spaces.,Hoang Vu Nguyen
Lanczos Approximations for the Speedup of Kernel Partial Least Squares Regression.,Masashi Sugiyama
Sufficient Dimension Reduction via Squared-loss Mutual Information Estimation.,Masashi Sugiyama
Structure Identification by Optimized Interventions.,Alberto Giovanni Busetto
Contextual Bandits with Similarity Information.,Aleksandrs Slivkins
A metric learning perspective of SVM: on the relation of LMNN and SVM.,Adam Woznica
The Kernel Path in Kernelized LASSO.,Dit-Yan Yeung
Flexible Martingale Priors for Deep Hierarchies.,Jacob Steinhardt
Fast Active-set-type Algorithms for L1-regularized Linear Regression.,Haesun Park
Unsupervised Aggregation for Classification Problems with Large Numbers of Categories.,Alexandre Klementiev
Asymptotic Theory for Linear-Chain Conditional Random Fields.,Mathieu Sinn
Relational Learning with One Network: An Asymptotic Analysis.,Jennifer Neville
Approximating Mutual Information by Maximum Likelihood Density Ratio Estimation.,Jun Sese
Multi-label Classification with Error-correcting Codes.,Chun-Sung Ferng
Future directions in learning to rank.,Olivier Chapelle
Coherence Functions for Multicategory Margin-based Classification Methods.,Dit-Yan Yeung
Why Does Unsupervised Pre-training Help Deep Learning?,Aaron C. Courville
Accelerating AdaBoost using UCB.,Balázs Kégl
CorrLog: Correlated Logistic Models for Joint Prediction of Multiple Labels.,Bo Xie 0002
Bayesian Algorithms for Causal Data Mining.,Alexander R. Statnikov
Information Retrieval by Inferring Implicit Queries from Eye Movements.,Antti Ajanki
The Neural Autoregressive Distribution Estimator.,Hugo Larochelle
Speeding Up Syntactic Learning Using Contextual Information.,Amaury Habrard
Latent Variable Models for Dimensionality Reduction.,Michael I. Jordan
Probabilistic acoustic tube: a probabilistic generative model of speech for speech analysis/synthesis.,Yang Zhang
Sparsity Regret Bounds for Individual Sequences in Online Linear Regression.,Sébastien Gerchinovitz
Evaluation Method for Feature Rankings and their Aggregations for Biomarker Discovery.,Bernard Zenko
Multi-task Learning for Recommender System.,George Karypis
"Distributed Learning, Communication Complexity and Privacy.",Avrim Blum
Kernels Based Tests with Non-asymptotic Bootstrap Approaches for Two-sample Problems.,Béatrice Laurent
Nonparametric Estimation of Conditional Information and Divergences.,Barnabás Póczos
Open Problem: Does AdaBoost Always Cycle?,Cynthia Rudin
Multi-object tracking with representations of the symmetric group.,Andrew G. Howard
A Strategy for Making Predictions Under Manipulation.,Ioannis Tsamardinos
Tight conditions for consistent variable selection in high dimensional nonparametric regression.,Arnak S. Dalalyan
On the Convergence Properties of Contrastive Divergence.,Ilya Sutskever
Reduced-Rank Hidden Markov Models.,Byron Boots
Cumulative Restricted Boltzmann Machines for Ordinal Matrix Data Analysis.,Dinh Q. Phung
Deep Learning Made Easier by Linear Transformations in Perceptrons.,Harri Valpola
Learning from Weak Teachers.,Ohad Shamir
Sufficient covariates and linear propensity analysis.,A. Philip Dawid
Variable Selection for Gaussian Graphical Models.,Dimitris Samaras
Multi-view Positive and Unlabeled Learning.,Ivor W. Tsang
Boosted Optimization for Network Classification.,Hiroshi Mamitsuka
Random Design Analysis of Ridge Regression.,Daniel J. Hsu
Fast b-matching via Sufficient Selection Belief Propagation.,Bert Huang
Multi-Label Output Codes using Canonical Correlation Analysis.,Jeff G. Schneider
Causality with Gates.,John M. Winn
Scalable Personalization of Long-Term Physiological Monitoring: Active Learning Methodologies for Epileptic Seizure Onset Detection.,Guha Balakrishnan
Bayesian structure discovery in Bayesian networks with less space.,Mikko Koivisto
Efficient Hypergraph Clustering.,Cristian Sminchisescu
Lifted Linear Programming.,Babak Ahmadi
On Combining Graph-based Variance Reduction schemes.,Rina Dechter
Keyword Optimization in Sponsored Search via Feature Selection.,Mikhail Jiline
Distribution-Independent Evolvability of Linear Threshold Functions.,Vitaly Feldman
Spectral Chinese Restaurant Processes: Nonparametric Clustering Based on Similarities.,Andrew L. Maas
Fast Mean Shift with Accurate and Stable Convergence.,Alexander G. Gray
Ranking by calibrated AdaBoost.,Balázs Kégl
Convex envelopes of complexity controlling penalties: the case against premature envelopment.,Daphne Koller
The Love-Hate Square Counting Method for Recommender Systems.,Joseph S. Kong
Bayesian Probabilistic Models for Image Retrieval.,Joemon M. Jose
Low rank continuous-space graphical models.,Carl Smith
MCMC Methods for Bayesian Mixtures of Copulas.,Ricardo Bezerra de Andrade e Silva
Online Learning of Multiple Tasks and Their Relationships.,Avishek Saha
Model-Free Monte Carlo-like Policy Evaluation.,Damien Ernst
Sequential Monte Carlo Samplers for Dirichlet Process Mixtures.,Ali Taylan Cemgil
Inductive Principles for Restricted Boltzmann Machine Learning.,Benjamin M. Marlin
Learning a Parametric Embedding by Preserving Local Structure.,Laurens van der Maaten
Bayesian Quadrature for Ratios.,Christopher Hart
"Commentary on ""The Optimality of Jeffreys Prior for Online Density Estimation and the Asymptotic Normality of Maximum Likelihood Estimators"".",Peter Grünwald
Factorized Asymptotic Bayesian Inference for Mixture Modeling.,Ryohei Fujimaki
Regularization Paths with Guarantees for Convex Semidefinite Optimization.,Joachim Giesen
Conceptual Imitation Learning: An Application to Human-robot Interaction.,Babak Nadjar Araabi
Protocols for Learning Classifiers on Distributed Data.,Avishek Saha
Seeking The Truly Correlated Topic Posterior - on tight approximate inference of logistic-normal admixture model.,Amr Ahmed 0001
A Fast Bundle-based Anytime Algorithm for Poker and other Convex Games.,Geoffrey J. Gordon
Minimax Policies for Combinatorial Prediction Games.,Gábor Lugosi
Policy-Gradients for PSRs and POMDPs.,Douglas Aberdeen
Learning Dissimilarities for Categorical Symbols.,Boleslaw K. Szymanski
Infinite-Dimensional Kalman Filtering Approach to Spatio-Temporal Gaussian Process Regression.,Jouni Hartikainen
A Latent Space Approach to Dynamic Embedding of Co-occurrence Data.,Geoffrey J. Gordon
Missing Information Impediments to Learnability.,Loizos Michael
Analysis of the KDD Cup 2009: Fast Scoring on a Large Orange Customer Database.,David Vogel
Rare Probability Estimation under Regularly Varying Heavy Tails.,Mesrob I. Ohannessian
Reducing Label Complexity by Learning From Bags.,Naftali Tishby
Max-Margin Ratio Machine.,Suicheng Gu
Bayesian Gaussian Process Latent Variable Model.,Michalis K. Titsias
Divide and Transfer: an Exploration of Segmented Transfer to Detect Wikipedia Vandalism.,Si-Chi Chin
Approximate Counting of Graphical Models Via MCMC.,José M. Peña 0001
Autonomous Experimentation.,Chris Lovell
Learning and Model-Checking Networks of I/O Automata.,Hua Mao
Gaussian Margin Machines.,Fernando Pereira
Nonlinear functional regression: a functional RKHS approach.,Emmanuel Duflos
Impossibility Theorems for Domain Adaptation.,Dávid Pál
Non-Negative Semi-Supervised Learning.,Changhu Wang
Adaptive Metropolis with Online Relabeling.,Balázs Kégl
Using GNUsmail to Compare Data Stream Mining Methods for On-line Email Classification.,Albert Bifet
Copula Network Classifiers (CNCs).,Gal Elidan
Efficient Reductions for Imitation Learning.,Drew Bagnell
Novel Models and Ensemble Techniques to Discriminate Favorite Items from Unrated Ones for Personalized Music Recommendation.,Chen-Hung Wu
Contextual Bandit Learning with Predictable Rewards.,Alekh Agarwal
A fast algorithm for learning large scale preference relations.,Balaji Krishnapuram
Mixability is Bayes Risk Curvature Relative to Log Loss.,Mark D. Reid
Scalable Inference on Kingman's Coalescent using Pair Similarity .,Dilan Görür
Exact Subspace Segmentation and Outlier Detection by Low-Rank Representation.,Guangcan Liu
Bayesian Online Learning for Multi-label and Multi-variate Performance Measures.,Ralf Herbrich
Effective Wrapper-Filter hybridization through GRASP Schemata.,Mohamed Amir Esseghir
Group Orthogonal Matching Pursuit for Logistic Regression.,Aurélie C. Lozano
Assessment of Cow's Body Condition Score Through Statistical Shape Analysis and Regression Machines.,Giovanni Maria Farinella
Variational Relevance Vector Machine for Tabular Data.,Dmitry Kropotov
Predictive Discretization during Model Selection.,Harald Steck
Inspecting Sample Reusability for Active Learning.,Katharina Morik
Kernel Partial Least Squares is Universally Consistent.,Gilles Blanchard
O-IPCAC and its Application to EEG Classification.,Alessandro Rozza
Particle Belief Propagation.,Alexander Ihler
No Internal Regret via Neighborhood Watch.,Alexander Rakhlin
Factored 3-Way Restricted Boltzmann Machines For Modeling Natural Images.,Alex Krizhevsky
Approximate inference for the loss-calibrated Bayesian.,Ferenc Huszar
Minimum Conditional Entropy Clustering: A Discriminative Framework for Clustering.,Bao-Gang Hu
Large-Margin Structured Prediction via Linear Programming.,John Shawe-Taylor
Gap Between Theory and Practice: Noise Sensitive Word Alignment in Machine Translation.,Andy Way
Markov Logic Mixtures of Gaussian Processes: Towards Machines Reading Regression Data.,Kristian Kersting
Multi-armed Bandit Problems with History.,Pannagadatta K. Shivaswamy
Local and global sparse Gaussian process approximations.,Edward Lloyd Snelson
Locality Preserving Feature Learning.,Jiawei Han 0001
Facial Expression Detection using Filtered Local Binary Pattern Features with ECOC Classifiers and Platt Scaling.,Raymond S. Smith
Deep Learning using Robust Interdependent Codes.,Dumitru Erhan
Distance Preserving Embeddings for General n-Dimensional Manifolds.,Nakul Verma
Improving Policy Gradient Estimates with Influence Information.,Alan Fern
Combining Predictors for Recommending Music: the False Positives' approach to KDD Cup track 2.,Aaron Archer
Generalized Optimal Reverse Prediction.,Dale Schuurmans
Deep Boltzmann Machines as Feed-Forward Hierarchies.,Grégoire Montavon
Approximate inference using conditional entropy decompositions.,Amir Globerson
Baseline Methods for Active Learning.,Gavin C. Cawley
Nonlinear acyclic causal models.,Aapo Hyvärinen
Learning to Rank for Personalized News Article Retrieval.,Blaz Fortuna
Learning equivalence classes of acyclic models with latent and selection variables from multiple datasets with overlapping variables.,Peter Spirtes
Informative Priors for Markov Blanket Discovery.,Adam Craig Pocock
Switch-Reset Models : Exact and Approximate Inference.,Chris Bracegirdle
Active Learning as Non-Convex Optimization.,Andrew Guillory
Information Theoretic Model Selection for Pattern Analysis.,Andreas P. Streich
Learning mixtures of Gaussians with maximum-a-posteriori oracle.,Satyaki Mahalanabis
From Theories to Queries.,Burr Settles
Learning Causal Structure from Overlapping Variable Sets.,Ioannis G. Tollis
Support Vector Machines Under Adversarial Label Noise.,Battista Biggio
Data dependent kernels in nearly-linear time.,Guy Lever
Generative Models of Information Diffusion with Asynchronous Timedelay.,Hiroshi Motoda
Maximum Likelihood vs. Sequential Normalized Maximum Likelihood in On-line Density Estimation.,Peter Grünwald
Topographic Analysis of Correlated Components.,Aapo Hyvärinen
On Bisubmodular Maximization.,Ajit P. Singh
Learning Low Density Separators.,Dávid Pál
Exploiting Covariate Similarity in Sparse Regression via the Pairwise Elastic Net.,Alexander Lorbert
A Two-Graph Guided Multi-task Lasso Approach for eQTL Mapping.,Charles Lee
Graphical Gaussian modelling of multivariate time series with latent variables.,Michael Eichler
Locally Minimax Optimal Predictive Modeling with Bayesian Networks.,Petri Myllymäki
Learning with Blocks: Composite Likelihood and Contrastive Divergence.,Alexander Ihler
Learning Policy Improvements with Path Integrals.,Evangelos A. Theodorou
Discriminative Topic Segmentation of Text and Speech.,Eugene Weinstein
(Approximate) Subgradient Methods for Structured Prediction.,J. Andrew Bagnell
A Combination of Boosting and Bagging for KDD Cup 2009 - Fast Scoring on a Large Database.,Jianjun Xie
Towards Understanding Situated Natural Language.,Antoine Bordes
Partial orientation and local structural learning of causal networks for prediction.,Changzhang Wang
Hidden-Unit Conditional Random Fields.,Laurens van der Maaten
Agnostic KWIK learning and efficient approximate reinforcement learning.,Csaba Szepesvári
Mixture of Watson Distributions: A Generative Model for Hyperspherical Embeddings.,Avleen Singh Bijral
Learning the Switching Rate by Discretising Bernoulli Sources Online.,Steven de Rooij
Machine Learning Markets.,Amos J. Storkey
An EM Algorithm on BDDs with Order Encoding for Logic-based Probabilistic Models.,Masakazu Ishihata
Classification of Imbalanced Marketing Data with Balanced Random Sets.,Geoffrey J. McLachlan
Ellipsoidal Support Vector Machines.,Hiroki Nakayama
Multiclass Learnability and the ERM principle.,Amit Daniely
A comparison of AUC estimators in small-sample studies.,Antti Airola
Fisher Consistency of Multicategory Support Vector Machines.,Yufeng Liu
On the Relationship Between Feature Selection and Classification Accuracy.,Andreas Janecek
Mining Recurring Concept Drifts with Limited Labeled Streaming Data.,Pei-Pei Li 0001
Supervised Dimension Reduction Using Bayesian Mixture Modeling.,Feng Liang
Improved Regret Guarantees for Online Smooth Convex Optimization with Bandit Feedback.,Ambuj Tewari
Information Theoretical Clustering via Semidefinite Programming.,Fei Sha
Maximum Entropy Density Estimation with Incomplete Presence-Only Data.,Ansaf Salleb-Aouissi
Hierarchical Cost-Sensitive Algorithms for Genome-Wide Gene Function Prediction.,Giorgio Valentini
Chromatic PAC-Bayes Bounds for Non-IID Data.,Guillaume Stempfel
Predicting customer behaviour: The University of Melbourne's KDD Cup report.,Andrew Lonie
Nonlinear Online Classificatand Michion Algorithm with Probability Margin.,Huijun He
Application of Additive Groves Ensemble with Multiple Counts Feature Evaluation to KDD Cup'09 Small Data Set.,Daria Sorokina
Online Passive-Aggressive Algorithms on a Budget.,Slobodan Vucetic
A Fast Algorithm for Recovery of Jointly Sparse Vectors based on the Alternating Direction Methods.,Hongtao Lu
Learning for Larger Datasets with the Gaussian Process Latent Variable Model.,Neil D. Lawrence
A Reduction of Imitation Learning and Structured Prediction to No-Regret Online Learning.,Drew Bagnell
"Discussion of ""The Neural Autoregressive Distribution Estimator"".",Yoshua Bengio
Active Boosted Learning (ActBoost).,David A. Castañón
Performance Guarantees for Information Theoretic Active Inference.,Alan S. Willsky
Nonparametric prior for adaptive sparsity.,Linda H. Zhao
Beware of the DAG!,A. Philip Dawid
A generalization of the Multiple-try Metropolis algorithm for Bayesian estimation and model selection.,Francesco Bartolucci
Neural conditional random fields.,Thierry Artières
Unsupervised Feature Selection for Pattern Discovery in Seismic Wavefields.,Andreas Köhler
Efficient Collapsed Gibbs Sampling for Latent Dirichlet Allocation.,Han Xiao 0002
Hierarchical Convex NMF for Clustering Massive Data.,Christian Bauckhage
Causal learning without DAGs.,Daniel Eaton
Sequential Learning of Classifiers for Structured Prediction Problems.,Dan Roth
Efficient Multioutput Gaussian Processes through Variational Inducing Kernels.,David Luengo
The Laplacian Eigenmaps Latent Variable Model.,Miguel Á. Carreira-Perpiñán
Yahoo! Learning to Rank Challenge Overview.,Olivier Chapelle
Semi-Supervised Learning with Max-Margin Graph Cuts.,Ali Rahimi
Exploiting Probabilistic Independence for Permutations.,Carlos Guestrin
Complexity-Based Approach to Calibration with Checking Rules.,Alexander Rakhlin
Nonnegative Garrote Component Selection in Functional ANOVA models.,Ming Yuan
Managing Uncertainty within KTD.,Matthieu Geist
Unsupervised Supervised Learning II: Margin-Based Classification without Labels.,Guy Lebanon
Learning Markov Structure by Maximum Entropy Relaxation.,Alan S. Willsky
Network Completion and Survey Sampling.,Eric P. Xing
The Block Diagonal Infinite Hidden Markov Model.,Geoffrey J. Gordon
Learning a Nonlinear Embedding by Preserving Class Neighbourhood Structure.,Geoffrey E. Hinton
Evaluation of a Bayesian model-based approach in GA studies.,András Falus
A Framework for Probability Density Estimation.,Alexander N. Dolia
Maximum-likelihood learning of cumulative distribution functions on graphs.,Jim C. Huang
Generalized Non-metric Multidimensional Scaling.,David J. Kriegman
Ultra-high Dimensional Multiple Output Learning With Simultaneous Orthogonal Matching Pursuit: Screening Approach.,Eric P. Xing
Feature Selection for Text Classification Based on Gini Coefficient of Inequality.,Hema A. Murthy
KDD Cup 2009 @ Budapest: feature partitioning and boosting.,Adrienn Szabó
Dependent Hierarchical Beta Process for Image Interpolation and Denoising.,David B. Dunson
The Feature Selection Path in Kernel Methods.,Cristian Sminchisescu
A New Perspective for Information Theoretic Feature Selection.,Gavin Brown 0001
Approximate Model Selection for Large Scale LSSVM.,Lizhong Ding 0001
On NDCG Consistency of Listwise Ranking Methods.,Ambuj Tewari
Minimax Algorithm for Learning Rotations.,Manfred K. Warmuth
Statistical Optimization of Non-Negative Matrix Factorization.,Anoop Korattikara Balan
Semi-Supervised Mean Fields.,Changshui Zhang
Latent Wishart Processes for Relational Kernel Learning.,Dit-Yan Yeung
Large-Margin Classification in Banach Spaces.,Daniel Lee
Parametric Herding.,Max Welling
Relative Entropy Inverse Reinforcement Learning.,Abdeslam Boularias
Learning Exercise Policies for American Options.,Csaba Szepesvári
The Rademacher Complexity of Co-Regularized Kernel Classes.,David S. Rosenberg
Online Learning of Search Heuristics.,Michael Fink 0002
Novelty detection: Unlabeled data definitely help.,Clayton Scott
Incremental Sparsification for Real-time Online Model Learning.,Duy Nguyen-Tuong
Robust Bayesian Matrix Factorisation.,Balaji Lakshminarayanan
Dynamic Factorization Tests: Applications to Multi-modal Data Association.,John W. Fisher III
