paper,co_author
A Linear Ensemble of Individual and Blended Models for Music Rating Prediction.,Po-Lung Chen
A Linear Ensemble of Individual and Blended Models for Music Rating Prediction.,Po-Wei Wang
A Linear Ensemble of Individual and Blended Models for Music Rating Prediction.,Rong-Bing Chiu
A Linear Ensemble of Individual and Blended Models for Music Rating Prediction.,Shou-De Lin
A Linear Ensemble of Individual and Blended Models for Music Rating Prediction.,Shu-Hao Yu
A Linear Ensemble of Individual and Blended Models for Music Rating Prediction.,Todd G. McKenzie
A Linear Ensemble of Individual and Blended Models for Music Rating Prediction.,Tsung-Ting Kuo
A Linear Ensemble of Individual and Blended Models for Music Rating Prediction.,Wei-Lun Su
A Linear Ensemble of Individual and Blended Models for Music Rating Prediction.,Wei-Shih Lin
A Linear Ensemble of Individual and Blended Models for Music Rating Prediction.,Ya-Hsuan Chang
A Linear Ensemble of Individual and Blended Models for Music Rating Prediction.,Yao-Nan Chen
A Linear Ensemble of Individual and Blended Models for Music Rating Prediction.,Yu-Cheng Chou
Guarantees for Approximate Incremental SVMs.,Léon Bottou
Guarantees for Approximate Incremental SVMs.,Nicolas Usunier
A simple multi-armed bandit algorithm with optimal variation-bounded regret.,Satyen Kale
Message-Passing Algorithms for MAP Estimation Using DC Programming.,Marc Toussaint
Message-Passing Algorithms for MAP Estimation Using DC Programming.,Shlomo Zilberstein
Robust approachability and regret minimization in games with partial monitoring.,Shie Mannor
Robust approachability and regret minimization in games with partial monitoring.,Vianney Perchet
Online Learning: Beyond Regret.,Ambuj Tewari
Online Learning: Beyond Regret.,Karthik Sridharan
Divergences and Risks for Multiclass Experiments.,Robert C. Williamson
Preface.,Iñaki Inza
Preface.,Louis Wehenkel
Preface.,Yvan Saeys
Preface.,Yves Van de Peer
Preface.,Ulrike von Luxburg
Preface.,Yee Whye Teh
Preface.,Neil D. Lawrence
Preface.,John Shawe-Taylor
Preface.,José L. Balcázar
Preface.,Tom Diethe
Preface.,Nello Cristianini
Preface.,Tom Diethe
Preface.,Geoffrey J. Gordon
Preface.,Chun-Nan Hsu
Preface.,Wee Sun Lee
Preface.,Xiaotong Shen
Preface.,Max Welling
Preface.,Pierre-Etienne Moreau
Preface.,Alan Jeffrey
Preface.,Michael W. Mislove
Preface.,José Aguilar 0001
Preface.,Nigel Thomas
Preface.,William J. Knottenbelt
Preface.,Michael W. Mislove
Preface.,Samson Abramsky
Preface.,Henny B. Sipma
Preface.,Howard Barringer
Preface.,Yuri Gurevich
Preface.,Gabriel Coutinho
Preface.,Sebastián Urrutia
Preface.,Vinícius Fernandes dos Santos
Preface.,Yoshiharu Kohayakawa
Preface.,Roberto Bruni
Preface.,Hans de Nivelle
Preface.,Peter Baumgartner 0001
Preface.,Silvio Ranise
Preface.,Wolfgang Ahrendt
Preface.,Ofer Strichman
Preface.,Volker Stolz
Preface.,Andrew M. Pitts
Preface.,Osama Nasser Alrajeh
Preface.,Sophia Drossopoulou
Preface.,Viviana Bono
Preface.,Scott A. Smolka
Preface.,Juan Manuel Murillo
Preface.,Massimo Tivoli
Preface.,Nikolay Diakov
Preface.,Pascal Poizat
Preface.,Steffen Becker 0001
Preface.,Walter Vogler
Preface.,Oleg Sokolsky
Preface.,Jirí Adámek
Preface.,Oded Maler
Preface.,Sergio Yovine
Preface.,Juliana Küster Filipe Bowles
Preface.,Ralf H. Reussner
Preface.,Philippe Thiran
Preface.,Tore Risch
Preface.,Slim Abdennadher
Preface.,Corina S. Pasareanu
Preface.,Guo-Qiang Zhang 0001
Preface.,Mao-kang Luo
Preface.,Ludwig Staiger
Preface.,Vasco Brattka
Preface.,Tobias Nipkow
Preface.,Vladimiro Sassone
Preface.,Hongwei Xi
Preface.,Erik P. de Vink
Preface.,Michael J. Wooldridge
Preface.,Wiebe van der Hoek
Preface.,Alessandra Di Pierro
Preface.,Herbert Wiklicky
Preface.,Alexander S. Kossatchev
Preface.,Yuri Gurevich
Preface.,Marino Miculan
Preface.,Mirko Viroli
Preface.,Richard Blute
Preface.,Barbara König 0001
Preface.,Reiko Heckel
Preface.,Sébastien Fourey
Preface.,T. Yung Kong
Preface.,Peter D. Mosses
Preface.,Thomas T. Hildebrandt
Preface.,Glenn Strong
Preface.,Menouer Boubekeur
Preface.,Michel P. Schellekens
Preface.,Mícheál Mac an Airchinnigh
Preface.,Ted Hurley
Preface.,Moreno Falaschi
Preface.,Santiago Escobar 0001
Preface.,Leendert W. N. van der Torre
Preface.,Aris S. Lalos
Preface.,Fariba Sadri
Preface.,Georgios Mylonas
Preface.,Helen C. Leligou
Preface.,Ioannis Chatzigiannakis
Preface.,Julia Himmelsbach
Preface.,Katja Neureiter
Preface.,Markus Garschall
Preface.,Sten Hanke
Preface.,Matthew Forshaw
Preface.,Nigel Thomas
Preface.,William J. Knottenbelt
Preface.,Fabio Gadducci
Preface.,Maurice H. ter Beek
Preface.,Richard Mayr
Preface.,Klaus Havelund
Preface.,Thomas T. Hildebrandt
Preface.,Richard T. Oehrle
Preface.,Steve Kremer
Preface.,Vasco Thudichum Vasconcelos
Preface.,Venanzio Capretta
Preface.,Abhik Roychoudhury
Preface.,Sandro Etalle
Preface.,Supratik Mukhopadhyay
Preface.,Irek Ulidowski
Preface.,Nicola Cannata
Preface.,Michaela Huhn
Preface.,Marina Lenisa
Preface.,Marino Miculan
Preface.,Patrícia D. L. Machado
Preface.,João Saraiva
Preface.,Lucília Figueiredo
Preface.,Ruy J. G. B. de Queiroz
Preface.,Andrea Omicini
Preface.,Maria Chiara Meo
Preface.,Alexandra Silva 0001
Preface.,Bart Jacobs 0001
Preface.,Sam Staton
Preface.,Stephen D. Brookes
Preface.,Renata Wasserman
Preface.,Sandra Alves
Preface.,Marina Lenisa
Preface.,Ugo Montanari
Preface.,John Power
Preface.,José Raymundo Marcial-Romero
Preface.,Sergiy Bogomolov
Preface.,Guo-Qiang Zhang 0001
Preface.,Luoshan Xu
Preface.,Qingguo Li
Preface.,Mario R. F. Benevides
Preface.,Valeria de Paiva
Preface.,Vivek Nigam
Preface.,Axel Simon
Preface.,Mao-kang Luo
Preface.,Michael W. Mislove
Preface.,Ying-ming Liu
Preface.,Michael W. Mislove
Preface.,Guido Sanguinetti
Preface.,Ernesto Cuadros-Vargas
Preface.,Héctor Cancela 0001
Preface.,Jan J. M. M. Rutten
Preface.,Isabella Mastroeni
Preface.,Volker Stolz
Preface.,Andre Scedrov
Preface.,Michael W. Mislove
Preface.,Stephen D. Brookes
Preface.,René Thiemann
Preface.,Orna Grumberg
Preface.,Juan Carlos Nieves
Preface.,Boudewijn R. Haverkort
Preface.,Nigel Thomas
Preface.,William J. Knottenbelt
Preface.,Emanuela Merelli
Preface.,Francesca Scozzari
Preface.,Vivek Nigam
Preface.,Christophe Gaston
Preface.,Pascale Le Gall
Preface.,Maribel Fernández
Preface.,Carlos Olarte
Preface.,Loïc Paulevé
Preface.,Steve A. Schneider
Preface.,Pierluigi Crescenzi
Preface.,Kerstin Eder
Preface.,Marko C. J. D. van Eekelen
Preface.,Nigel Thomas
Preface.,Peter Bull
Preface.,José Aguilar 0001
Preface.,Giuseppe Rosolini
Preface.,Jaap van Oosten
Preface.,Lars Birkedal
Preface.,Mauricio Ayala-Rincón
Preface.,Héctor Cancela 0001
Preface.,Ilaria Castellani
Preface.,Rodrigo Santos
Preface.,Ion Petre
Preface.,Héctor Cancela 0001
Preface.,Valéria Farinazzo Martins
Preface.,Nathalie Théret
Spatial Locality-Aware Sparse Coding and Dictionary Learning.,Junsong Yuan
Spatial Locality-Aware Sparse Coding and Dictionary Learning.,Ying Wu 0001
Spatial Locality-Aware Sparse Coding and Dictionary Learning.,Zhuoyuan Chen
Nonparametric Tree Graphical Models.,Carlos Guestrin
Nonparametric Tree Graphical Models.,Le Song
Exact Bayesian structure learning from uncertain interventions.,Kevin P. Murphy
A Lattice of Sets of Alignments Built on the Common Subwords in a Finite Language.,Laurent Miclet
A Lattice of Sets of Alignments Built on the Common Subwords in a Finite Language.,Nelly Barbot
Dimensionality Reduction for Spectral Clustering.,Jennifer G. Dy
Dimensionality Reduction for Spectral Clustering.,Michael I. Jordan
QBoost: Large Scale Classifier Training with Adiabatic Quantum Optimization.,Hartmut Neven
QBoost: Large Scale Classifier Training with Adiabatic Quantum Optimization.,Vasil S. Denchev
QBoost: Large Scale Classifier Training with Adiabatic Quantum Optimization.,William G. Macready
Fast Learning Rate of Multiple Kernel Learning: Trade-Off between Sparsity and Smoothness.,Taiji Suzuki
Model Merging versus Model Splitting Context-Free Grammar Induction.,Nanne van Noord
Collaborative Filtering on a Budget.,Alexandros Karatzoglou
Collaborative Filtering on a Budget.,Markus Weimer
PAC-Bayes Analysis Of Maximum Entropy Classification.,John Shawe-Taylor
Bayesian Comparison of Machine Learning Algorithms on Single and Multiple Datasets.,François Laviolette
Bayesian Comparison of Machine Learning Algorithms on Single and Multiple Datasets.,Mario Marchand
Incorporating Prior Knowledge on Features into Learning.,Naftali Tishby
Regression for sets of polynomial equations.,Frank C. Meinecke
Regression for sets of polynomial equations.,Franz J. Király
Regression for sets of polynomial equations.,Jan Saputra Müller
Regression for sets of polynomial equations.,Klaus-Robert Müller
Regression for sets of polynomial equations.,Paul von Bünau
Probabilistic Models for Incomplete Multi-dimensional Arrays.,Zoubin Ghahramani
Hierarchical Latent Dictionaries for Models of Brain Activation.,David B. Dunson
Hierarchical Latent Dictionaries for Models of Brain Activation.,Emily B. Fox
Hierarchical Latent Dictionaries for Models of Brain Activation.,Tom M. Mitchell
Improving posterior marginal approximations in latent Gaussian models.,Tom Heskes
Statistical test for consistent estimation of causal effects in linear non-Gaussian models.,Patrik O. Hoyer
Statistical test for consistent estimation of causal effects in linear non-Gaussian models.,Peter Spirtes
MOA Concept Drift Active Learning Strategies for Streaming Data.,Bernhard Pfahringer
MOA Concept Drift Active Learning Strategies for Streaming Data.,Geoff Holmes 0001
MOA Concept Drift Active Learning Strategies for Streaming Data.,Indre Zliobaite
Employing The Complete Face in AVSR to Recover from Facial Occlusions.,Benjamin X. Hall
Employing The Complete Face in AVSR to Recover from Facial Occlusions.,John Shawe-Taylor
A Hybrid Pareto Model for Conditional Density Estimation of Asymmetric Fat-Tail Data.,Yoshua Bengio
Learning Bayesian Network Structure using LP Relaxations.,David A. Sontag
Learning Bayesian Network Structure using LP Relaxations.,Marina Meila
Learning Bayesian Network Structure using LP Relaxations.,Tommi S. Jaakkola
A Unified Energy-Based Framework for Unsupervised Learning.,Sumit Chopra
A Unified Energy-Based Framework for Unsupervised Learning.,Y-Lan Boureau
A Unified Energy-Based Framework for Unsupervised Learning.,Yann LeCun
Estimating beta-mixing coefficients.,Daniel J. McDonald
Estimating beta-mixing coefficients.,Mark J. Schervish
Regret Bounds for Gaussian Process Bandit Problems.,John Shawe-Taylor
Regret Bounds for Gaussian Process Bandit Problems.,Manfred Opper
Regret Bounds for Gaussian Process Bandit Problems.,Steffen Grünewälder
Online Inference of Topics with Latent Dirichlet Allocation.,Lei Shi 0009
Online Inference of Topics with Latent Dirichlet Allocation.,Thomas L. Griffiths 0001
Krylov Subspace Descent for Deep Learning.,Oriol Vinyals
Sparse Probabilistic Principal Component Analysis.,Yue Guan
Content-based Image Retrieval with Multinomial Relevance Feedback.,John Shawe-Taylor
Inference of k-Testable Directed Acyclic Graph Languages.,Damián López
Inference of k-Testable Directed Acyclic Graph Languages.,Jorge Calera-Rubio
Error Analysis of Laplacian Eigenmaps for Semi-supervised Learning.,Xueyuan Zhou
Evolving Cluster Mixed-Membership Blockmodel for Time-Evolving Networks.,Le Song
Evolving Cluster Mixed-Membership Blockmodel for Time-Evolving Networks.,Qirong Ho
Stochastic Semi-supervised Learning.,T. Xiong
Tight Bounds on Proper Equivalence Query Learning of DNF.,Linda Sellie
Tight Bounds on Proper Equivalence Query Learning of DNF.,Lisa Hellerstein
Tight Bounds on Proper Equivalence Query Learning of DNF.,Rocco A. Servedio
REGO: Rank-based Estimation of Renyi Information using Euclidean Graph Optimization.,Csaba Szepesvári
REGO: Rank-based Estimation of Renyi Information using Euclidean Graph Optimization.,Sergey Kirshner
Concentration-Based Guarantees for Low-Rank Matrix Reconstruction.,Rina Foygel
Learning Thin Junction Trees via Graph Cuts.,Dafna Shahaf
A Finite Newton Algorithm for Non-degenerate Piecewise Linear Systems.,Xiaotong Yuan
Causality: Objectives and Assessment.,Dominik Janzing
Causality: Objectives and Assessment.,Isabelle Guyon
A Unified Algorithmic Approach for Efficient Online Label Ranking.,Yoram Singer
Minimax Regret of Finite Partial-Monitoring Games in Stochastic Environments.,Dávid Pál
Minimax Regret of Finite Partial-Monitoring Games in Stochastic Environments.,Gábor Bartók
"Collaborative Filtering with the Trace Norm: Learning, Bounding, and Transducing.",Shai Shalev-Shwartz
SampleSearch: A Scheme that Searches for Consistent Samples.,Vibhav Gogate
Spanning Tree Approximations for Conditional Random Fields.,Joachim M. Buhmann
Spanning Tree Approximations for Conditional Random Fields.,Patrick Pletscher
Detection of Server-side Web Attacks.,Igino Corona
A Differentially Private Stochastic Gradient Descent Algorithm for Multiparty Classification.,Shivani Agarwal 0001
An Instantiation-Based Theorem Prover for First-Order Programming.,Erik Zawadzki
An Instantiation-Based Theorem Prover for First-Order Programming.,Geoffrey J. Gordon
SubSift: a novel application of the vector space model to support the academic research process.,Sebastian Spiegler
SubSift: a novel application of the vector space model to support the academic research process.,Simon Price
Using Descendants as Instrumental Variables for the Identification of Direct Causal Effects in Linear SEMs.,Manabu Kuroki
Recovering Cyclic Causal Structure.,Karen Sachs
Recovering Cyclic Causal Structure.,Mesrob I. Ohannessian
Recovering Cyclic Causal Structure.,Munther A. Dahleh
Recovering Cyclic Causal Structure.,Sleiman Itani
Convergent Decomposition Solvers for Tree-reweighted Free Energies.,Jeremy Jancsary
Reconstruction from Anisotropic Random Measurements.,Shuheng Zhou
Bayesian Inference and Optimal Design in the Sparse Linear Model.,Koji Tsuda
Bayesian Inference and Optimal Design in the Sparse Linear Model.,Matthias W. Seeger
Importance Sampling for General Hybrid Bayesian Networks.,Marek J. Druzdzel
Maximum Volume Clustering.,Gang Niu 0001
Maximum Volume Clustering.,Lin Shang 0001
Maximum Volume Clustering.,Masashi Sugiyama
Distilled sensing: selective sampling for sparse signal recovery.,Robert D. Nowak
Distilled sensing: selective sampling for sparse signal recovery.,Rui M. Castro
Clustering: Science or Art?,Robert C. Williamson
Clustering: Science or Art?,Ulrike von Luxburg
Beyond the regret minimization barrier: an optimal algorithm for stochastic strongly-convex optimization.,Satyen Kale
Block-sparse Solutions using Kernel Block RIP and its Application to Group Lasso.,Rohit Khandekar
Directional Statistics on Permutations.,Stephen McCracken
Directional Statistics on Permutations.,Terran Lane
Directional Statistics on Permutations.,Vince D. Calhoun
State-Space Inference and Learning with Gaussian Processes.,Marc Peter Deisenroth
State-Space Inference and Learning with Gaussian Processes.,Ryan D. Turner
Maximum Entropy Correlated Equilibria.,Robert E. Schapire
Maximum Entropy Correlated Equilibria.,Sham M. Kakade
Learning of Bi-ω Languages from Factors.,J. D. Emerald
Learning of Bi-ω Languages from Factors.,M. Humrosia Begam
Learning of Bi-ω Languages from Factors.,M. Jayasrirani
Structured Sparse Principal Component Analysis.,Guillaume Obozinski
Structured Sparse Principal Component Analysis.,Rodolphe Jenatton
Beyond Semilinearity: Distributional Learning of Parallel Multiple Context-free Grammars.,Ryo Yoshinaka
A novel greedy algorithm for Nyström approximation.,Ali Ghodsi 0001
A novel greedy algorithm for Nyström approximation.,Mohamed S. Kamel
"Bandits, Query Learning, and the Haystack Dimension.",Michael J. Kearns
"Bandits, Query Learning, and the Haystack Dimension.",Umar Syed
Treelets | A Tool for Dimensionality Reduction and Multi-Scale Analysis of Unstructured Data.,Boaz Nadler
Random Feature Maps for Dot Product Kernels.,Purushottam Kar
Sparse Nonparametric Density Estimation in High Dimensions Using the Rodeo.,John D. Lafferty
Sparse Nonparametric Density Estimation in High Dimensions Using the Rodeo.,Larry A. Wasserman
Ellipsoidal Machines.,Tony Jebara
Visualizing Similarity Data with a Mixture of Maps.,Geoffrey E. Hinton
Visualizing Similarity Data with a Mixture of Maps.,Ilya Sutskever
Visualizing Similarity Data with a Mixture of Maps.,James Cook
Two-way Parallel Class Expression Learning.,Hans W. Guesgen
Two-way Parallel Class Expression Learning.,Jens Dietrich 0001
Two-way Parallel Class Expression Learning.,Stephen Marsland
Stochastic Bandit Based on Empirical Moments.,Junya Honda
On Nonparametric Guidance for Learning Autoencoder Representations.,Jasper Snoek
On Nonparametric Guidance for Learning Autoencoder Representations.,Ryan Prescott Adams
Learning low-rank output kernels.,Kenji Fukumizu
Simple ensemble methods are competitive with state-of-the-art data integration methods for gene function prediction.,Matteo Ré
Time Series Analysis with the Causality Workbench.,Constantin F. Aliferis
Time Series Analysis with the Causality Workbench.,Isabelle Guyon
Tempered Markov Chain Monte Carlo for training of Restricted Boltzmann Machines.,Guillaume Desjardins
Tempered Markov Chain Monte Carlo for training of Restricted Boltzmann Machines.,Olivier Delalleau
Tempered Markov Chain Monte Carlo for training of Restricted Boltzmann Machines.,Pascal Vincent
Tempered Markov Chain Monte Carlo for training of Restricted Boltzmann Machines.,Yoshua Bengio
Fast Variational Mode-Seeking.,Jingu Kim
Robust Multi-task Regression with Grossly Corrupted Observations.,Huan Xu
Adaptive Bandits: Towards the best history-dependent strategy.,Rémi Munos
A Bayesian Analysis of the Radioactive Releases of Fukushima.,Ryota Tomioka
Age-Layered Expectation Maximization for Parameter Learning in Bayesian Networks.,Ole J. Mengshoel
Age-Layered Expectation Maximization for Parameter Learning in Bayesian Networks.,Priya Krishnan Sundararajan
Stick-breaking Construction for the Indian Buffet Process.,Yee Whye Teh
Stick-breaking Construction for the Indian Buffet Process.,Zoubin Ghahramani
Learning to Locate Relative Outliers.,Shukai Li
A Regularization Approach to Nonlinear Variable Selection.,Lorenzo Rosasco
A Regularization Approach to Nonlinear Variable Selection.,Matteo Santoro
A Regularization Approach to Nonlinear Variable Selection.,Silvia Villa
A Regularization Approach to Nonlinear Variable Selection.,Sofia Mosci
An Expectation Maximization Algorithm for Continuous Markov Decision Processes with Arbitrary Reward.,Jan Peters 0001
An Expectation Maximization Algorithm for Continuous Markov Decision Processes with Arbitrary Reward.,Matthew Hoffman 0002
An Expectation Maximization Algorithm for Continuous Markov Decision Processes with Arbitrary Reward.,Nando de Freitas
"On a Connection between Maximum Variance Unfolding, Shortest Path Problems and IsoMap.",Jochen Garcke
Relational Topic Models for Document Networks.,Jonathan D. Chang
Accurate Ensembles for Data Streams: Combining Restricted Hoeffding Trees using Stacking.,Bernhard Pfahringer
Accurate Ensembles for Data Streams: Combining Restricted Hoeffding Trees using Stacking.,Eibe Frank
Accurate Ensembles for Data Streams: Combining Restricted Hoeffding Trees using Stacking.,Geoffrey Holmes 0001
Hidden Topic Markov Models.,Michal Rosen-Zvi
Hidden Topic Markov Models.,Yair Weiss
Active Learning and Experimental Design with SVMs.,C.-J. Lin
Active Learning and Experimental Design with SVMs.,M.-H. Tsai
Fluid Dynamics Models for Low Rank Discriminant Analysis.,Daniel D. Lee
Fluid Dynamics Models for Low Rank Discriminant Analysis.,Yung-Kyun Noh
Deterministic Annealing for Semi-Supervised Structured Output Learning.,Olivier Chapelle
Deterministic Annealing for Semi-Supervised Structured Output Learning.,Paramveer S. Dhillon
Deterministic Annealing for Semi-Supervised Structured Output Learning.,S. Sathiya Keerthi
Deterministic Annealing for Semi-Supervised Structured Output Learning.,Sundararajan Sellamanickam
"Toward a Noncommutative Arithmetic-geometric Mean Inequality: Conjectures, Case-studies, and Consequences.",Christopher Ré
Bayesian Generalized Kernel Models.,Guang Dai
Bayesian Generalized Kernel Models.,Michael I. Jordan
Bayesian Generalized Kernel Models.,Zhihua Zhang
Tighter and Convex Maximum Margin Clustering.,James Tin-Yau Kwok
Tighter and Convex Maximum Margin Clustering.,Yu-Feng Li
Tighter and Convex Maximum Margin Clustering.,Zhi-Hua Zhou
Inference and Learning in Networks of Queues.,Michael I. Jordan
Exploiting Unrelated Tasks in Multi-Task Learning.,Bernardino Romera-Paredes
Exploiting Unrelated Tasks in Multi-Task Learning.,Massimiliano Pontil
Exploiting Unrelated Tasks in Multi-Task Learning.,Nadia Berthouze
Causal Time Series Analysis of Functional Magnetic Resonance Imaging Data.,Anil K. Seth
Causal Time Series Analysis of Functional Magnetic Resonance Imaging Data.,Pedro A. Valdés-Sosa
Open Problem: Learning Dynamic Network Models from a Static Snapshot.,Jan Ramon
Optimal Distributed Market-Based Planning for Multi-Agent Systems with Shared Resources.,Sue Ann Hong
Feature Extraction for Outlier Detection in High-Dimensional Spaces.,Vivekanand Gopalkrishnan
Lanczos Approximations for the Speedup of Kernel Partial Least Squares Regression.,Mikio L. Braun
Lanczos Approximations for the Speedup of Kernel Partial Least Squares Regression.,Nicole Krämer 0002
Sufficient Dimension Reduction via Squared-loss Mutual Information Estimation.,Taiji Suzuki
Structure Identification by Optimized Interventions.,Joachim M. Buhmann
A metric learning perspective of SVM: on the relation of LMNN and SVM.,Alexandros Kalousis
A metric learning perspective of SVM: on the relation of LMNN and SVM.,Huyen Do
A metric learning perspective of SVM: on the relation of LMNN and SVM.,Jun Wang 0017
The Kernel Path in Kernelized LASSO.,Frederick H. Lochovsky
The Kernel Path in Kernelized LASSO.,Gang Wang 0004
Flexible Martingale Priors for Deep Hierarchies.,Zoubin Ghahramani
Fast Active-set-type Algorithms for L1-regularized Linear Regression.,Jingu Kim
Unsupervised Aggregation for Classification Problems with Large Numbers of Categories.,Dan Roth
Unsupervised Aggregation for Classification Problems with Large Numbers of Categories.,Ivan Titov
Unsupervised Aggregation for Classification Problems with Large Numbers of Categories.,Kevin Small
Asymptotic Theory for Linear-Chain Conditional Random Fields.,Pascal Poupart
