paper,cites
"Relating Toy Models of Quantum Computation: Comprehension, Complementarity and Dagger Mix Autonomous Categories.","['Modal Rules are Co-Implications.', 'Specification and Analysis of SOC Systems Using COWS: A Finance Case Study.']"
Correlated Information: A Logic for Multi-Partite Quantum Systems.,"['Modal Operators for Coequations.', ""Infinitary Howe's Method.""]"
Modeling Pointer Redirection as Cyclic Term-graph Rewriting.,['Coalgebra morphisms subsume open maps.']
Characterizations of Supercontinuous Posets via Scott S-sets and the S-essential Topology.,"['Public education expenditures, growth and income inequality.']"
T,"['Default Theories Over Monadic Languages: (Extended Abstract).', 'Transferring Knowledge by Prior Feature Sampling.', 'Coalgebra morphisms subsume open maps.']"
Coinduction in Control of Partially Observed Discrete-Event Systems.,"['How Iterative are Iterative Algebras?', 'Modeling Fresh Names in the ?-calculus Using Abstractions.', 'Large-Scale Parallel Computing on Grids.', 'Shared Hash Tables in Parallel Model Checking.']"
Towards Behavioral Maude: Behavioral Membership Equational Logic.,"['Healthy and Happy? An Ethical Investigation of Emotion Recognition and Regulation Technologies (ERR) within Ambient Assisted Living (AAL).', 'A coalgebraic introduction to CSP.']"
Implementing Nominal Unification.,"['A Local Graph-rewriting System for Deciding Equality in Sum-product Theories.', 'The Implication Problem of Functional Dependencies in Complex-value Databases.']"
Macros for Interaction Nets: A Conservative Extension of Interaction Nets.,"['Semantic domains based on sets with families of equivalences.', 'Modal Operators for Coequations.', 'Checking Java implementation of a naming architecture using Testera.']"
A Calculus of Terms for Coalgebras of Polynomial Functors.,['Pauli Measurements are Universal.']
Web Accessibility Evaluation Tools: A Survey and Some Improvements.,"['Merging Hierarchically-Structured Documents in Workflow Systems.', 'The Approximate Correctness of Systems Based on δ-bisimulation.', 'A Quantified Logic of Evidence.', 'Deciding low levels of tree-automata hierarchy.']"
A Case Study in Parallel Verification of Component-Based Systems.,"['From Reversible to Irreversible Computations.', 'Session-based Choreography with Exceptions.', ""Criticizing Danaher's Approach to Superficial State Deception.""]"
Verification of Quantum Protocols with a Probabilistic Model-Checker.,"['Predicate Liftings Versus Nabla Modalities.', 'Toposes of Coalgebras and Hidden Algebras.']"
Sharing Implementations of Graph Rewriting Systems.,['Monoid-labeled transition systems.']
A Higher-Order Calculus for Graph Transformation.,"['Improving the Quality of Web-based Enterprise Applications with Extended Static Checking: A Case Study.', 'On Logics for Coalgebraic Simulation.']"
From Comodels to Coalgebras: State and Arrays.,['New Algorithms for Solving Simple Stochastic Games.']
A Short Introduction to Clones.,['The Axiom System ISigma']
From Reversible to Irreversible Computations.,"['Refining and Compressing Abstract Model Checking.', 'AI as an Epistemic Technology.', 'Covarieties and Complete Covarieties.', 'Caring in an Algorithmic World: Ethical Perspectives for Designers and Developers in Building AI Algorithms to Fight Fake News.']"
On Monotone Determined Spaces.,"['Parallel Model Checking for LTL, CTL*, and Lµ', 'Parallelism and Concurrency in Adhesive High-Level Replacement Systems with Negative Application Conditions.', 'How Neurotech Start-Ups Envision Ethical Futures: Demarcation, Deferral, Delegation.', 'A Tableau Method for the Lambek Calculus based on a Matrix Characterization.']"
Default Theories Over Monadic Languages: (Extended Abstract).,['Conditional Doxastic Models: A Qualitative Approach to Dynamic Belief Revision.']
Characterizing Consistent Smyth Powerdomains by FS-∧,"['Observation systems.', 'Designing for Care.']"
Service Discovery and Negotiation With COWS.,['Probabilistic confinement in a declarative framework.']
A Symbolic Semantics for a Calculus for Service-Oriented Computing.,"['From Coalgebraic to Monoidal Traces.', 'Exploring the Impact of Tensions in Stakeholder Norms on Designing for Value Change: The Case of Biosafety in Industrial Biotechnology.']"
A Coalgebraic View of Infinite Trees and Iteration.,"['Exploiting tree-based variable importances to selectively identify relevant variables.', 'Keyword Optimization in Sponsored Search via Feature Selection.', 'Reflections on Putting AI Ethics into Practice: How Three AI Ethics Approaches Conceptualize Theory and Practice.']"
Monadic Second-Order Logic and Transitive Closure Logics over Trees.,['Bernoulli Mixture Models for Markov Blanket Filtering and Classification.']
Coinduction in Concurrent Timed Systems.,"['What Do We Teach to Engineering Students: Embedded Ethics, Morality, and Politics.', 'From Coalgebraic to Monoidal Traces.', 'Genetically Engineered Foods and Moral Absolutism: A Representative Study from Germany.']"
Bridging the Web Accessibility Divide.,['Socially Assistive Devices in Healthcare-a Systematic Review of Empirical Evidence from an Ethical Perspective.']
"Notes on Coalgebras, Cofibrations and Concurrency.","['Semantic domains based on sets with families of equivalences.', 'Living with Paradoxes.', 'The Thermodynamic Arrow-of-time and Quantum Mechanics.', 'Epistemic and Non-epistemic Values in Earthquake Engineering.']"
An Overview of QML With a Concrete Implementation in Haskell.,"['Some Lessons from Using Static Analysis and Software Model Checking for Bug Finding.', 'Final Coalgebras And a Solution Theorem for Arbitrary Endofunctors.']"
The Implication Problem of Functional Dependencies in Complex-value Databases.,"['Service Discovery and Negotiation With COWS.', 'Development Separation in Lambda-Calculus.', 'Quantum Logic in Dagger Kernel Categories.']"
Distributed Partial Order Reduction for Security Protocols.,"['Constructing Formally Verified Reasoners for the ACL Description Logic.', 'Towards a theory of mathematical operational semantics.', 'Representation of FS-domains Based on Closure Spaces.']"
An Algebra for Directed Bigraphs.,"['Generalizing Topological Set Operators.', 'Towards Behavioral Maude: Behavioral Membership Equational Logic.', 'Probabilistic behaviours of reactive agents.', 'Coalgebra morphisms subsume open maps.']"
Modeling concurrent systems specified in a temporal concurrent constraint language-I.,"['Notes on Coalgebras, Cofibrations and Concurrency.', 'A Logical Uniform Boundedness Principle for Abstract Metric and Hyperbolic Spaces.', 'Abstract interpretation for proving secrecy properties in security protocols.']"
Interaction Nets With Nested Pattern Matching.,"['States of Knowledge.', 'Distributed Model Checking: From Abstract Algorithms to Concrete Implementations.', 'Clones with Nullary Operations.', 'A Logic for Ambiguous Description.']"
Towards an awareness-based semantics for security protocol analysis.,"['A Branching Time Logical System for Open Distributed Systems Development.', 'Interface-Based Specification and Verification of Concurrency Controllers.']"
On Functional Dependencies in Advanced Data Models.,['On the Semantic Foundations of Probabilistic Synchronous Reactive Programs.']
Modelling Parallel Quantum Computing Using Transactional Memory.,['The Duality Theory of General Z-continuous Posets.']
Predicate and Relation Lifting for Parametric Algebraic Specifications.,"['Socially Assistive Devices in Healthcare-a Systematic Review of Empirical Evidence from an Ethical Perspective.', 'Feature-based Modelling of a Complex, Online-Reconfigurable Decision Support Service.']"
A Tableau Method for the Lambek Calculus based on a Matrix Characterization.,"['Addressed Term Rewriting Systems: Syntax, Semantics, and Pragmatics: Extended Abstract.', 'Specification and Analysis of SOC Systems Using COWS: A Finance Case Study.', 'Sharing Implementations of Graph Rewriting Systems.', 'Inductive Behavioral Proofs by Unhiding.']"
Implementing X.,"['Confluence Results for a Quantum Lambda Calculus with Measurements.', 'Towards a Notion of Lambda Monoid.', 'Measuring and Evaluating Parallel State-Space Exploration Algorithms.']"
Two-dimensional linear algebra.,['A Calculus of Terms for Coalgebras of Polynomial Functors.']
"Monadic Corecursion - Definition, Fusion Laws, and Applications.","['A Coalgebraic Approach to Kleene Algebra with Tests.', ""Analytical Tableaux for da Costa's Hierarchy of Paraconsistent Logics."", 'Deforestation, program transformation, and cut-elimination.', 'Coalgebraic Reasoning about Classes in Object-Oriented Languages.']"
Comonadic Notions of Computation.,"['Probabilistic confinement in a declarative framework.', 'Partial orientation and local structural learning of causal networks for prediction.']"
"Coinduction for recursive data types: partial orders, metric spaces and Omega-categories.","['Formal Contexts for Algebraic Domains.', 'On Mobility and Communication.', 'Constructing Formally Verified Reasoners for the ACL Description Logic.']"
De-linearizing Linearity: Projective Quantum Axiomatics From Strong Compact Closure.,"['On Corelations, Cokernels, and Coequations.', 'Continuous Domains and their Information System Representation as Logical Systems.']"
A Quantum Game Semantics for the Measurement Calculus.,"['Notes on Coalgebras, Cofibrations and Concurrency.', 'Value Change, Energy Systems, and Rational Choice: The Expected Center of Gravity Principle.', 'Unsupervised Feature Selection for Pattern Discovery in Seismic Wavefields.', 'A Database Approach to Distributed State Space Generation.']"
A Coalgebraic Approach to Kleene Algebra with Tests.,"['Strongly Semicontinuous Lattices.', 'Service Discovery and Negotiation With COWS.', 'Quasi-continuous Yoneda Complete Quasi-Metric Space.']"
k-Valued Non-Associative Lambek Grammars are Learnable from Function-Argument Structures.,"['Correlated Information: A Logic for Multi-Partite Quantum Systems.', 'Automatically Verifying Concurrent Queue Algorithms.', 'Preface.', 'A Survey Study on Knowledge and Attitude Toward the Ethics Committee and Research Ethical Practices Among Researchers From Kuwait.']"
Model checking Erlang programs - abstracting the context-free structure.,['AI Moral Enhancement: Upgrading the Socio-Technical System of Moral Engagement.']
Quantifier-free logic for multialgebraic theories.,['Predicate and Relation Lifting for Parametric Algebraic Specifications.']
"(Omega, Xi)-Logic: On the Algebraic Extension of Coalgebraic Specifications.","['Encapsulation and Dynamic Modularity in the pi-calculus.', 'Validating Scripted Web-Pages.', 'Symbolic Model Checking of Software.']"
Strongly Semicontinuous Lattices.,"['Some Lessons from Using Static Analysis and Software Model Checking for Bug Finding.', 'Deciding low levels of tree-automata hierarchy.', 'A Database Approach to Distributed State Space Generation.']"
Recursive Coalgebras from Comonads.,"['Post-publication Peer Review with an Intention to Uncover Data/Result Irregularities and Potential Research Misconduct in Scientific Research: Vigilantism or Volunteerism?', 'Notes on Coalgebras, Cofibrations and Concurrency.']"
Modal Predicates and Co-equations.,['On automating the extraction of programs from proofs using product types.']
A Quantified Logic of Evidence.,['Approximating Mutual Information by Maximum Likelihood Density Ratio Estimation.']
Non Truth-Functional Many-Valuedness.,"['The Axiom System ISigma', 'Specification and Analysis of SOC Systems Using COWS: A Finance Case Study.', 'Potential Issues in Mandating a Disclosure of Institutional Investigation in Retraction Notices.']"
The Approximate Correctness of Systems Based on δ-bisimulation.,"['Encryption as an abstract data type.', 'Abstract interpretation for proving secrecy properties in security protocols.', 'Best Agglomerative Ranked Subset for Feature Selection.']"
Statistics of implicational logic.,"['Characterizations of Various Continuities of Posets Via Approximated Elements.', 'Automatically Verifying Concurrent Queue Algorithms.']"
Rewritings for Polarized Multiplicative and Exponential Proof Structures.,['Specification and Analysis of SOC Systems Using COWS: A Finance Case Study.']
An RDF Query Language based on Logic Programming.,['A Coalgebraic View of Infinite Trees and Iteration.']
Additive Consolidation with Maximal Change.,"['An RDF Query Language based on Logic Programming.', 'Final Coalgebras And a Solution Theorem for Arbitrary Endofunctors.', 'Verification of Web Services with Timed Automata.']"
Rational Unification in 28 Characters.,"['From Fairness to Chance.', 'Algebraic Structure of Web Services.']"
