paper,volume
SQL/Data System for VSE: A Relational Data System for Application Development.,G320-6590
A Logical Operational Semantics of Full Prolog,111
Ein Fact Manager zur persistenten Speicherung variabel strukturierter komplexer Objekte,60
How could a good system of practical NLP look like?,228
Möglichkeiten des Einsatzes eines dreiwertigen Theorembeweisers,188
Attribute Inheritance Implemented on Top of a Relational Database System,87
LMT - Machine Translation Demonstration,177
Implementation Aspects of a Natural Language Understanding System in a Prolog/DB Environment,3
Sort Processing in a Deductive Database System,154
EFTA: A Database Retrieval Algebra for Feature Terms,150
Knowledge in Operation,165
An Overview on Planning Applications in PROTOS-L,163
Über Ansätze zur Darstellung von Konzepten und Prototypen,34
Attributive Concept Descriptions with Unions and Complements,68
Ein praktischer Algorithmus für die E-Unifikation,166
Simulation Sprachlichen Verstehens: Generelle Probleme bei der semantischen Interpretation der natürlichen Sprache,5
The Institute for Knowledge Based Systems in the IBM Germany Scientific Center,126
Konzeption und Implementierung von Gleichheit für einen tableau-basierten Theorem-Beweiser,208
PROTOS-L: Towards a Knowledge Base Programming Language,89
Syntaktische Informationseinheiten zu deutschen Adjektiven,212
"On the Interpretation of Equality, Sorts, and Logic Programming",37
DInG - ein Domänen-orientierter Inkrementeller und Integrierter Generator für kohärente Texte,237
Prozedurale Semantik. Repräsentation der Sprechergegenwart.,180
Elsaß-Wanderung für Linguisten: Exemplarische Analyse und Repräsentation eines Satzes aus einer Reisebeschreibung,8
"""Dictionary Dialog"" - Entwurf des Funktionsumfangs für eine Benutzerschnittstelle eines integrierten maschinellen/maschinenunterstützten Übersetzungssystems und prototypische Erstellung der Bildschirmfolge für die Funktion ""Semantische Relation""",220
Zur Behandlung komplexer Objekte in LILOG,4
Computational aspects of three-valued logic,26
Semantics of Logic Programs with Equational Abstract Data Type Specifications,38
Processing Spatial Knowledge in LILOG,157
A Reusable Lexical Database Tool for Machine Translation,231
Der Lambek-Kalkül. Eine Logik für lexikalische Grammatiken,146
Parenthetische Konstruktionen des Deutschen.,199
Symmetric Coordination: An Alternative Theory of Phrase Structure,241
An Approach to Manage Large Inheritance Networks,8
On the Problem of Masking Special Errors by Serial Signature Analysis,151
Eine dreiwertige Logik zur Verarbeitung partieller Information,27
An Inference Engine for Function Free Logic Programs,132
Aspekte der Generierung von Wegbeschreibungen,190
Das Projekt EXCEPT: Expert-System for Computer-Aided Environmental Planning Tasks,114
A Formal Operational Semantics for PROLOG III: Using Dynamic Algebras,144
Subsumtion für eine erweiterte attributive Sortenbeschreibungssprache,83
Mathematische Grundlagen der formalen Linguistik - Ein Kompendium,121
Die Struktur des Lexikons für LILOG,29
Die Konzeption des EXCEPT-Systems: Ein Überblick,130
"Richtungsangabe oder Wegkonnektor? Rämliches ""Zurück"" und seine Semantik",210
Vorüberlegungen zur depiktionalen Repräsentation räumlichen Wissens,19
Fully Persistent B,135
Der modale Infinitiv: Syntaktische oder lexikalische Beschreibung?,11
Database Snapshots.,RJ2772
"At Ease with ""AT""",23
Datenbankunterstützung für wissensbasierte Systeme,10
"Die Ontologie und Axiomatik der Wissensbasis von LEU/2 - Erfahrungen, Probleme, Ausblicke",171
Temporales Schließen in einem natürlichsprachlichen System,162
Zur intelligenten Organisation von Wissensbeständen in künstlichen Systemen,91
The Semantics of Asserting and Retracting Clauses to Logic Programs,7
Correctness Proof for the WAM,205
Word Order and Focus Projection,13
KL-ONE: Eine Einführung,106
Improving the Concurrency of Integrity Checks and Write Operations,134
Über Vergleichskonstruktionen,96
Ereignisse: Ihre Logik und Ontologie aus textsemantischer Sicht,192
Der LILOG-DB Fact Manager: Ein Datenbankkern zur Speicherung variabel strukturierter komplexer Objekte,107
"Wissensbasierte Systeme in der Medizin: GMDS/GI, Abstracts des 1. gemeinsamen Workshops der AG Expertensysteme der GMDS und der FG Diagnostik und Klassifikation im GI-Fachausschuß 1.5, 29.-30. März 1990, Heidelberg",112
An Environment for Experimentation with Parsing Strategies,167
Logisches Clustering von PROTOS-L Prozeduren,50
Multiword Lexemes: A Monolingual and Contrastive Typology for NLP and MT,232
A Model Elimination Calculus for Generalized Clauses,182
Quantitative Analysen zu Wörterbüchern,189
Lexical Representation of Idioms,169
The LILOG Knowledge Representation System,156
Mengenkonzepte in Unifikationsgrammatiken,223
The Gamma-0 n-ary Relational Data Base Interface Specifications of Objects and Operations.,RJ1200
On the Treatment of Compounds in Machine Translation. A Study,221
Position und Bewegung: Zur Semantik lokaler Verben,138
Zur Systematik morphologischer Paradigmen: Die deutschen Verben in der Computermorphologie,217
A WAM Extension for Type-Constraint Logic Programming: Specification and Correctness Proof,200
Domain Restriction and Other Kinds of Reference Set Operations in Sentence and Discourse Semantics.,178
Umweltbewertung mit EXCEPT: Darstellung aus ökologischer Sicht,195
Lernverfahren zur Vervollständigung von Hornklauselmengen durch inverse Resolution,84
Ein Beispiel zur wissensbasierten Produktionsplanung mit PROTOS-L.,170
"Zum Begriff ""Argumentstruktur"" im Rahmen generativer worbildungstheoretischer Ansätze",35
"Standards für das Programmieren in Prolog für LILOG, Version 2.0",5
The Term Retrieval Abstract Machine,202
Syntaktische Analysevorschläge zur Behandlung von lokalen Präfixverben in einem System für die Generierung von Wegbeschreibungen,224
Feature Constraint Logics for Unification Grammars,93
Ein Transaktionskonzept für LILOG,3
Disjunctive Unification,124
Ereignisse und Repräsentationen,43
On the Role of Reasoning about Change in the Projection of Presuppositions,234
A Logical Operational Semantics of Full Prolog Part II: Built-in Predicates for Database Manipulations,115
A Brief Overlook of LILOG-DB,102
Leistungsanalyse des Datenbanksystems LILOG-DB,198
RENDEZVOUS Version 1: An Experimental English Language Query Formulation System for Casual Users of Relational Data Bases.,RJ2144
"Modals and the Scope of Negation, On the Treatment of Optionality in HPSG, Some Properties of Negation in German.",194
Tableau Calculus for Order Sorted Logic,108
Parsingstrategien für Unifikationsgrammatiken mit ID/LP-Regeln,6
Sort-Lattice Management in LILOG-DB,99
Sorted Feature Terms and Relational Dependencies,153
Reasoning for Text Understanding - Knowledge Processing in the 1st LILOG-Prototype,72
Zur Syntax pränominaler Elemente in einer kategorialen Unifikationsgrammatik des Deutschen,70
Wissensbasisverwaltung für LILOG,30
How to Fit the Lambek Calculus into the Chomsky Hierarchy,80
Erweiterung der Wissensrepräsentationssprache L-LILOG um Konstrukte zur Spezifikation von Kontrollinformation,92
Strategien zur Pronominalisierung,110
Index Path Length Evaluation for the Research Storage System of System R.,RJ2736
"""Der Film öded das Publikum"" - Zum Aufbau eines maschinenlesbaren Wörterbuchs für deutsche Verben",213
Operationen in erweiterten Typunifikationsformalismen,46
WebS - ein System zur Generierung von Wegbeschreibungen,11
Statistische Untersuchungen an einsprachigen Zeitungstexten,233
International Workshop on Terminological Logics - Proceedings,184
LILOG - Linguistische und logische Methoden für das maschinelle Verstehen des Deutschen - Projektbeschreibung,1
Mathematical Logic and Artificial Intelligence,6
Syntaktische Merkmale deutsche Substantive,214
Die Behandlung von mehrdeutigen Verben in der Maschinellen Übersetzung,158
Untersuchung zur verteilten Produktionsplanung mit Methoden der logischen Programmierung,215
Stepwise Software Development with Algebraic Specifications,140
"Types, Modules and Databases in the Logic Programming Language PROTOS-L",88
The Knowledge Representation Language L,41
Eine Prolog-Theorie für zeitliche Beziehungen zwischen Ereignissen,14
The Stuttgart Type Unification Formalism - User Manual,168
Lokale Verben und Präpositionen: Semantische und konzeptuelle Verarbeitung in LEU II,119
ILFA Interface Concept,193
Transactions and Consistency in Distributed Database Systems.,RJ2555
Knowledge Representation in LILOG,90
"A Logical Operational Semantics of Full Prolog Part III: Built-in Predicates for Files, Terms, Arithmetic and Input-Output",117
Using Knowledge-Based Methods to Administrate an Access Control System,222
Zur Verarbeitung von Lokalisierungsausdrücken in einem hybriden System,211
Integration von Constraints in die L,85
Mentale Bilder und Wegbedeutungen,20
Pluralbehandlung in natürlichsprachlichen Wissensverabeitungssystemen,73
An Order-Sorted Logic for Knowledge Representation Systems,113
Incremental Vocabulary Extensions in Text Understanding Systems,152
Persistence and Justified Causation: Some Remarks on Nonmonotonic Temporal Reasoning,179
Database Support for the PROTOS-L System,71
Anaphora Resolution for Machine Translation: A Study,187
Koordination von nichtverbalen Satzkonstituenten,74
The Design and Implementation of TLPROLOG (V. 2.0) - Intermediate Report,103
A Conceptual Model for Time,2
"Standards für das Programmieren in Prolog für LILOG, Version 1.0",1
Qualitätssicherung durch Programmverifikation und algebraische Methoden in der Softwareentwicklung,42
Feature Graphs and Abstract Data Types: A Unifying Approach,39
The Many-Valued Theorem Prover ,227
Rekonstruktion von Hintergrundwissen für ein wissensbasiertes textverstehendes System,129
A Feature Logic with Subsorts,33
Draft Report of the Logic Programming Language PROTOS-L,175
EFTA: An Algebra for Deductive Retrieval of Feature Terms,58
EFTA Query Processing in LILOG-DB,98
A Polynomial Method for Finding Irregularities in Large Example Sets,183
Compilation of Complex DATALOG with Stratified Negation,104
Interaktion von propositionalen und bildhaften Repräsentationen,122
An Order Sorted Predicate Logic with Closely Coupled Taxonomic Information,86
XRM - An Extended (N-ary) Relational Memory.,G320-2096
Representation and Reasoning with Attributive Descriptions,81
Untersuchungen zum Grundwortschatz,164
Ein modularer Ansatz für prinzipienbasiertes Parsing,139
"Quantifikation, Plural, Ereignisse und ihre Argumente in einer mehrsortigen Sprache der Prädikatenlogik erster Stufe",67
OSKAR - A PROLOG Programm for Modelling Dimensional Designation and Positional Variation of Objects in Space,109
Extending the Warren Abstract Machine to Polymorphic Order-Sorted Resolution,181
Textunderstanding in LILOG - Sorts and Reference Objects,25
"SQL/Data System, Conpects and Facilities.",GH24-5013
Derivationsmorphologie in einem Übersetzungssystem,235
Prozedurale Aspekte der Wegplanung und Wegbeschreibung,17
"Projekt ""Elektronische Wörterbücher/Lexika"": Abschlußbericht der Definitionsphase",145
FLL: A First-Order Language for Deductive Retrieval of Feature Terms,57
Resolution with Feature Unification,51
Das Problem der VP-Ellipsen im Rahmen einer Theorie der Sachverhaltsanaphern,123
Erster EXCEPT-Workshop: Computerunterstützte Umweltverträglichkeitsprüfung,125
Konzeptuelles Design einer mehrsprachigen lexikalischen Datenbank für die maschinelle Übersetzung,218
A Calculus for Order-Sorted Predicate Logic with Sort Literals,95
Persistente Datenspeicherung in einer logischen Programmiersprache mit relationalen und deduktiven Datenbanken,219
Integration eines deduktiven Datenbanksystems in eine Logikprogrammiersprache,176
On Subsumption and Semiunifaction in Feature Algebras,97
A Knowledge Level Analysis of Belief Revision,69
An Effective Representation of Complex Clauses in a Relational Database,44
Prolog and Natural Language Processing,209
An Anaphora Resolution Procedure for Machine Translation,172
Natural Language Understanding in LILOG: An Intermediate Overview,137
Verarbeitung von Vagheits- und Unsicherheitsbewertungen: Tools für das Testen von Ansätzen für die Unifikation und die Logikbehandlung von mit Unsicherheit und Vagheit bewerteten Graphen im L-LILOG-STUF-Graphenkonzept,12
Modeling Structured Open Worlds in a Database System: The FLL-Approach,149
Integrating a Deductive Database System with a Warren Abstract Machine,141
Ein neuer Ansatz zur Integration unterschiedlicher lexikalischer Resourcen,196
Expressing Linguistic Knowledge in STUF '91,206
Zeit und Aspekt bei der Verarbeitung natürlicher Sprachen,9
Spezifikation eines Theorembeweisers für dreiwertige First-Order Logik.,136
"Über die W's der Textgenerierung: Was, wofür, wo und wie: Wissensbasierte Generierung von informierenden Texten in einem Auskunftssystem",148
Integrating Model Theoretic and Proof Theoretic Interpretation of Logic Programs,36
THOR - A System for Computing in Equational Theories,226
Syntactic Processing of Unknown Words,131
Verträglichkeitsprüfungen für die Verarbeitung räumlichen Wissens,47
Mathematische Grundlagen der formalen Linguistik - Ein Kompendium,174
A Tool Kit for Knowledge Based Production Planning Systems,128
Wortbedeutungen und lexikalische Repräsentationen,127
Semantische Repräsentation von Plural-Phänomenen,230
Results on Non-Monotonic Logics.,204
Modelling Spatial Knowledge on a Linguistic Basis,147
Modularizing Knowledge in LILOG,173
Rule Rewriting Techniken zur globalen Optimierung von FLL-Programmen,105
Variable Subkategorisierung: Eine Theorie unpersönlicher Einbettungen im Deutschen,161
"Presupposition, Anaphora, and Lexical Content.",185
Development and Programming of Deductive Databases with PROTOS-L,118
A Shared Segment and Interprocess Communication Facility for VM/370,RJ1579
ICL - An Integrity Control Language: Konzeption und Implementierung einer formalen Sprache zur Integritätskontrolle von Wissensbasen,186
The Algebra of Feature Graph Specifications,94
"SQL/Data System, General Information Manual.",GH24-5012
A Persistent Store for Large Shared Knowledge Bases,133
Representation and Accessibility of Discourse Referents,24
Gebietskonstituierende Prozesse,18
Slide Search.,RJ2274
Complexity of Logical Decision Problems: An Introduction,143
Weiterentwicklung des Earley-Algorithmus für kontextfreie und ID/LP-Grammatiken,28
Terminological Reasoning is Inherently Intractable,82
Graph Based Extension of the LILOG Inference Engine,229
Verarbeitung natürlicher Sprache,66
A Model for Discourse Particles,31
Chart-Parsing of Unification-Based Grammars with ID/LP-Rules,22
Transitive Closure: New Aspects of an Old Theme,203
On Structuring Domain-Specific Knowledge,12
Die Sloppy/Referenzielle Ambiguität: Bildungssyntax oder Diskursrepräsentationstheorie?,32
"Standards für das Programmieren in Prolog für LILOG, Version 3.3",14
LILOG Prototype I Grammar Documentation: Semantics,10
Datenbankkonzepte für wissensbasierte Systeme,151
Using a Structured English Query Language as a Data Definition Facility.,RJ1318
The Compilation of a High Level Data Language.,RJ2598
Ein Lernverfahren für den automatischen Erwerb von Kontrollwissen,207
Stability Analysis of Wireless Networks,98-14
Finding Scientific Papers with HPSearch and MOPS,99-26
A Modified Mesh Independence Principle of Newton's Method,96-16
VisBDD - A Webbased Visualization Framework for OBDD Algorithms,01-21
On Boolean vs. Modular Arithmetic for Circuits and Communication Protocols,98-06
A Parametric View to the Mangasarian-Fromovitz Constraint Qualification,96-32
A Decomposition Method in Nonconvex Mixed-Integer Programming,94-10
Trust Region Methods for Solving the Optimal Output Feedback Design Problem,00-01
A Decomposition Method Using Duality Bounds for Nonconvex Optimization,97-24
Nonuniform Grids for Reduced Basis Design of Low Order Feedback Controllers for Nonlinear Continuous Systems,97-09
Approximation of the Newton Step by a Defect Correction Process,99-12
Polytope Containment and Determination by Linear Probes,92-26
On Markovian Spatial Arrival Processes for the Performance Analysis of Mobile Communication Networks,98-07
Convolution Algorithms for BMAP/G/1-Queues,96-22
tele-TASK - Teleteaching Anywhere Solution Kit,02-21
A QQP-Minimization Method for Semidefinite and Smooth Nonconvex Programs,98-12
"18. Workshop über Komplexitätstheorie, effiziente Algorithmen und Datenstrukturen, Universität Trier, 20. Oktober 1992 (Abstracts)",92-17
On the Complexity of Constructing Optimal OBDD's,94-05
Numerical Solution of Control Problems under Uncertainty and Perturbation of Input Data with Applications in Finance,00-05
Structured PSB-Update for Optimal Shape Design Problems,96-17
Räumliche Markov-additive Prozesse und Bedienstationen ohne Warteraum,03-01
Fast Generation of Random Permutations via Networks Simulation,96-26
Approximation Results for Wavelength Routing in Directed Binary Trees,96-37
Condensing Tensor Product Modules,96-29
A Comparison of Numerical Methods for Optimal Shape Design Problems,96-33
Interprocedural Analysis Based on PDAs,97-06
Scheduling of Conditional Executed Jobs,93-01
Mod-2-OBDD's: A Generalization of OBDD's and EXOR-Sum-of-Products,93-21
A Heuristic for (+)-OBDD Minimization,01-06
Complete Families of Invariant Distributions,97-08
Numerical Solution of a Semilinear Parabolic Control Problem,92-24
Structural Gröbner Basis Detection,96-31
A Fast and Robust Algorithm for a Class of Generalized Fractional Programs,94-11
Do We Really Need Common Variable Orders for Synthesizing OBDDs?,98-29
Lagrange-Duality and Partitioning Techniques in Nonconvex Global Optimization,96-38
Two Program Comprehension Tools for Automatic Parallelization: A Comparative Study,97-23
Implement Role-Based Access Control with Attribute Certificates,03-03
Convergence of Time-Continous Disturbed Martingales and Financial Market Modelling,99-11
Approximate Analysis of Multi-Queue Stations with 1-Limited Service,94-14
Circuit and Decision Tree Complexity of Some Number Theoretic Problems,98-21
A Decomposition Algorithm for Optimization over Efficient Sets,97-04
Scheduling Expression DAGs for Minimal Register Need,96-12
On the Queue-Length-Distributions of the E,92-27
On Generic One-Parametric Semi-Infinite Optimization,95-06
A Branch-and-Bound Decomposition Approach for Solving Quasiconvex-Concave Programs,93-11
"Approximating Semi-Markov Processes by MAPs, with an Application on Queueing Theory",02-19
Newton's Method for a Class of Optimal Shape Design Problems,96-15
A Generic Background Dissemination Service for Mobile Ad-Hoc Networks,04-01
Complexity Results for the Optimum Cost Chromatic Partition Problem,96-41
Personal Name Matching: New Test Collections and a Social Network based Approach.,06-01
Utility Function Programs and Optimization over the Efficient Set in Multiple Objective Decision Making,96-03
On Local Convex Majorizing Approximations of Generalized Semi-Infinite Programming Problems,96-35
Structured Quasi-Newton Methods for Optimization Problems in Hilbert Space,92-20
Computation of PODs for Fluid Flows with Lanczos Methods,99-13
Unambiguity of SMGL Content Models - Pushdown Automata Revisited,97-05
Global Optimization Techniques for Solving the General Quadratic Integer Programming Problem,94-09
Ordered Binary Decision Diagrams in Electronic Design Automation,02-20
Simultaneous Pseudo-Timestepping for PDE-model Based Optimization Problems,02-23
Mod-p Decision Diagrams: A Data Structure for Multiple-Valued Functions.,99-27
On the Numerical Simulation of Bingham Fluid Flows Using Prox-Regularization,98-05
Zur strukturellen Stabilität von Kommunikationssystemen - Eine kurze Einführung in die Grundlagen,95-04
Increasing Efficiency of Symbolic Model Checking by Accelerating Dynamic Variable Reordering,98-23
Customer Motion in Queueing Models: The Use of Tangent Vector Fields,01-03
External Tangents and Closedness of Cone + Subspace,93-14
Block-Restricted Reordering - Extended Experiments,97-27
On Graph Models for Communicating Mobiles in Access Areas,01-13
On the Reconstruction of Binary Images from Their Discrete Radon Transforms,96-24
On the Complexity of some Basic Problems in Computational Convexity: 1. Containment Problems,93-18
Linearly Constrained Global Minimization of Functions with Concave Minorants,96-01
Stochastic Simulation of Markov Modulated Finite-Source Queues,99-06
Complexity Classes with Finite Acceptance Types,93-16
WWW.BDD-PORTAL.ORG: An Experimentation Platform for Binary Decision Diagram Algorithms,01-09
Neue Ergebnisse für BMAPs und räumliche Warteschlangen,98-10
Stochastic Modeling of Server Capacity Utilization by Geometric Sums,98-16
tele-TASK - Teleteaching praxistauglich für den Universitätsalltag,03-04
Polytope Projection and Projection Polytopes,95-14
Proximal Methods in View of Interior-Point-Strategies,95-18
Some Heuristics for Generating Tree-like FBDD Types,94-03
Propagating Differences: An Efficient New Fixpoint Algorithm for Distributive Constraint Systems,97-13
Global Convergence of Inexact Reduced SQP Methods,95-20
Scheduling of Virtual Connections in Fast Networks,96-19
A LMI-Based Algorithm for Designing Suboptimal Static H,99-02
Discrete Tomography: Determination of Finite Sets by X-Rays,95-13
On Markov-Additive Jump Processes,00-07
Determination of Socle Series using the Condensation Method,96-30
Minkowski Addition of Polytopes: Computational Complexity and Applications to Gröbner Bases,92-06
Succinct Solvers,01-12
Interior Proximal Method for Variational Inequalities: Case of Non-paramonotone Operators,01-20
An Optimal Greedy Algorithm for Wavelength Allocation in Directed Tree Networks,97-03
On Product Connection Theorems for Markov Chains,01-19
The WWW meets EDA: Usability evaluation of OBDD-heuristics via the Internet,98-27
A Decomposition Approach for the Global Minimization of Biconcave Functions over Polytopes,93-23
Optimal Control of Thermally Coupled Navier-Stokes Equations in Food Industry,98-19
Application Driven Variable Reordering and an Example in Reachability Analysis,98-24
Convergent Outer Approximation Algorithms for Solving Unary Problems,96-39
Linear Sifting of Decision Diagrams,96-42
A Branch and Bound Approach for Solving a Class of Generalized Semi-Infinite Programming Problems,96-34
Approximation Results for the Optimum Cost Chromatic Partition Problem,97-01
Convergence Results on Proximal Method of Multipliers in Nonconvex Programming,98-32
On the Complexity of Tensor Formulae,99-20
An EM Algorithm for Platoon Arrival Processes in Discrete Time,02-07
On the Solution of a Two Ball Trust Region Subproblem,92-16
On Multiplicative Structure in Quasi-Newton Methods for Nonlinear Equations,92-22
State Encodings and OBDD-Sizes,96-04
Functional Quantization and Small Ball Probabilities for Gaussian Processes,02-05
Parallel versus Sequential Task-Processing: A New Performance Model in Discrete Time,96-46
On the G/GE/1 Queue,93-10
Generalized Semi-Infinite Optimization: A First Order Optimality Condition and Examples,95-24
On a Weak Norm Based Prox-Regularization Method,97-20
One Strike Against the Min-Max Degree Triangulation Problem,92-14
10 Jahre ECCC - Eine Digitale Bibliothek in weltweiter Benutzung,04-05
Locating Matches of Tree Patterns in Forests,98-08
Convergence of Generalized Supermartingales with Continous Parameter,99-05
Proximal Interior Point Approach for Solving Convex Semi-infinite Programming Problems,98-09
A Note on Spectral Lower Bound Arguments for Decision Trees,97-21
Optimal Allocation of Jobs between Heterogeneous Servers in the Retrial MAP/PH/K Queue,02-15
Scheduling with Incompatible Jobs,92-09
The BMAP/G/1 Queue with Level Dependent Arrivals and its Stationary Distribution,97-22
Stochastic Constraint Aggregation Method for Convex Semi-Infinite Problems,97-17
A Lagrangian Method for Solving the Optimal Output Feedback Design Problem,00-02
Upper and Lower Bounds for Certain Graph-Accessability-Problems on Bounded Alternating (omega)-Branching Programs,92-04
Efficient OBDD-Based Boolean Manipulation in CAD Beyond Current Limits,94-16
Forward and Inverse Problems in Modeling of Multiphase Flow and Transport Through Heterogeneos Porous Media,02-13
On the Rareness of Disturbed Martingales in the Class of all Uniformly L,99-09
A Tool for Simulation of Markov Modulated Finite-Source Queueing Systems,99-07
Symmetric Functions in AC,93-05
On the Algorithmic Complexity of Minkowski's Reconstruction Theorem,95-15
Integrating Synchronous and Asynchronous Paradigms: The Fork95 Parallel Programming Language,95-05
Algorithmic Considerations for +-OBDD Reordering.,99-19
Model-Checking for L,97-18
Auxiliary Problem Principle and Proximal Point Methods,99-14
Largest j-Simplices in n-Polytopes,94-01
The Complexity of Detecting Crossingfree Configurations in the Plane,92-25
The Infinite Server Queue with Markov Additive Arrivals in Space,98-31
Weak Error Tolerance Criterion in Generalized Proximal Methods,02-22
Modular Partitioning for Improvement of Image Computation,01-16
A Rainbow about T-Colorings for Complete Graphs,93-03
Convergence Rate of the Augmented Lagrangian SQP Method,95-19
Integrating Scalable Parallel Libraries and Automatically Parallelizing Compilers,94-18
Generalized Coloring for Tree-like Graphs,92-08
Reduction of Generalized Semi-Infinite Programming Problems to Semi-Infinite or Piece-Wise Smooth Programming Problems,01-08
Proximal Interior Point Approach in Convex Programming,96-27
Numerical Parameter Identification in Non-isothermal Multiphase Multicomponent Flow through Porous Media,02-12
Regularized Penalty Method for Parabolic Optimal Control Problems,97-10
On the Acceptance Power of Groups and Semigroups,96-07
A Unifying Theoretical Background for Some BDD-based Data Structures,94-17
Non-quadratic Proximal Regularization with Application to Variational Inequalities in Hilbert Spaces,01-01
On Communication Games with More than Two Players,95-11
TI-jPACS - eine frei verfügbare leistungsfähige Plattform zur medizinischen Bildverarbeitung und -visualisierung,04-04
Computational Design of Optimal Output Feedback Controllers,95-12
One Step Further: Integrating Electronic Submission and the Reviewing Process,99-16
Efficient Analysis and Manipulation of OBDDs can be Extended to Read-once-only Branching Programs,92-10
Performance Analysis of SDN Specific Error Procedures: Comparison of Step-by-Step and End-to-End Schemes,92-21
Reduction of Some Optimal Control Problems with Variational Inequalities to Ill-Posed Optimal Control Problems with Linear State Equations,00-08
On Approximate Solution Methods for Multi-Queue Systems with 1-Limited Deterministic Service,95-22
Global Rebuilding of OBDD's - Tunneling Memory Requirement Maxima,95-03
On the Use of Product Structure in Secant Methods for Nonlinear Least Squares Problems,92-18
Ein Newtonverfahren zur zeitoptimalen Vibrationsdämpfung,96-21
Product Form Solutions for Closed Synchronized Systems of Stochastic Sequential Processes,92-13
Convergence Results on Proximal Method of Multipliers in Nonconvex Programming,98-26
Optimal Static Output Feedback Design By Using a Trust Region Interior Point Method,00-03
The SPARAMAT Approach to Automatic Comprehension of Sparse Matrix Computations,99-10
No-Waiting Stations with Special Arrival Processes and Customer Motion,02-16
Ein Faltungskalkül für Matrizenfolgen und verallgemeinerte Poisson-Gruppenprozesse,96-36
Proximal Methods: Decomposition and Selection,98-30
IDDS: An Interactive Decentallzed Documentation System,01-15
The Inhomogeneous BMAP/G/infinity Queue,00-06
Function Decomposition and Synthesis Using Linear Sifting,97-14
Static Output Feedback Design by Using a Newton-SQP Interior Point Method,99-03
Language Support for Synchronous Parallel Critical Sections,95-23
On a Fast Algorithm for Constrained Nonlinear Least Squares Problems,92-19
The complexity of optimal small policies,99-22
Separating Counting Communication Complexity Classes,92-01
OBDD-based Verification of Communication Protocols - Methods for the Verification of Data Link Protocols,97-28
On Helly's Theorem: Algorithms and Extensions,96-28
On the Complexity of some Basic Problems in Computational Convexity: II. Volume and mixed volumes,94-07
BMAP/G/1-Queues: Properties of the Fundamental-Period-Matrix G,96-10
Parameter Estimation for BMAPs,00-09
Speeding up Variable Reordering of OBDDs.,96-40
A Modal µ-Calculus for Durational Transition Systems,95-08
Representation of Feedback Operators for Hyperbolic Partial Differential Equation Control Problems,96-43
Two Logarithmic Barrier Methods for Convex Semi-Infinite Programming Problems,99-30
Efficient Manipulation of FBDDs by Means of a Modified OBDD-Package,93-09
Exact XML Type Checking in Polynomial Time.,06-04
"Log-concavity and Inequalities for Chi-square, F and Beta Distributions with Applications in Multiple Comparisons",96-18
Regularisierte Strafmethoden für inkorrekt gestellte Kontrollprobleme mit linearen Zustandsgleichungen,98-02
An Indefinite Preconditioner for KKT Systems Arising in Optimal Control Problems,00-10
Logarithmic Barrier Methods for Solving the Optimal Output Feedback Problem,95-16
Stochastic Models for Communication Networks with Moving Customers,01-02
Computational Complexity of Inner and Outer j-RADII of Polytopes in Finite-Dimensional Normed Spaces,93-06
Utility Function Program with or without Explicit Form of Utility Function,96-45
Scheduling with Constrained Processor Allocation for Interval Orders,92-11
Some Bounds on Multiparty Communication Complexity of Pointer Jumping,95-17
An Efficient Method for Aerodynamic Shape Optimization,04-07
Zum Gleichgewichtsverhalten von Markov-Prozessen,98-03
