paper,cites
Professional and Organizational Leadership Role in Ethics Management: Avoiding Reliance on Ethical Codification and Nurturing Ethical Culture.,Fast Winning Strategies for the Maker-Breaker Domination Game.
Professional and Organizational Leadership Role in Ethics Management: Avoiding Reliance on Ethical Codification and Nurturing Ethical Culture.,An Automata Based Approach for Verifying Information Flow Properties.
Which Framework to Use? A Systematic Review of Ethical Frameworks for the Screening or Evaluation of Health Technology Innovations.,A Connection Between Concurrency and Language Theory.
Which Framework to Use? A Systematic Review of Ethical Frameworks for the Screening or Evaluation of Health Technology Innovations.,Utility network optimization in eco-industrial parks by a multi-leader follower game methodology.
Which Framework to Use? A Systematic Review of Ethical Frameworks for the Screening or Evaluation of Health Technology Innovations.,The evaluation strategy for head normal form with and without on-demand flags.
Which Framework to Use? A Systematic Review of Ethical Frameworks for the Screening or Evaluation of Health Technology Innovations.,Using Abstract Interpretation for the Safe Verification of Security Protocols.
Stakeholders' Experiences of Research Integrity Support in Universities: A Qualitative Study in Three European Countries.,Sampling Techniques for the Nystrom Method.
Stakeholders' Experiences of Research Integrity Support in Universities: A Qualitative Study in Three European Countries.,An Information Geometry Approach for Distance Metric Learning.
Stakeholders' Experiences of Research Integrity Support in Universities: A Qualitative Study in Three European Countries.,An Automata Based Approach for Verifying Information Flow Properties.
Stakeholders' Experiences of Research Integrity Support in Universities: A Qualitative Study in Three European Countries.,Local Module Checking for CTL Specifications.
A Comparative Analysis of the Definitions of Autonomous Weapons Systems.,Temporal constraints for concurrent object synchronisation.
A Comparative Analysis of the Definitions of Autonomous Weapons Systems.,Projectable Semantics for Statecharts.
A Comparative Analysis of the Definitions of Autonomous Weapons Systems.,Nominal Lambda Calculus: An Internal Language for FM-Cartesian Closed Categories.
A Comparative Analysis of the Definitions of Autonomous Weapons Systems.,Specifying Coalgebras with Modal Logic.
Guilt Without Fault: Accidental Agency in the Era of Autonomous Vehicles.,Maximum Volume Clustering.
An Ethical Exploration of Increased Average Number of Authors Per Publication.,Representations of Algebraic Domains and Algebraic L-domains by Information Systems.
Perceptions of Pharmacy Graduate Students Toward Research Ethics Education: A Cross-Sectional Study from a Developing Country.,Far above others.
Parity and the Resolution of Value Conflicts in Design.,Loop Corrected Belief Propagation.
Parity and the Resolution of Value Conflicts in Design.,A Formalisation of Nominal α-equivalence with A and AC Function Symbols.
Community Heroes and Sleeping Members: Interdependency of the Tenets of Energy Justice.,A multi-objective optimization model for tactical planning of upstream oil & gas supply chains.
Community Heroes and Sleeping Members: Interdependency of the Tenets of Energy Justice.,Gauss: A Framework for Verifying Scientific Computing Software.
Perceptions of Research Integrity Climate in Hungarian Universities: Results from A Survey among Academic Researchers.,A Bayesian Analysis of the Radioactive Releases of Fukushima.
Energy Sovereignty: A Values-Based Conceptual Analysis.,Kernels Based Tests with Non-asymptotic Bootstrap Approaches for Two-sample Problems.
Towards a Design Toolkit of Informed Consent Models Across Fields: A Systematic Review.,Petri Nets with Discrete Phase Type Timing: A Bridge Between Stochastic and Functional Analysis.
Gender Bias and Conversational Agents: an ethical perspective on Social Robotics.,Adaptive Bandits: Towards the best history-dependent strategy.
Gender Bias and Conversational Agents: an ethical perspective on Social Robotics.,A Linear Ensemble of Individual and Blended Models for Music Rating Prediction.
Max Power: Implementing the Capabilities Approach to Identify Thresholds and Ceilings in Energy Justice.,A measure based pricing framework for data products.
Max Power: Implementing the Capabilities Approach to Identify Thresholds and Ceilings in Energy Justice.,Dynamic modeling and optimization of sustainable algal production with uncertainty using multivariate Gaussian processes.
Max Power: Implementing the Capabilities Approach to Identify Thresholds and Ceilings in Energy Justice.,T-homotopy and Refinement of Observation (I): Introduction.
Max Power: Implementing the Capabilities Approach to Identify Thresholds and Ceilings in Energy Justice.,Automating Quantitative Narrative Analysis of News Data.
Questionable Research Practices and Misconduct Among Norwegian Researchers.,Optimizing the inventorying and distribution of chemical fluids: An innovative nested column generation approach.
The Societal Readiness Thinking Tool: A Practical Resource for Maturing the Societal Readiness of Research Projects.,Towards Behavioral Maude: Behavioral Membership Equational Logic.
Sims and Vulnerability: On the Ethics of Creating Emulated Minds.,Fluid Dynamics Models for Low Rank Discriminant Analysis.
Sims and Vulnerability: On the Ethics of Creating Emulated Minds.,Grammatical Specification in ASL: Germanic Dependent Clause Order.
Sims and Vulnerability: On the Ethics of Creating Emulated Minds.,Reprint of: Expansion development planning of thermocracking-based bitumen upgrading plant under uncertainty.
Multi Scale Ethics - Why We Need to Consider the Ethics of AI in Healthcare at Different Scales.,Strategies and user interfaces in Maude at work.
Multi Scale Ethics - Why We Need to Consider the Ethics of AI in Healthcare at Different Scales.,"The Story of Re-engineering 350,000 Lines of FORTRAN Code."
Correction: Community Heroes and Sleeping Members: Interdependency of the Tenets of Energy Justice.,The supply of hours worked and fluctuations between growth regimes.
Correction: Community Heroes and Sleeping Members: Interdependency of the Tenets of Energy Justice.,An Augmented Reality Prototype for supporting IoT-based Educational Activities for Energy-efficient School Buildings.
Correction: Community Heroes and Sleeping Members: Interdependency of the Tenets of Energy Justice.,Web Accessibility Evaluation Tools: A Survey and Some Improvements.
"Value Change, Value Conflict, and Policy Innovation: Understanding the Opposition to the Market-Based Economic Dispatch of Electricity Scheme in India Using the Multiple Streams Framework.",Low rank continuous-space graphical models.
"Value Change, Value Conflict, and Policy Innovation: Understanding the Opposition to the Market-Based Economic Dispatch of Electricity Scheme in India Using the Multiple Streams Framework.",Cumulative Restricted Boltzmann Machines for Ordinal Matrix Data Analysis.
"Value Change, Value Conflict, and Policy Innovation: Understanding the Opposition to the Market-Based Economic Dispatch of Electricity Scheme in India Using the Multiple Streams Framework.","Monadic Corecursion - Definition, Fusion Laws, and Applications."
RESPONSE_ABILITY A Card-Based Engagement Method to Support Researchers' Ability to Respond to Integrity Issues.,Using Binary Patterns for Counting Falsifying Assignments of Conjunctive Forms.
Correction to: The Moral Consideration of Artificial Entities: A Literature Review.,Equitable Total Chromatic Number of 
Correction to: The Moral Consideration of Artificial Entities: A Literature Review.,Anti-Ramsey Threshold of Cycles for Sparse Graphs.
Perceptions of Scientific Authorship Revisited: Country Differences and the Impact of Perceived Publication Pressure.,A Duality Between Ω-categories and Algebraic Ω-categories.
Meaningful Lives in an Age of Artificial Intelligence: A Reply to Danaher.,Sharing Implementations of Graph Rewriting Systems.
Ecocentrism and Biosphere Life Extension.,Numerical Validation of Compensated Summation Algorithms with Stochastic Arithmetic.
Ecocentrism and Biosphere Life Extension.,Collection of benchmark test problems for data reconciliation and gross error detection and identification.
Ecocentrism and Biosphere Life Extension.,Intensional Approaches for Symbolic Methods.
Understanding Value Change in the Energy Transition: Exploring the Perspective of Original Institutional Economics.,Visualizing Similarity Data with a Mixture of Maps.
Understanding Value Change in the Energy Transition: Exploring the Perspective of Original Institutional Economics.,The Ubuntu Robot: Towards a Relational Conceptual Framework for Intercultural Robotics.
Understanding Value Change in the Energy Transition: Exploring the Perspective of Original Institutional Economics.,A Formal Framework for Web Services Coordination.
Benchmarking Scientific Image Forgery Detectors.,Generalized Scott Topology on Sets with Families of Pre-orders.
Benchmarking Scientific Image Forgery Detectors.,Bousi~Prolog: a Prolog Extension Language for Flexible Query Answering.
Benchmarking Scientific Image Forgery Detectors.,Nonlinear dynamic analysis and control design of a solvent-based post-combustion CO
Benchmarking Scientific Image Forgery Detectors.,An Efficient Nelson-Oppen Decision Procedure for Difference Constraints over Rationals.
Fictional Film in Engineering Ethics Education: With Miyazaki's The Wind Rises as Exemplar.,Brain-Computer Interface Software: A Review and Discussion.
Ethical Issues in Social Science Research Employing Big Data.,Bayesian Comparison of Machine Learning Algorithms on Single and Multiple Datasets.
Ethical Issues in Social Science Research Employing Big Data.,Two Problems on Interval Counting.
Ethical Issues in Social Science Research Employing Big Data.,On Grainless Footprint Semantics for Shared-memory Programs.
Ethical Issues in Social Science Research Employing Big Data.,Liveness Checking as Safety Checking for Infinite State Spaces.
Global Catastrophic Risk and the Drivers of Scientist Attitudes Towards Policy.,"Chromar, a Rule-based Language of Parameterised Objects."
Global Catastrophic Risk and the Drivers of Scientist Attitudes Towards Policy.,Locating exchangers in an EIP-wide heat integration network.
Global Catastrophic Risk and the Drivers of Scientist Attitudes Towards Policy.,Finding a Secure Place: A Map-Based Crowdsourcing System for People With Autism.
Hiding Behind Machines: Artificial Agents May Help to Evade Punishment.,Skalpel: A Type Error Slicer for Standard ML.
Hiding Behind Machines: Artificial Agents May Help to Evade Punishment.,Kick-Start Activation to Novice Programming - A Visualization-Based Approach.
Hiding Behind Machines: Artificial Agents May Help to Evade Punishment.,An Abstract Equivalence Notion for Object Models.
A Hippocratic Oath for Mathematicians? Mapping the Landscape of Ethics in Mathematics.,A simple multi-armed bandit algorithm with optimal variation-bounded regret.
A Hippocratic Oath for Mathematicians? Mapping the Landscape of Ethics in Mathematics.,The evaluation strategy for head normal form with and without on-demand flags.
A Hippocratic Oath for Mathematicians? Mapping the Landscape of Ethics in Mathematics.,Kernels Based Tests with Non-asymptotic Bootstrap Approaches for Two-sample Problems.
A Hippocratic Oath for Mathematicians? Mapping the Landscape of Ethics in Mathematics.,Proof-carrying Bytecode.
Contextual Exceptionalism After Death: An Information Ethics Approach to Post-Mortem Privacy in Health Data Research.,Transductive Classification via Local Learning Regularization.
Contextual Exceptionalism After Death: An Information Ethics Approach to Post-Mortem Privacy in Health Data Research.,Theory exploration versus theorem proving.
Corrigendum to Gerasimou (2021) and comment on Banerjee (2022).,MDL Histogram Density Estimation.
Corrigendum to Gerasimou (2021) and comment on Banerjee (2022).,Rare Probability Estimation under Regularly Varying Heavy Tails.
Implications of uncertainty for optimal policies.,Development and Validation of a Scenario-Based Drilling Simulator for Training and Evaluating Human Factors.
Implications of uncertainty for optimal policies.,Fully Symbolic Model Checking of Timed Systems using Difference Decision Diagrams.
Continuous unimodal maps in economic dynamics: On easily verifiable conditions for topological chaos.,Allocating positions fairly: Auctions and Shapley value.
Continuous unimodal maps in economic dynamics: On easily verifiable conditions for topological chaos.,Combinator Parsers - From Toys to Tools.
"Heterogeneity, decentralized trade, and the long-run real effects of inflation.",Different directions in parallel and distributed model checking (invited talk).
"Heterogeneity, decentralized trade, and the long-run real effects of inflation.",Narrowing and Rewriting Logic: from Foundations to Applications.
Ambiguity aversion and wealth effects.,History and Developments.
Ambiguity aversion and wealth effects.,From Partial Orders with Projections to Domains.
Ambiguity aversion and wealth effects.,Accelerated algorithm for intelligent mining of communication data in cloud computing environment.
"Detectability, duality, and surplus extraction.",Classically-controlled Quantum Computation.
"Detectability, duality, and surplus extraction.",Checking and Correcting Behaviors of Java Programs at Runtime with Java-MOP.
"Detectability, duality, and surplus extraction.",Subgame-perfect cooperation in an extensive game.
Learning efficient equilibria in repeated games.,"On Corelations, Cokernels, and Coequations."
Learning efficient equilibria in repeated games.,An Adaptation-based Approach to Incrementally Build Component Systems.
Stochastic choice with limited memory.,Layout Randomization and Nondeterminism.
Stochastic choice with limited memory.,Measurements on domains and topology.
The value of a coordination game.,PSPACE-hardness of Two Graph Coloring Games.
The value of a coordination game.,Attacking fair-exchange protocols: parallel models vs trace models.
The value of a coordination game.,Policy Iteration in Finite Templates Domain.
The value of a coordination game.,Bisimulation Maps in Presheaf Categories.
Comparing ambiguous urns with different sizes.,"Discussion of ""The Neural Autoregressive Distribution Estimator""."
Comparing ambiguous urns with different sizes.,"Discussion of ""The Discrete Infinite Logistic Normal Distribution for Mixed-Membership Modeling""."
Relationship externalities.,A parallel unidirectional coupled DEM-PBM model for the efficient simulation of computationally intensive particulate process systems.
Relationship externalities.,A Tutorial on Specifying Data Structures in Maude.
Relationship externalities.,Hierarchical Latent Dictionaries for Models of Brain Activation.
Relationship externalities.,A Polynomial-time Approximation Scheme for the MAXSPACE Advertisement Problem.
Self-accessibility and repeated games with asymmetric discounting.,Active learning strategies for solving the cold user problem in model-based recommender systems.
Self-accessibility and repeated games with asymmetric discounting.,Evaluation of a Bayesian model-based approach in GA studies.
Self-accessibility and repeated games with asymmetric discounting.,Formal Analysis of Oscillatory Behaviors in Biological Regulatory Networks: An Alternative Approach.
Identification in the random utility model.,Quilting Stochastic Kronecker Product Graphs to Generate Multiplicative Attribute Graphs.
Identification in the random utility model.,Modeling Component Connectors in Reo by Constraint Automata: (Extended Abstract).
Starting small in project choice: A discrete-time setting with a continuum of types.,Properties of General Semantic Operators Determined by Logic-Based Systems.
Starting small in project choice: A discrete-time setting with a continuum of types.,An elementary algorithm for digital arc segmentation.
Excess payoff dynamics in games.,Incremental Sparsification for Real-time Online Model Learning.
Excess payoff dynamics in games.,A coalgebraic introduction to CSP.
Estimating robustness.,Modeling Group Communication Protocols Using Multiset Term Rewriting.
Estimating robustness.,An Ontological Rule-Based Approach for Analyzing Dead and False Optional Features in Feature Models.
Estimating robustness.,Interoperability Technology Assessment.
Estimating robustness.,Feature Ranking Using Linear SVM.
Biased learning under ambiguous information.,Unintended consequences: Can the rise of the educated class explain the revival of protectionism?
The emergence and persistence of oligarchy: A dynamic model of endogenous political power.,Towards Compositional Graph Theory.
A revelation principle for correlated equilibrium under trembling-hand perfection.,Learning to Rank for Personalized News Article Retrieval.
A revelation principle for correlated equilibrium under trembling-hand perfection.,Content-based Image Retrieval with Multinomial Relevance Feedback.
Uncertain product availability in search markets.,Energy and exergy investigation of two modified single mixed refrigerant processes for natural gas liquefaction.
Menu mechanisms.,An AI-Based Visual Aid With Integrated Reading Assistant for the Completely Blind.
Menu mechanisms.,Improving the Security of Downloadable Java Applications With Static Analysis.
Menu mechanisms.,Tighter Relaxations for MAP-MRF Inference: A Local Primal-Dual Gap based Separation Algorithm.
Menu mechanisms.,Total Maps of Turing Categories.
Ambiguity in dynamic contracts.,Introducing approximate well dynamics into production optimization for operations scheduling.
Ambiguity in dynamic contracts.,Bisimulation for Feller-Dynkin Processes.
Ambiguity in dynamic contracts.,"Relating Toy Models of Quantum Computation: Comprehension, Complementarity and Dagger Mix Autonomous Categories."
Ambiguity in dynamic contracts.,Correct Microkernel Primitives.
Goodwill in communication.,Graph-Based Tools (GraBaTs 2002).
Goodwill in communication.,A Hofmann-Mislove theorem for 
Wait or act now? Learning dynamics in stopping games.,The Ethics of 'Deathbots'.
Wait or act now? Learning dynamics in stopping games.,Formulation of the excess absorption in infrared spectra by numerical decomposition for effective process monitoring.
Wait or act now? Learning dynamics in stopping games.,A Domain-Theoretic Model Of Nominally-Typed Object-Oriented Programming.
Learning (to disagree?) in large worlds.,Compressing Propositional Refutations.
Learning (to disagree?) in large worlds.,GPdoemd: A Python package for design of experiments for model discrimination.
Reputation for playing mixed actions: A characterization theorem.,Improving the sensitivity of safety and health index assessment in optimal molecular design framework.
Reputation for playing mixed actions: A characterization theorem.,A Lattice of Sets of Alignments Built on the Common Subwords in a Finite Language.
Reputation for playing mixed actions: A characterization theorem.,Agreement Study Using Gesture Description Analysis.
Reputation for playing mixed actions: A characterization theorem.,Causal learning without DAGs.
"Corrigendum to ""Simple preference intensity comparisons"" [J. Econ. Theory 192 (2021) 105199].",Story builders.
"Corrigendum to ""Simple preference intensity comparisons"" [J. Econ. Theory 192 (2021) 105199].",Facial Expression Detection using Filtered Local Binary Pattern Features with ECOC Classifiers and Platt Scaling.
"Corrigendum to ""Simple preference intensity comparisons"" [J. Econ. Theory 192 (2021) 105199].",Neural conditional random fields.
The determination of public debt under both aggregate and idiosyncratic uncertainty.,Strategies and user interfaces in Maude at work.
The determination of public debt under both aggregate and idiosyncratic uncertainty.,Multiple priors and comparative ignorance.
The determination of public debt under both aggregate and idiosyncratic uncertainty.,A Formal Framework for Hybrid Event B.
The determination of public debt under both aggregate and idiosyncratic uncertainty.,The Coinductive Resumption Monad.
Mechanism design with level-k types: Theory and an application to bilateral trade.,A Process Calculus of Atomic Commit.
Unintended consequences: Can the rise of the educated class explain the revival of protectionism?,Online average-based system modelling method for batch process.
Unintended consequences: Can the rise of the educated class explain the revival of protectionism?,Nonparametric Tree Graphical Models.
Unintended consequences: Can the rise of the educated class explain the revival of protectionism?,Varieties and Covarieties of Languages (Extended Abstract).
Intermediation and price volatility.,Obtaining Optimal Thresholds for Processors with Speed-Scaling.
Learning about profitability and dynamic cash management.,Quality of Service Conflict During Web Service Monitoring: A Case Study.
Learning about profitability and dynamic cash management.,A geometric observer design for a semi-batch free-radical polymerization system.
Learning about profitability and dynamic cash management.,On NDCG Consistency of Listwise Ranking Methods.
Learning about profitability and dynamic cash management.,"Disclosure, competition, and learning from asset prices."
The probability of pluralistic ignorance.,Debugging and Testing Optimizers through Comparison Checking.
The probability of pluralistic ignorance.,A process design approach to manage the uncertainty of industrial flaring during abnormal operations.
Hidden testing and selective disclosure of evidence.,Dialogue Systems for Intelligent Human Computer Interactions.
Bounded rationality is rare.,On Strong Normalization in Proof-Graphs for Propositional Logic.
Bounded rationality is rare.,Perceptions of Pharmacy Graduate Students Toward Research Ethics Education: A Cross-Sectional Study from a Developing Country.
Bounded rationality is rare.,Formalization and Verification of Behavioral Correctness of Dynamic Software Updates.
Measuring preferences over the temporal resolution of consumption uncertainty.,Analogical Reasoning with Relational Bayesian Sets.
Measuring preferences over the temporal resolution of consumption uncertainty.,A Game Semantics of Concurrent Separation Logic.
Measuring preferences over the temporal resolution of consumption uncertainty.,A Comprehensive Web-based Platform For Domain-Specific Biological Models.
Optimal epidemic control in equilibrium with imperfect testing and enforcement.,Controlling rewriting: study and implementation of a strategy formalism.
Optimal epidemic control in equilibrium with imperfect testing and enforcement.,On Graphs for Intuitionistic Modal Logics.
Story builders.,A simple multi-armed bandit algorithm with optimal variation-bounded regret.
Story builders.,Covariance Operator Based Dimensionality Reduction with Extension to Semi-Supervised Settings.
Deterministic debt cycles in open economies with flow collateral constraints.,Generalizing Topological Set Operators.
Deterministic debt cycles in open economies with flow collateral constraints.,k-Valued Non-Associative Lambek Grammars are Learnable from Function-Argument Structures.
"In the basic auction model, the optimal reserve price may depend on the number of bidders.",Causality with Gates.
"In the basic auction model, the optimal reserve price may depend on the number of bidders.",Formal Techniques for Analysing Scenarios using Message Sequence Charts.
"In the basic auction model, the optimal reserve price may depend on the number of bidders.",Gender Bias and Conversational Agents: an ethical perspective on Social Robotics.
Consistent rights on property spaces.,SampleSearch: A Scheme that Searches for Consistent Samples.
