edition_title,edition_year
"Proceedings of the 13th Workshop on Logic, Language, Information and Computation, WoLLIC 2006, Stanford University, CA, USA, July 18-21, 2006",2006
"Proceedings of the 4th International Workshop on Automated Specification and Verification of Web Systems, WWV 2008, Siena, Italy, July 4, 2008",2009
"Proceedings of the Fourth International Workshop on Computing with Terms and Graphs, TERMGRAPH@ETAPS 2007, Braga, Portugal, March 31, 2007",2008
"Declarative Programming - Selected Papers from AGP 2000, La Habana, Cuba, December 4-6, 2000",2000
"Logical Aspects of Cryptographic Protocol Verification, LACPV 2001, in connection with CAV 2001, Paris, France, July 23, 2001",2003
"10th Workshop on Logic, Language, Information and Computation, WoLLIC 2003, Ouro Preto, Minas Gerais, Brazil, July 29 - August 1, 2003",2003
"First Workshop on Coalgebraic Methods in Computer Science, CMCS 1998, Lisbon, Portugal, March 28-29, 1998",1998
"Proceedings of the 3rd International Workshop on Quantum Programming Languages, QPL 2005, DePaul University, Chicago, USA, June 30 - July 1, 2005",2007
"Workshop on Software Model Checking 2001, in connection with CAV 2001, Paris, France, July 23, 2001",2001
"9th Workhop on Logic, Language, Information and Computation, WoLLIC 2002, Rio de Janeiro, Brazil, July 30 - August 2, 2002",2002
"Proceedings of the Fifth International Symposium on Domain Theory, ISDT 2009, Shanghai, China, September 12-14, 2009",2009
"2nd International Workshop on Parallel and Distributed Model Checking, PDMC 2003, Satellite Workshop of CAV 2003, Boulder, Colorado, USA, July 13, 2003",2003
"First International Workshop on Probabilistic Methods in Verification, PROBMIV 1998, Indianapolis, Indiana, USA, June 19-20, 1998",1999
"Proceedings of the 3rd International Workshop on Parallel and Distributed Methods in Verification, PDMC 2004, London, UK, September 4, 2004",2005
"Proceedings of the 4th International Workshop on Parallel and Distributed Methods in Verification, PDMC@ICALP 2005, Lisbon, Portugal, July 10, 2005",2006
"Proceedings of the Second Workshop on Applied and Computational Category Theory, ACCAT@ETAPS 2007, Braga, Portugal, March 25, 2007",2008
"Proceedings of the Workshop on Reversible Computation, RC@ETAPS 2009, York, UK, March 22, 2009",2009
"Proceedings of the First International Workshop on Formal Methods for Interactive Systems, FMIS@ICFEM 2006, Macao, October 31, 2006",2007
"2003 Workshop on Software Model Checking, SoftMC 2003, Boulder, Colorado, USA, July 14, 2003",2003
"Proceedings of the Workshop on Games in Design and Verification, GDV@CAV 2004, Boston, MA, USA, June 18, 2004",2005
